,epoch,loss,val_loss
0,1.0,2.6498857666141513e+39,1.0020711889786077e+39
1,2.0,2.6501114713948636e+39,1.0020706436822731e+39
2,3.0,2.6501102740956995e+39,1.0020702044620782e+39
3,4.0,2.650109172784427e+39,1.0020698467281282e+39
4,5.0,2.650108297122552e+39,1.0020695050236368e+39
5,6.0,2.650107375259928e+39,1.0020692066620767e+39
6,7.0,2.6501066308179582e+39,1.0020688859978645e+39
7,8.0,2.650105763808327e+39,1.0020686091290856e+39
8,9.0,2.650105148193035e+39,1.0020682786459803e+39
9,10.0,2.6501042865129478e+39,1.0020679995991178e+39
