,epoch,loss,val_loss
0,1.0,36254.43323369605,44884.86821353727
1,2.0,36254.419918121035,44884.874418026644
2,3.0,36254.406223405946,44884.880572203976
3,4.0,36254.39247967103,44884.886803088884
4,5.0,36254.37869122582,44884.89315666738
5,6.0,36254.364868445584,44884.899526211324
6,7.0,36254.3510238848,44884.90638768414
7,8.0,36254.336972426,44884.91256931415
8,9.0,36254.32271226807,44884.91881053417
9,10.0,36254.30868163083,44884.92501276546
10,11.0,36254.29421822532,44884.93170507436
11,12.0,36254.280045175896,44884.938688853894
12,13.0,36254.265620939936,44884.945084394545
13,14.0,36254.25087633119,44884.951750513486
14,15.0,36254.23625371195,44884.957943959285
15,16.0,36254.221766038914,44884.964965397376
16,17.0,36254.206818854356,44884.97200786675
17,18.0,36254.191917272496,44884.97822960297
18,19.0,36254.17684335452,44884.985475255606
19,20.0,36254.16185244102,44884.99246255588
20,21.0,36254.14660955999,44884.99890959795
21,22.0,36254.13141707632,44885.00625072993
22,23.0,36254.116196170966,44885.01301982047
23,24.0,36254.10048116762,44885.01999465888
24,25.0,36254.08516673322,44885.02700165551
25,26.0,36254.06941232258,44885.03432101381
26,27.0,36254.053499812544,44885.04147780364
27,28.0,36254.037922387506,44885.04879517469
28,29.0,36254.0218441149,44885.055988462955
29,30.0,36254.00599671185,44885.06333510601
