,epoch,loss,val_loss
0,1.0,40066.8677790734,35434.85758253766
1,2.0,40066.85464807723,35434.858342093416
2,3.0,40066.841300577886,35434.859178965526
3,4.0,40066.82815402689,35434.860002977366
4,5.0,40066.814965493206,35434.86081101515
5,6.0,40066.80153504816,35434.861588952255
6,7.0,40066.78851203265,35434.86239948308
7,8.0,40066.775200386546,35434.86320663898
8,9.0,40066.76225914257,35434.863935370005
9,10.0,40066.74889028037,35434.86471772017
10,11.0,40066.73562645224,35434.865568426576
11,12.0,40066.72251429703,35434.86636755612
12,13.0,40066.70923384453,35434.86715373159
13,14.0,40066.696373069695,35434.86791106877
14,15.0,40066.68292196121,35434.868766826454
15,16.0,40066.66984078171,35434.869535772195
16,17.0,40066.656519857446,35434.870330960606
17,18.0,40066.643257684766,35434.871227308045
18,19.0,40066.63024182645,35434.87203157533
19,20.0,40066.61717957669,35434.87276822937
20,21.0,40066.60409293851,35434.87352440605
21,22.0,40066.590531072216,35434.8743193889
22,23.0,40066.57730478809,35434.87515716196
23,24.0,40066.56438597427,35434.87593893615
24,25.0,40066.551191649094,35434.87670319279
25,26.0,40066.53776938703,35434.87762149104
26,27.0,40066.52488434653,35434.878366107056
27,28.0,40066.51139306659,35434.87911048605
28,29.0,40066.49851928694,35434.8799078266
29,30.0,40066.485027668445,35434.88078288927
