,epoch,loss,val_loss
0,1.0,41620.66626265552,31584.850860579634
1,2.0,41620.66505447353,31584.850887040826
2,3.0,41620.66251125013,31584.85093010342
3,4.0,41620.65863908063,31584.85099429353
4,5.0,41620.65347727059,31584.85107598839
5,6.0,41620.646962248116,31584.85118016718
6,7.0,41620.63921293774,31584.85129470876
7,8.0,41620.63003660068,31584.851429202015
8,9.0,41620.619784770366,31584.851573563516
9,10.0,41620.60781472204,31584.85174623734
10,11.0,41620.59481796929,31584.851932253183
11,12.0,41620.58050834687,31584.8521465052
12,13.0,41620.56469129477,31584.852373675283
13,14.0,41620.54812264964,31584.85259385721
14,15.0,41620.529429004666,31584.85285379572
15,16.0,41620.50997004258,31584.853137934388
16,17.0,41620.48905842073,31584.853428447546
17,18.0,41620.46652458316,31584.85376179624
18,19.0,41620.44345772094,31584.8540828531
19,20.0,41620.4185542556,31584.85441539744
20,21.0,41620.39202228592,31584.854783999985
21,22.0,41620.36477906561,31584.85519086836
22,23.0,41620.33566893213,31584.855570270112
23,24.0,41620.30592391434,31584.85602177221
24,25.0,41620.27437363206,31584.856431533408
25,26.0,41620.24139083515,31584.85691970254
26,27.0,41620.207754638934,31584.857389836427
27,28.0,41620.17233183674,31584.857889292358
28,29.0,41620.136187425545,31584.858361448325
29,30.0,41620.09708410107,31584.858869236603
30,31.0,41620.05854313225,31584.85942932039
31,32.0,41620.01788487957,31584.859975376225
32,33.0,41619.97556167155,31584.860609680865
33,34.0,41619.93255871219,31584.861210479285
34,35.0,41619.88850407159,31584.861836899683
35,36.0,41619.84257209374,31584.862472936264
36,37.0,41619.79460546806,31584.86311600398
37,38.0,41619.74680328675,31584.86374331008
38,39.0,41619.696823289334,31584.86446222285
39,40.0,41619.64601263399,31584.865174008806
40,41.0,41619.593418060016,31584.86593841379
41,42.0,41619.540090605464,31584.866595543466
42,43.0,41619.48448215379,31584.867404333476
43,44.0,41619.42887488931,31584.868200806242
44,45.0,41619.37131988489,31584.868970167754
45,46.0,41619.31121316735,31584.869804048078
46,47.0,41619.25169501567,31584.870647422038
47,48.0,41619.19013075567,31584.87145511199
48,49.0,41619.12734258035,31584.872394126414
49,50.0,41619.06250128546,31584.87324829324
50,51.0,41618.998830941615,31584.87415276656
51,52.0,41618.93062571161,31584.875060903752
52,53.0,41618.862658703234,31584.87600693283
53,54.0,41618.793215967,31584.87696723874
54,55.0,41618.72279291502,31584.87798010081
55,56.0,41618.65094532496,31584.878874436516
56,57.0,41618.57721057211,31584.879928625694
57,58.0,41618.50345967094,31584.881000646263
58,59.0,41618.42655508765,31584.882057122595
59,60.0,41618.35002237735,31584.883153361672
60,61.0,41618.27146281984,31584.884139651647
61,62.0,41618.19235910223,31584.88533944343
62,63.0,41618.10964802801,31584.886457879136
63,64.0,41618.02857341231,31584.887560506177
64,65.0,41617.94407550778,31584.88864749572
65,66.0,41617.85917909696,31584.88987560222
66,67.0,41617.773266332704,31584.891007841754
67,68.0,41617.68474280394,31584.892263483867
68,69.0,41617.59806458501,31584.893472106527
69,70.0,41617.50526667166,31584.894691989695
70,71.0,41617.414550008114,31584.89593078836
71,72.0,41617.32256496197,31584.897220659754
72,73.0,41617.22803238618,31584.898520212202
73,74.0,41617.132963648095,31584.899825185672
74,75.0,41617.03535659378,31584.901081156782
75,76.0,41616.93699827187,31584.902441843053
76,77.0,41616.8384529165,31584.90387632858
77,78.0,41616.737335123034,31584.905331092188
78,79.0,41616.635498174124,31584.90675990591
79,80.0,41616.53331144576,31584.908066582415
80,81.0,41616.428805349584,31584.90966323897
81,82.0,41616.32271945531,31584.911018172774
82,83.0,41616.214446221784,31584.912472029057
83,84.0,41616.106591857526,31584.914057832502
84,85.0,41615.99720835914,31584.9155297073
85,86.0,41615.88576233519,31584.91706043422
86,87.0,41615.77407484702,31584.918591597783
87,88.0,41615.66094711501,31584.920085378326
