,epoch,loss,val_loss
0,1.0,38088.34867005986,40345.53524145595
1,2.0,38088.04750846212,40345.752285216484
2,3.0,38083.55502460841,40349.035594729015
3,4.0,38016.96078756705,40392.718009632335
4,5.0,37454.60323451718,93696.73588879564
5,6.0,41080.039778545506,38898.64930446732
6,7.0,3.777444478674469e+16,3.86451780973382e+22
7,8.0,9.134980336189447e+35,2104517543525.4177
8,9.0,265679117821.67468,33414804.948541436
9,10.0,,
10,11.0,,
11,12.0,,
12,13.0,,
13,14.0,,
14,15.0,,
15,16.0,,
16,17.0,,
17,18.0,,
18,19.0,,
19,20.0,,
20,21.0,,
21,22.0,,
22,23.0,,
23,24.0,,
24,25.0,,
25,26.0,,
26,27.0,,
27,28.0,,
28,29.0,,
29,30.0,,
