,epoch,loss,val_loss
0,1.0,38216.85254511766,40031.37714584331
1,2.0,38216.83928855938,40031.37929763941
2,3.0,38216.82531696505,40031.38198282753
3,4.0,38216.811030252626,40031.38452559487
4,5.0,38216.79657323623,40031.38717426279
5,6.0,38216.781404650304,40031.3896384515
6,7.0,38216.76579739254,40031.39240090427
7,8.0,38216.749817831056,40031.39524127595
8,9.0,38216.733363065534,40031.398142477155
9,10.0,38216.71626432917,40031.40105779005
10,11.0,38216.69875864138,40031.40441481768
11,12.0,38216.68064399361,40031.4073691764
12,13.0,38216.66210860097,40031.410873480825
13,14.0,38216.642943966166,40031.41409836275
14,15.0,38216.62315840586,40031.4180057494
15,16.0,38216.60277852989,40031.42142394072
16,17.0,38216.58167320025,40031.42514831889
17,18.0,38216.56002570226,40031.42953236054
18,19.0,38216.53785235673,40031.4333411067
19,20.0,38216.51487373593,40031.437084586876
20,21.0,38216.49116823377,40031.441302631836
21,22.0,38216.46680440092,40031.44548418244
22,23.0,38216.44168681173,40031.45060596525
23,24.0,38216.4156342801,40031.45484184477
24,25.0,38216.389186934255,40031.4593634832
25,26.0,38216.36133884392,40031.46466823835
26,27.0,38216.332997651465,40031.469815456374
27,28.0,38216.304227631066,40031.47439986897
28,29.0,38216.27377987093,40031.47978321775
29,30.0,38216.24294024458,40031.485963466315
30,31.0,38216.21116290484,40031.49118686851
31,32.0,38216.177965790775,40031.49712277774
32,33.0,38216.14406446611,40031.503103379226
33,34.0,38216.10926961248,40031.50970944603
34,35.0,38216.073022208286,40031.51569791249
35,36.0,38216.03577799755,40031.522188026014
36,37.0,38215.99843314911,40031.52949746632
37,38.0,38215.9583312537,40031.536905273366
38,39.0,38215.91782204667,40031.54417241461
39,40.0,38215.8762335445,40031.551041112274
40,41.0,38215.83263102348,40031.55879222504
41,42.0,38215.788707830485,40031.566464723175
42,43.0,38215.742517585895,40031.575147296404
43,44.0,38215.695420182674,40031.582969435025
44,45.0,38215.64732180627,40031.59125249565
45,46.0,38215.596731085076,40031.601337549415
46,47.0,38215.54574794301,40031.60974568155
47,48.0,38215.49183922717,40031.61991290023
48,49.0,38215.43755994577,40031.62900888257
49,50.0,38215.3813795873,40031.639038535715
50,51.0,38215.32208927791,40031.64891575676
51,52.0,38215.26339076944,40031.66009727172
52,53.0,38215.201731533954,40031.671008102574
53,54.0,38215.13706688209,40031.68223277931
54,55.0,38215.07159114302,40031.693352243135
55,56.0,38215.00551993879,40031.70595840438
56,57.0,38214.93489615665,40031.71847773371
57,58.0,38214.8623807629,40031.73082770808
58,59.0,38214.789150507124,40031.744962134304
59,60.0,38214.7142118942,40031.7576374048
60,61.0,38214.63467643265,40031.772439373366
61,62.0,38214.55334890226,40031.78586350373
62,63.0,38214.47126192382,40031.80085944769
63,64.0,38214.384633193244,40031.81701846073
64,65.0,38214.296326989046,40031.83309808099
65,66.0,38214.205383833425,40031.848210795106
66,67.0,38214.11208155096,40031.865696834815
67,68.0,38214.01393376508,40031.883815204965
68,69.0,38213.914864105594,40031.8996178665
69,70.0,38213.81277806009,40031.918540058665
70,71.0,38213.70694376106,40031.93712286101
71,72.0,38213.59742026426,40031.95620169547
72,73.0,38213.48484732259,40031.976378260275
73,74.0,38213.369509470875,40031.998924012274
74,75.0,38213.252928548296,40032.01896566839
75,76.0,38213.12605799295,40032.0410657709
76,77.0,38213.00106534508,40032.06265333096
77,78.0,38212.86976434485,40032.08568280444
78,79.0,38212.736968404104,40032.11117353742
79,80.0,38212.597947060436,40032.13487077777
80,81.0,38212.45415729717,40032.159503316514
81,82.0,38212.30778227339,40032.18841970768
82,83.0,38212.15635981357,40032.21628615431
83,84.0,38212.00085923706,40032.24114300073
84,85.0,38211.8402912295,40032.27073882208
85,86.0,38211.67203977459,40032.301690365544
86,87.0,38211.50405414552,40032.330972037475
87,88.0,38211.33058998703,40032.3613124021
88,89.0,38211.14455484913,40032.392246540236
89,90.0,38210.95932177698,40032.42732565308
90,91.0,38210.76848130038,40032.461346768796
91,92.0,38210.56861192344,40032.49680039049
92,93.0,38210.36464847031,40032.537926556026
93,94.0,38210.15336542496,40032.574890524214
94,95.0,38209.941954200294,40032.610231551786
95,96.0,38209.71411989578,40032.64742738994
96,97.0,38209.48728040854,40032.687618319374
97,98.0,38209.24647518961,40032.73406269397
98,99.0,38209.00655811677,40032.778437853754
99,100.0,38208.755031647386,40032.81918201445
100,101.0,38208.4931615915,40032.869989857514
101,102.0,38208.226571967774,40032.91373092852
102,103.0,38207.95152262635,40032.968011129364
103,104.0,38207.668569147274,40033.01501854958
104,105.0,38207.380019079654,40033.07308394288
105,106.0,38207.076600053384,40033.123953953356
106,107.0,38206.76826949166,40033.173219002325
