,epoch,loss,val_loss
0,1.0,40333.35263606647,34786.694747255606
1,2.0,40333.171620644986,34786.703231703854
2,3.0,40332.793898445794,34786.71611767169
3,4.0,40332.224684847046,34786.73456471418
4,5.0,40331.457142385996,34786.759699397466
5,6.0,40330.49397665599,34786.7894247457
6,7.0,40329.35407545777,34786.82283855034
7,8.0,40327.9915809572,34786.86345220556
8,9.0,40326.476115113335,34786.90844460361
9,10.0,40324.751862968,34786.95815016711
10,11.0,40322.816672187095,34787.01099199507
11,12.0,40320.740743114475,34787.07387415374
12,13.0,40318.420079297546,34787.14401521605
13,14.0,40316.013288756905,34787.214474385255
14,15.0,40313.29266196064,34787.28873724625
15,16.0,40310.506919799125,34787.372266517115
16,17.0,40307.47148432932,34787.45834249391
17,18.0,40304.26271171417,34787.55295561054
18,19.0,40300.92384397315,34787.64722821449
19,20.0,40297.43989062288,34787.75025305987
20,21.0,40293.728193004696,34787.85484326865
21,22.0,40289.80964706094,34787.97112690905
22,23.0,40285.703653644465,34788.081692732616
23,24.0,40281.54638782474,34788.20737555243
24,25.0,40277.22971080777,34788.32977336715
25,26.0,40272.57731322269,34788.46538733766
26,27.0,40268.06859155928,34788.59890261192
27,28.0,40263.076686268876,34788.74057354045
28,29.0,40258.179366135526,34788.8860697602
29,30.0,40252.861744120804,34789.02715311651
30,31.0,40247.61948400399,34789.182963471954
31,32.0,40242.15676017261,34789.342747929506
32,33.0,40236.46467873416,34789.504850106314
33,34.0,40230.76152504166,34789.66713283149
34,35.0,40224.96063604241,34789.84723873152
35,36.0,40218.901092231696,34790.01915223671
36,37.0,40212.51458009562,34790.18505328049
37,38.0,40206.19272431044,34790.35890900832
38,39.0,40199.74817518146,34790.534505485484
39,40.0,40193.25358359837,34790.72528724644
40,41.0,40186.29974508611,34790.90793708302
41,42.0,40179.63222518482,34791.09092880252
42,43.0,40172.38443414493,34791.27648370008
43,44.0,40165.485847131735,34791.47098603149
44,45.0,40157.895500118466,34791.659495441105
45,46.0,40150.40038050081,34791.83722554494
46,47.0,40142.92962768369,34792.02652577683
47,48.0,40135.17532191702,34792.20559345899
48,49.0,40127.45652213011,34792.40427887815
49,50.0,40119.27930218658,34792.57554152091
