,epoch,loss,val_loss
0,1.0,38755.75761098292,38692.73921580486
1,2.0,38755.74486956747,38692.74091589663
2,3.0,38755.73178490058,38692.742639555865
3,4.0,38755.71854967438,38692.744402690696
4,5.0,38755.70512832499,38692.74608141905
5,6.0,38755.6913096623,38692.747818945405
6,7.0,38755.67761170508,38692.74968293298
7,8.0,38755.663541793176,38692.75151541209
8,9.0,38755.64959161489,38692.753289522814
9,10.0,38755.63465636189,38692.755059088464
10,11.0,38755.6201327248,38692.75690362005
11,12.0,38755.6051995868,38692.75896022305
12,13.0,38755.58999426792,38692.76103014111
13,14.0,38755.574988344604,38692.762797739
14,15.0,38755.55913240132,38692.76471424974
15,16.0,38755.54332529283,38692.76689459885
16,17.0,38755.52728800473,38692.7691019934
17,18.0,38755.51065390098,38692.77112621831
18,19.0,38755.494415443274,38692.7731434865
19,20.0,38755.47789592952,38692.77531350512
20,21.0,38755.46050744246,38692.77743760845
21,22.0,38755.4431846997,38692.779826304184
22,23.0,38755.425434564815,38692.78211255484
23,24.0,38755.40783840175,38692.78441006713
24,25.0,38755.38962451353,38692.78657815381
25,26.0,38755.37101257356,38692.78911931166
26,27.0,38755.352657157266,38692.791436378226
27,28.0,38755.33371950492,38692.79393573106
28,29.0,38755.31474716952,38692.7962230221
29,30.0,38755.294632921585,38692.79876260432
30,31.0,38755.27510112256,38692.80119460566
31,32.0,38755.2549951825,38692.8037306438
32,33.0,38755.23440814735,38692.806768193484
33,34.0,38755.213736070335,38692.809402748884
34,35.0,38755.193164543314,38692.81211767806
35,36.0,38755.1714067746,38692.8148312847
36,37.0,38755.149675716304,38692.817577890266
37,38.0,38755.12776381216,38692.82054894513
38,39.0,38755.10515305087,38692.82331491576
39,40.0,38755.08272246746,38692.82599662468
40,41.0,38755.05958373813,38692.82920868811
41,42.0,38755.03681175933,38692.83200929779
42,43.0,38755.01229323189,38692.83528906118
43,44.0,38754.98860681115,38692.838243491016
44,45.0,38754.96455328898,38692.84152176951
45,46.0,38754.93878587154,38692.84465827234
46,47.0,38754.91423183428,38692.848124360324
47,48.0,38754.88843293747,38692.85111137297
48,49.0,38754.86267109636,38692.854675195056
49,50.0,38754.83627238926,38692.85813720497
50,51.0,38754.809731487774,38692.86143375839
51,52.0,38754.782124063866,38692.86469053623
52,53.0,38754.754736293355,38692.86844807586
53,54.0,38754.72681459853,38692.87193480516
54,55.0,38754.698344138014,38692.8758254491
55,56.0,38754.67003790494,38692.87939149296
56,57.0,38754.64030761982,38692.8832370048
57,58.0,38754.610514300286,38692.887067542855
58,59.0,38754.58030390108,38692.89087514359
59,60.0,38754.550166117864,38692.89498154601
60,61.0,38754.51885675217,38692.89882109477
61,62.0,38754.48758773467,38692.903106123966
62,63.0,38754.45521214702,38692.90722182592
63,64.0,38754.422966192025,38692.91139520507
64,65.0,38754.38984677093,38692.91527088581
65,66.0,38754.3562614013,38692.91961760758
66,67.0,38754.32285395301,38692.92403110698
67,68.0,38754.28775707655,38692.928836784085
68,69.0,38754.253202276625,38692.9327466053
69,70.0,38754.217425712064,38692.93748781403
70,71.0,38754.18137666209,38692.942149185736
71,72.0,38754.14516995444,38692.94692528761
72,73.0,38754.10767461527,38692.95162341639
73,74.0,38754.070035870325,38692.956652084664
74,75.0,38754.031835395515,38692.961457129655
75,76.0,38753.9924813715,38692.96647269796
76,77.0,38753.95342717036,38692.971631333785
77,78.0,38753.913059927865,38692.976932696445
78,79.0,38753.87242521604,38692.982109380806
79,80.0,38753.83220731545,38692.987233347514
80,81.0,38753.78968839359,38692.99290379967
81,82.0,38753.74704773482,38692.99819859867
82,83.0,38753.70378967103,38693.00370370417
83,84.0,38753.66052137134,38693.0099401237
84,85.0,38753.61566934016,38693.01584998529
85,86.0,38753.570372008595,38693.02135867648
86,87.0,38753.52506597663,38693.02734262703
87,88.0,38753.47919642716,38693.03289753346
88,89.0,38753.430796248744,38693.03909464938
89,90.0,38753.383471488116,38693.044843614436
90,91.0,38753.33437561757,38693.05120043268
91,92.0,38753.28550733485,38693.05781909676
92,93.0,38753.23510044222,38693.064111007
93,94.0,38753.184276721506,38693.07095766979
94,95.0,38753.13320387705,38693.07741391973
95,96.0,38753.080415383745,38693.08484135473
96,97.0,38753.02684863966,38693.09161095553
97,98.0,38752.97351830829,38693.09798926177
98,99.0,38752.918356198395,38693.10540385218
99,100.0,38752.86328807778,38693.112714608054
