,epoch,loss,val_loss
0,1.0,39044.7574853404,37983.78104832699
1,2.0,39044.74394243927,37983.78361857797
2,3.0,39044.730584931414,37983.786044029934
3,4.0,39044.716933036565,37983.7885647956
4,5.0,39044.70300651933,37983.791246394765
5,6.0,39044.68914045636,37983.79405811592
6,7.0,39044.67515472138,37983.796512340385
7,8.0,39044.66129469999,37983.79902542274
8,9.0,39044.64704142126,37983.80173881472
9,10.0,39044.63282480549,37983.80433727962
10,11.0,39044.61850186031,37983.80695074289
11,12.0,39044.603870447325,37983.8096717322
12,13.0,39044.58947280768,37983.81247514478
13,14.0,39044.57490952643,37983.81508671368
14,15.0,39044.56006950258,37983.81786917851
15,16.0,39044.54516842266,37983.82062336368
16,17.0,39044.53033042081,37983.82334850437
17,18.0,39044.515104396036,37983.82634537259
18,19.0,39044.499911096726,37983.829203640205
19,20.0,39044.484883136385,37983.83206223917
20,21.0,39044.46949548383,37983.8348455774
21,22.0,39044.4539292648,37983.83776980681
22,23.0,39044.43835440535,37983.84064721325
23,24.0,39044.42252474722,37983.843688621644
24,25.0,39044.40701973578,37983.84640442959
25,26.0,39044.390734649365,37983.84951876982
26,27.0,39044.374874193665,37983.85244889832
27,28.0,39044.358774733635,37983.855650632104
28,29.0,39044.34251722092,37983.858654623735
29,30.0,39044.32609738629,37983.86169123178
30,31.0,39044.309805187244,37983.86457295575
31,32.0,39044.29304994226,37983.86758500268
32,33.0,39044.276278184996,37983.87073226627
33,34.0,39044.25954815198,37983.87403771589
34,35.0,39044.24269368743,37983.87745640004
35,36.0,39044.225496677354,37983.88048598918
36,37.0,39044.20871875651,37983.88378313068
37,38.0,39044.19106918283,37983.886784136135
38,39.0,39044.17358433067,37983.89020865128
39,40.0,39044.15626497296,37983.89334010712
40,41.0,39044.13839796789,37983.89671519471
41,42.0,39044.12102924449,37983.899888162916
42,43.0,39044.10270813123,37983.90339251029
43,44.0,39044.08477250724,37983.90676037316
44,45.0,39044.06682681769,37983.91009503215
45,46.0,39044.048256469294,37983.913647457906
46,47.0,39044.03010392335,37983.916932390945
47,48.0,39044.01144281725,37983.92034563133
48,49.0,39043.992796674,37983.92398607339
49,50.0,39043.97431583444,37983.927380824614
50,51.0,39043.95507717889,37983.93069783213
51,52.0,39043.93605869204,37983.93423341515
52,53.0,39043.91704411347,37983.93769325631
53,54.0,39043.89760994414,37983.94156636284
54,55.0,39043.87811227872,37983.94509314352
55,56.0,39043.85875296334,37983.948894619934
56,57.0,39043.83892838303,37983.95272722715
57,58.0,39043.81881624205,37983.95633147246
58,59.0,39043.799112534834,37983.96000837615
59,60.0,39043.77895559643,37983.963897711474
60,61.0,39043.758967311274,37983.967394577
61,62.0,39043.738150716104,37983.9713740739
62,63.0,39043.71771411136,37983.97549866571
63,64.0,39043.697145274404,37983.97891777202
64,65.0,39043.67623921327,37983.982873246154
65,66.0,39043.655296734396,37983.98688802242
66,67.0,39043.634309587964,37983.990571466384
67,68.0,39043.6127161912,37983.99487267879
68,69.0,39043.591439576674,37983.99882006935
69,70.0,39043.57008242106,37984.00284965424
70,71.0,39043.548332833765,37984.00652731359
71,72.0,39043.52619458072,37984.010806938786
72,73.0,39043.50428450793,37984.01489654107
73,74.0,39043.48214665203,37984.01898446212
74,75.0,39043.459997794795,37984.02313800209
75,76.0,39043.437548927686,37984.02699215367
76,77.0,39043.41460309635,37984.031417045946
77,78.0,39043.391825142826,37984.0358334415
78,79.0,39043.3689920366,37984.04031256162
79,80.0,39043.34625790492,37984.04430240913
80,81.0,39043.322441677396,37984.048987712675
81,82.0,39043.299212532795,37984.05318185992
82,83.0,39043.27559855372,37984.05748836216
83,84.0,39043.252073386255,37984.061936829174
84,85.0,39043.22809352687,37984.066254620084
85,86.0,39043.2038566683,37984.070781166054
86,87.0,39043.179671172205,37984.075510816234
87,88.0,39043.15540323813,37984.07999473329
88,89.0,39043.13021856981,37984.084713726195
89,90.0,39043.106095254836,37984.089221433846
90,91.0,39043.08087640503,37984.093717662014
91,92.0,39043.05597000022,37984.098578660654
92,93.0,39043.03048131575,37984.103223206235
93,94.0,39043.00502024466,37984.108091599664
94,95.0,39042.979796451604,37984.11258843091
95,96.0,39042.95373490619,37984.117718696805
96,97.0,39042.92761735423,37984.122762957566
97,98.0,39042.9013436715,37984.12754800388
98,99.0,39042.87541374342,37984.132473419195
99,100.0,39042.848926893035,37984.1369800614
