,epoch,loss,val_loss,ivw,evw,ivw_ann,f_loss
0,1.0,3.1478384,3.0284374,15551.028,15553.952,50049.855,0.0
1,2.0,2.5580626,2.831196,18246.643,18251.56,48410.14,0.0
2,3.0,2.5932631,2.4689295,15722.939,15725.974,40329.96,0.0
3,4.0,2.1733148,1.8352501,9524.094,9525.276,25125.146,0.0
4,5.0,0.7828978,1.2375636,18054.938,18059.775,25937.566,0.0
5,6.0,0.7678052,0.866458,15978.985,15982.145,20420.453,0.0
6,7.0,0.5699448,0.7158116,15859.739,15863.116,18923.822,0.0
7,8.0,0.45909867,0.6015006,10658.891,10660.502,12739.873,0.0
8,9.0,0.338919,0.564135,10658.89,10660.502,11973.48,0.0
9,10.0,0.44873098,0.6485394,9589.974,9591.155,10224.406,0.0
10,11.0,0.17384888,0.6105218,17010.76,17014.72,17940.521,0.0
11,12.0,0.1639634,0.5212774,16325.867,16329.403,17195.934,0.0
12,13.0,0.19252266,0.5275987,14441.211,14443.821,15469.386,0.0
13,14.0,0.16734092,0.6051342,14731.033,14733.648,15475.594,0.0
14,15.0,0.122643344,0.5520151,17209.713,17213.734,17465.85,0.0
15,16.0,0.17328215,0.67317784,15896.283,15899.414,16505.393,0.0
16,17.0,0.22191322,0.6131999,14359.432,14362.107,14529.073,0.0
17,18.0,0.13381177,0.6518972,17317.541,17321.562,17272.09,0.0
18,19.0,0.31283745,0.6723251,10658.89,10660.502,11116.311,0.0
19,20.0,0.14878353,0.53021693,15319.42,15322.389,15841.352,0.0
20,21.0,0.105639376,0.50261563,21281.105,21286.52,21722.56,0.0
21,22.0,0.12527117,0.53086823,20635.328,20640.455,20989.93,0.0
22,23.0,0.07761223,0.49140662,17113.273,17117.264,17440.56,0.0
23,24.0,0.09097908,0.51304156,18111.32,18116.19,18574.398,0.0
24,25.0,0.17970268,0.5170498,9533.0,9534.184,10078.805,0.0
25,26.0,0.09894312,0.501197,15268.525,15271.426,15719.93,0.0
26,27.0,0.08852912,0.68559104,17173.107,17177.121,17467.012,0.0
27,28.0,0.11051345,0.51343703,16028.296,16031.6875,16190.105,0.0
28,29.0,0.064816274,0.49400008,18019.822,18024.715,18390.494,0.0
29,30.0,0.12283591,0.5288201,14706.978,14709.685,15018.656,0.0
30,31.0,0.09165447,0.4973356,16053.185,16056.35,16546.984,0.0
31,32.0,0.1152225,0.64892846,14211.127,14213.557,14205.585,0.0
32,33.0,0.09555169,0.62763566,15173.585,15176.4,15194.409,0.0
33,34.0,0.08790863,0.53439313,16104.06,16107.239,16209.227,0.0
34,35.0,0.09296306,0.48561963,14781.043,14783.804,15011.008,0.0
35,36.0,0.0792619,0.48933214,15575.627,15578.589,15706.177,0.0
36,37.0,0.084631465,0.59024495,15679.781,15682.844,16077.446,0.0
37,38.0,0.06134544,0.5063006,21352.95,21358.328,21691.129,0.0
38,39.0,0.0919415,0.51930594,16249.817,16253.0205,16633.709,0.0
39,40.0,0.051444337,0.4936435,17141.559,17145.557,17421.35,0.0
40,41.0,0.07619766,0.5053518,16246.642,16250.143,16545.926,0.0
41,42.0,0.08447616,0.49601406,15410.628,15413.637,15680.022,0.0
42,43.0,0.04832564,0.53218627,16249.801,16253.005,16671.62,0.0
43,44.0,0.105226405,0.5678779,10658.89,10660.502,10977.948,0.0
44,45.0,0.047991972,0.4464644,18214.672,18219.604,18392.39,0.0
45,46.0,0.19823258,0.52495027,9599.011,9600.198,10169.074,0.0
46,47.0,0.054591168,0.51301366,15685.767,15688.792,16064.46,0.0
47,48.0,0.093859926,0.57476014,10658.891,10660.502,11023.654,0.0
48,49.0,0.06354618,0.5111208,15621.164,15624.207,15971.531,0.0
49,50.0,0.117024094,0.40800118,15222.855,15225.767,15647.633,0.0
50,51.0,0.04302043,0.50123215,17232.885,17236.893,17537.777,0.0
51,52.0,0.041982472,0.5242148,17198.453,17202.473,17536.377,0.0
52,53.0,0.04869422,0.48304114,17148.11,17152.123,17519.771,0.0
53,54.0,0.03652789,0.49446288,18112.8,18117.68,18276.191,0.0
54,55.0,0.065470755,0.550977,16100.198,16103.375,16548.105,0.0
55,56.0,0.044510636,0.52904344,15911.872,15914.985,16300.387,0.0
56,57.0,0.061273843,0.38700375,15596.636,15599.625,15950.324,0.0
57,58.0,0.07555429,0.5305355,13834.064,13836.397,14145.597,0.0
58,59.0,0.061792754,0.49860287,14698.927,14701.607,15094.353,0.0
59,60.0,0.096820526,0.52090734,9483.468,9484.637,9987.201,0.0
60,61.0,0.033934157,0.53890526,18334.102,18339.027,18496.416,0.0
61,62.0,0.054580525,0.55861235,20611.412,20616.533,20883.047,0.0
62,63.0,0.041063678,0.66526085,18187.299,18192.229,18548.996,0.0
63,64.0,0.08551572,0.5131634,9652.001,9653.211,10063.951,0.0
64,65.0,0.09701924,0.53993654,10658.891,10660.502,10916.129,0.0
65,66.0,0.032018524,0.45341927,18227.398,18232.285,18285.521,0.0
66,67.0,0.06331948,0.5186845,14640.116,14642.838,15004.2295,0.0
67,68.0,0.047899693,0.54925317,14643.273,14645.887,15074.002,0.0
68,69.0,0.061819565,0.4775237,10658.891,10660.502,10907.546,0.0
69,70.0,0.058364324,0.5196456,10658.891,10660.502,11227.674,0.0
70,71.0,0.038165316,0.570634,17246.02,17250.016,17264.053,0.0
71,72.0,0.06224615,0.48857933,20565.14,20570.262,20407.758,0.0
72,73.0,0.04423745,0.49260667,20991.299,20996.53,21009.793,0.0
73,74.0,0.042025454,0.51961607,15126.033,15128.939,15434.089,0.0
74,75.0,0.21745734,0.8759495,17068.83,17072.818,17111.598,0.0
75,76.0,0.0496278,0.48055953,16101.143,16104.324,16113.668,0.0
76,77.0,0.05159784,0.52773523,14657.786,14660.457,15008.617,0.0
77,78.0,0.03341357,0.530241,15637.564,15640.555,15993.61,0.0
