,epoch,loss,val_loss,ivw,evw,ivw_ann,refState_loss
0,1.0,5198.007,37816.777,-1919617.8,-1924927.0,34226.137,0.0
1,2.0,32318.965,2798.4805,-1919617.6,-1924927.1,-9078.916,0.0
2,3.0,3876.2527,1753.0876,-1919617.6,-1924927.2,-97253.18,0.0
3,4.0,361.37518,1465.1692,-1919617.6,-1924927.1,-120243.93,0.0
4,5.0,228.39687,1574.0806,-1919617.6,-1924927.1,-122840.914,0.0
5,6.0,761.5258,2285.8694,-1919617.8,-1924927.0,-132332.2,0.0
6,7.0,96.93134,2432.826,-1919617.8,-1924927.1,-135938.95,0.0
7,8.0,7999.4155,1158.8029,-1919617.6,-1924927.1,-124762.99,0.0
8,9.0,161.78397,942.9708,-1919617.8,-1924927.1,-136840.11,0.0
9,10.0,2486.4578,430.42444,-1919617.8,-1924927.1,-143779.6,0.0
10,11.0,95.458595,1031.2616,-1919617.6,-1924927.0,-96350.31,0.0
11,12.0,40.32777,312.8213,-1919617.8,-1924927.0,-140517.02,0.0
12,13.0,170.09937,348.4043,-1919617.8,-1924927.2,-81970.71,0.0
13,14.0,150.48116,87.30788,-1919617.8,-1924927.1,-84324.336,0.0
14,15.0,47.61018,367.28827,-1919617.8,-1924927.1,-83522.01,0.0
15,16.0,26.191324,734.00604,-1919617.6,-1924927.0,-113907.64,0.0
16,17.0,15560.448,89.258484,-1919617.6,-1924927.0,-96399.555,0.0
17,18.0,36.842968,84.75141,-1919617.8,-1924927.1,-90873.516,0.0
18,19.0,111.171455,279.38007,-1919617.8,-1924927.1,-95773.48,0.0
19,20.0,26.339386,1869.7397,-1919617.6,-1924927.1,-104387.516,0.0
20,21.0,35.797928,178.50897,-1919617.6,-1924927.1,-117379.85,0.0
21,22.0,24.44248,88.92084,-1919617.8,-1924927.0,-108756.12,0.0
22,23.0,146.93315,70.87605,-1919617.6,-1924927.1,-118755.96,0.0
23,24.0,66.03234,234.9101,-1919617.8,-1924927.1,-117202.92,0.0
24,25.0,24.643316,153.60431,-1919617.8,-1924927.0,-119261.625,0.0
25,26.0,28.477444,104.005936,-1919617.8,-1924927.1,-124757.43,0.0
26,27.0,123.085,78.75971,-1919617.8,-1924927.0,-127231.56,0.0
27,28.0,20.468985,188.97473,-1919617.6,-1924926.9,-129324.21,0.0
28,29.0,35.47958,66.64802,-1919617.6,-1924927.1,-127773.18,0.0
29,30.0,20.893738,253.51166,-1919617.8,-1924927.1,-139235.48,0.0
30,31.0,15.196763,449.5744,-1919617.6,-1924927.1,-142351.7,0.0
31,32.0,110.24256,140.09784,-1919617.4,-1924927.1,-146323.8,0.0
32,33.0,24.633183,105.93898,-1919617.6,-1924927.0,-146514.47,0.0
33,34.0,38.54395,120.91402,-1919617.6,-1924927.1,-152862.25,0.0
34,35.0,88.29378,388.1667,-1919617.8,-1924927.1,-153643.25,0.0
35,36.0,35.790215,845.66797,-1919617.6,-1924927.0,-160546.88,0.0
36,37.0,27.331648,78.65161,-1919617.6,-1924926.9,-161581.98,0.0
37,38.0,25.138361,211.89368,-1919617.6,-1924927.1,-160620.66,0.0
38,39.0,20.796942,210.9791,-1919617.6,-1924927.1,-184203.45,0.0
39,40.0,12.70983,377.29382,-1919617.6,-1924927.0,-159899.75,0.0
40,41.0,10.685073,260.12732,-1919617.6,-1924927.0,-177973.0,0.0
41,42.0,3607.8606,133.48543,-1919617.6,-1924926.9,-174107.58,0.0
42,43.0,29.005453,86.17683,-1919617.4,-1924926.9,-178070.47,0.0
43,44.0,8.401954,120.21913,-1919617.6,-1924927.1,-189887.14,0.0
44,45.0,25.719742,50.71577,-1919617.8,-1924927.1,-198728.03,0.0
45,46.0,15.187142,108.328186,-1919617.6,-1924927.1,-178193.1,0.0
46,47.0,6.7380223,372.05585,-1919617.6,-1924927.1,-194277.89,0.0
47,48.0,8.1133375,89.88757,-1919617.8,-1924927.1,-202477.11,0.0
48,49.0,8.271226,30.17601,-1919617.8,-1924927.0,-200705.77,0.0
49,50.0,7.0017366,79.51615,-1919617.4,-1924927.1,-192086.53,0.0
50,51.0,10.951746,30.841309,-1919617.6,-1924927.2,-196464.61,0.0
51,52.0,19.306362,64.814445,-1919617.8,-1924927.2,-201499.84,0.0
