,epoch,loss,val_loss,ivw,evw,ivw_ann,refState_loss
0,1.0,14.962097,33.77052,458579.5,458438.28,1333.9435,0.007934725
1,2.0,31.179007,39.717293,458307.47,458165.8,8400.9,0.00679916
2,3.0,27.139322,25.998493,460056.47,459913.5,12058.273,0.008204354
3,4.0,17.031628,22.730999,460002.6,459859.0,12601.557,0.009504436
4,5.0,12.751373,21.356064,460594.5,460452.28,12851.767,0.010485745
5,6.0,11.009839,21.032656,461652.1,461507.9,13124.6455,0.011972213
6,7.0,10.02252,20.378534,460266.44,460123.72,13617.011,0.012544891
7,8.0,9.311312,19.188084,459539.94,459397.47,14112.772,0.012107984
8,9.0,8.757098,17.693909,460228.4,460086.72,14861.859,0.013587787
9,10.0,8.033881,16.338661,458436.2,458293.56,15888.62,0.012219525
10,11.0,7.4559097,15.045393,460454.56,460311.1,16881.951,0.014911207
11,12.0,6.9450445,13.656931,459399.44,459257.1,18127.629,0.014452944
12,13.0,6.403106,12.436586,459364.5,459223.28,19542.62,0.015166395
13,14.0,6.0298324,11.475554,460827.1,460683.47,20539.916,0.014646114
14,15.0,5.6893435,10.531425,461272.1,461129.3,21973.387,0.015259852
15,16.0,5.273463,9.767794,458108.47,457966.53,23200.803,0.017125672
16,17.0,4.9795575,9.02358,458826.94,458685.84,24562.682,0.01916886
17,18.0,4.7175217,8.452933,461215.3,461072.97,25682.139,0.019850956
18,19.0,4.4535704,7.9135094,459515.5,459373.94,26845.85,0.020520212
19,20.0,4.26382,7.4039545,461101.7,460958.16,28088.428,0.01663303
20,21.0,4.0768065,6.9723396,461972.16,461829.66,29130.63,0.020244846
21,22.0,3.833051,6.5644474,459287.34,459145.2,30472.354,0.020882582
22,23.0,3.6633987,6.229873,459528.44,459387.7,31498.678,0.019785807
23,24.0,3.543007,5.905481,461920.06,461777.6,32610.328,0.02202791
24,25.0,3.3761394,5.588305,460170.3,460029.06,33696.293,0.022590695
25,26.0,3.2232375,5.3256593,461308.6,461165.03,34887.465,0.023164812
26,27.0,3.1034577,5.0556307,459479.06,459337.28,35991.977,0.025548926
27,28.0,2.9497988,4.8369427,458507.0,458366.0,37130.29,0.02243437
28,29.0,2.8395634,4.609992,457902.47,457761.66,38254.37,0.024867216
29,30.0,2.7602222,4.4171715,460493.3,460350.44,39194.688,0.027343284
30,31.0,2.6431031,4.2221127,460457.4,460314.5,40247.62,0.02398689
31,32.0,2.558726,4.03962,460903.3,460760.22,41287.18,0.026516302
32,33.0,2.4709108,3.8817177,461085.56,460942.94,42340.125,0.027028784
33,34.0,2.3580577,3.7321005,457792.0,457652.06,43429.28,0.027587328
34,35.0,2.3033693,3.5679204,460284.84,460142.75,44363.63,0.025974674
35,36.0,2.2209966,3.4235272,460524.2,460380.4,45459.18,0.02865026
36,37.0,2.152434,3.3160586,462145.5,462002.47,46345.617,0.03144396
37,38.0,2.070851,3.193254,458276.2,458134.94,47556.977,0.02970593
38,39.0,1.9976016,3.070495,457461.94,457319.44,48631.9,0.03258075
39,40.0,1.9537977,2.9651575,460028.5,459886.34,49509.414,0.030779246
40,41.0,1.8863163,2.8623242,459608.72,459466.78,50465.88,0.031287126
41,42.0,1.8329612,2.7716794,460765.66,460623.25,51389.832,0.034266297
42,43.0,1.786548,2.680431,463307.06,463163.28,52421.668,0.024880048
43,44.0,1.7231578,2.6040812,459654.06,459511.44,53450.137,0.030359106
44,45.0,1.6666176,2.509481,459566.66,459426.0,54446.77,0.033396464
45,46.0,1.6331891,2.434272,461971.06,461827.75,55258.457,0.031330187
46,47.0,1.5783752,2.3523483,459930.4,459787.84,56503.97,0.03442839
47,48.0,1.5300776,2.2835283,460367.75,460225.53,57398.01,0.034968756
48,49.0,1.4991778,2.2182674,461935.25,461791.9,58268.6,0.035478618
49,50.0,1.4439013,2.1550393,459470.4,459329.0,59666.348,0.036018047
50,51.0,1.4009984,2.0947526,458776.2,458634.25,60373.15,0.039348762
51,52.0,1.3622044,2.0310965,458165.53,458024.03,61351.785,0.039895833
52,53.0,1.3317093,1.9746382,460201.2,460058.0,62537.832,0.02890645
53,54.0,1.2988712,1.9246618,461444.66,461300.28,63240.887,0.041033212
