,epoch,loss,val_loss,ivw,evw,ivw_ann,refState_loss
0,1.0,115.020195,174.01091,458528.28,458386.44,881.7792,0.0
1,2.0,62.29459,97.932526,460450.03,460307.78,6583.1294,0.0
2,3.0,41.335056,53.970146,460640.0,460497.78,10386.782,0.0
3,4.0,27.437729,33.57242,460257.03,460114.34,13926.005,0.0
4,5.0,18.121721,24.4701,460461.5,460318.84,17324.324,0.0
5,6.0,13.2924595,17.561165,459329.47,459187.56,21058.453,0.0
6,7.0,12.379793,16.308645,458482.06,458340.1,23527.7,0.0
7,8.0,11.651067,14.519224,458983.34,458840.5,24338.172,0.0
8,9.0,10.973465,13.175496,460653.2,460511.03,25535.045,0.0
9,10.0,10.173195,12.043871,458396.22,458253.6,26849.312,0.0
10,11.0,9.49336,10.974066,460304.34,460161.75,28223.873,0.0
11,12.0,8.755372,9.99618,459974.72,459832.3,29661.31,0.0
12,13.0,8.070315,9.159389,458913.25,458771.44,31122.1,0.0
13,14.0,7.4562387,8.453001,458112.66,457970.8,32595.623,0.0
14,15.0,7.012126,7.8148184,461962.44,461818.72,34003.32,0.0
15,16.0,6.536099,7.2756205,460376.78,460233.1,35368.062,0.0
16,17.0,6.1315913,6.8106647,460351.78,460208.22,36649.492,0.0
17,18.0,5.7343187,6.3886776,457670.6,457529.1,37974.066,0.0
18,19.0,5.4765635,6.01007,462028.8,461885.47,39196.293,0.0
19,20.0,5.1765885,5.668462,460713.47,460571.03,40438.57,0.0
20,21.0,4.9023623,5.367632,459848.5,459705.94,41640.5,0.0
21,22.0,4.6453257,5.088011,459460.6,459319.28,42844.133,0.0
22,23.0,4.429871,4.826419,459196.78,459054.8,44016.324,0.0
23,24.0,4.228151,4.5895414,458994.0,458852.78,45137.97,0.0
24,25.0,4.018459,4.3739634,457611.22,457470.66,46309.87,0.0
25,26.0,3.8485646,4.175762,458225.97,458084.97,47400.85,0.0
26,27.0,3.6857288,3.9888976,458838.78,458696.66,48491.668,0.0
27,28.0,3.5340302,3.823812,460373.06,460230.3,49539.773,0.0
28,29.0,3.382515,3.6638231,459811.44,459669.84,50608.133,0.0
29,30.0,3.2372317,3.51689,458696.44,458554.84,51673.78,0.0
30,31.0,3.1283357,3.3797002,460415.4,460271.16,52675.562,0.0
31,32.0,3.0016,3.2516048,460700.0,460557.7,53718.758,0.0
32,33.0,2.8839443,3.126484,460057.9,459915.4,54768.43,0.0
33,34.0,2.7941308,3.0182288,462233.03,462089.16,55713.12,0.0
34,35.0,2.68454,2.9082851,460074.0,459930.28,56776.7,0.0
35,36.0,2.5871265,2.807324,460086.47,459943.75,57772.793,0.0
36,37.0,2.5009549,2.713741,460701.72,460558.8,58724.457,0.0
37,38.0,2.418043,2.6237686,460921.0,460778.2,59756.105,0.0
38,39.0,2.3399587,2.5406263,460554.22,460410.28,60660.363,0.0
39,40.0,2.2598584,2.4593792,460169.16,460025.53,61684.543,0.0
40,41.0,2.1787853,2.3800766,458860.7,458718.47,62697.844,0.0
41,42.0,2.1320071,2.3071563,462436.6,462292.22,63583.95,0.0
42,43.0,2.0551057,2.2359545,460889.78,460746.97,64604.105,0.0
43,44.0,2.0010064,2.167241,462139.28,461996.03,65549.03,0.0
44,45.0,1.9345258,2.1051242,461434.8,461291.16,66513.46,0.0
45,46.0,1.8768698,2.0446138,461409.0,461265.97,67464.14,0.0
46,47.0,1.8172914,1.9887769,460884.25,460741.3,68428.055,0.0
47,48.0,1.7649366,1.9285495,460794.1,460652.4,69396.9,0.0
48,49.0,1.7135277,1.8765161,459800.78,459658.56,70337.62,0.0
49,50.0,1.6648767,1.8238375,459253.7,459110.94,71381.83,0.0
50,51.0,1.615402,1.7475208,461646.84,461503.44,73083.734,0.0
51,52.0,1.550956,1.6959293,459243.56,459102.5,74221.664,0.0
52,53.0,1.5020982,1.6516793,457228.75,457087.78,75110.88,0.0
53,54.0,1.470855,1.6068888,459505.8,459362.56,75955.42,0.0
54,55.0,1.4312888,1.5648509,459821.8,459678.6,76839.086,0.0
55,56.0,1.3884468,1.5237057,458968.84,458826.47,77798.19,0.0
56,57.0,1.3534528,1.4818585,459753.28,459611.75,78686.836,0.0
57,58.0,1.3232299,1.4453294,460810.1,460666.97,79528.984,0.0
58,59.0,1.2891248,1.4094574,461320.7,461177.8,80456.25,0.0
59,60.0,1.2471713,1.3741155,458861.72,458720.72,81371.234,0.0
60,61.0,1.2223471,1.3415592,460904.97,460761.47,82249.61,0.0
61,62.0,1.1976291,1.3095183,462522.1,462378.25,83016.82,0.0
62,63.0,1.1571887,1.2787683,460175.25,460033.06,83976.445,0.0
63,64.0,1.1324344,1.2496084,460969.78,460827.03,84787.43,0.0
64,65.0,1.1053779,1.22159,460599.28,460454.84,85585.125,0.0
65,66.0,1.0766262,1.196549,460725.28,460583.25,86431.67,0.0
