,epoch,loss,val_loss,ivw,evw,ivw_ann,wp_loss,triax_loss
0,1.0,302.4622,371.40967,64762.395,64774.47,-8.893396,0.0,0.0
1,2.0,160.80682,381.4225,96026.17,96107.93,122.72572,0.0,0.0
2,3.0,32.036633,363.57843,85463.945,85543.58,289.7165,0.0,0.0
3,4.0,23.91441,190.60156,80183.07,80214.41,247.57619,0.0,0.0
4,5.0,11.145075,112.92205,80318.5,80347.36,364.73953,0.0,0.0
5,6.0,3.2310262,70.656136,85399.586,85480.305,928.42676,0.0,0.0
6,7.0,1.8877964,50.7963,68198.56,68190.79,886.93445,0.0,0.0
7,8.0,3.4942317,21.153538,50763.164,50630.723,386.80713,0.0,0.0
8,9.0,2.4032245,17.460625,52125.79,51973.6,533.2655,0.0,0.0
9,10.0,0.9779061,10.801997,76554.12,76578.75,1377.9473,0.0,0.0
10,11.0,0.98267543,9.435448,79640.086,79670.234,1349.4587,0.0,0.0
11,12.0,0.77319384,5.497238,79866.54,79897.58,1556.6975,0.0,0.0
12,13.0,0.37727714,4.349135,53264.543,53249.703,1555.2312,0.0,0.0
13,14.0,0.40644172,3.5441391,86180.016,86261.0,2873.6765,0.0,0.0
14,15.0,0.40728098,2.6635141,73662.57,73673.66,2028.7249,0.0,0.0
15,16.0,0.2976318,2.2462764,84668.25,84726.7,3120.4082,0.0,0.0
16,17.0,0.24184833,1.6997656,65753.266,65761.47,2405.6528,0.0,0.0
17,18.0,0.20849109,11.870403,85071.28,85132.0,3804.0774,0.0,0.0
18,19.0,0.18404157,1.6940019,65034.082,65045.36,2768.9373,0.0,0.0
19,20.0,0.12598664,1.6383519,53120.67,53104.92,2722.6929,0.0,0.0
20,21.0,0.18555713,1.2871628,80523.45,80554.14,3569.7817,0.0,0.0
21,22.0,0.1422031,0.9128368,96444.47,96529.06,5377.2676,0.0,0.0
22,23.0,0.1348845,2.8278675,68454.5,68439.03,3437.3604,0.0,0.0
23,24.0,0.117639825,0.552357,98494.45,98578.65,6206.43,0.0,0.0
24,25.0,0.119388275,225.41039,68211.625,68194.03,3592.4333,0.0,0.0
25,26.0,0.08506225,42.441578,77143.39,77174.53,5263.281,0.0,0.0
26,27.0,0.07189517,4.7310348,68336.766,68331.86,4916.1562,0.0,0.0
27,28.0,0.06445343,0.72940445,67742.75,67737.86,5163.491,0.0,0.0
28,29.0,0.05765345,0.34023017,67519.04,67513.3,5434.704,0.0,0.0
