,epoch,loss,val_loss,ivw,evw,ivw_ann,refState_loss
0,1.0,955379600.0,146055.1,67690.49,67721.14,777.2207,2237405.0
1,2.0,61541.715,35351.355,67690.49,67721.15,3986.6133,41191.72
2,3.0,27789.959,20595.584,67690.51,67721.15,5801.975,25672.088
3,4.0,16269.981,12224.527,67690.49,67721.14,7680.438,17796.47
4,5.0,9515.344,7020.662,67690.49,67721.15,10221.18,12229.743
5,6.0,5654.896,4310.948,67690.49,67721.14,13292.603,8481.305
6,7.0,3568.9995,2798.2227,67690.49,67721.14,16486.512,6164.531
7,8.0,2297.2205,1783.8145,67690.5,67721.14,19678.135,4659.304
8,9.0,1524.1985,1229.3777,67690.5,67721.14,22652.605,3677.1582
9,10.0,1073.4045,888.3816,67690.49,67721.14,25423.691,2988.1135
10,11.0,794.1764,669.9889,67690.5,67721.14,28057.14,2478.8594
11,12.0,603.23004,516.3928,67690.49,67721.15,30485.996,2088.6255
12,13.0,472.7929,411.19714,67690.5,67721.15,32858.035,1779.6179
13,14.0,378.15112,331.86636,67690.5,67721.14,35196.81,1531.9861
14,15.0,308.41885,273.22748,67690.49,67721.13,37443.816,1331.3063
15,16.0,254.05692,227.84174,67690.49,67721.14,39528.906,1166.8025
16,17.0,213.70901,191.70285,67690.49,67721.14,41660.934,1029.6659
17,18.0,180.78735,164.03822,67690.5,67721.15,43593.418,914.7607
18,19.0,155.35307,142.60678,67690.49,67721.14,45488.44,819.0465
19,20.0,135.30367,125.670166,67690.5,67721.15,47217.79,740.4576
20,21.0,119.25861,111.121704,67690.49,67721.14,48902.35,673.6409
21,22.0,105.71261,99.45732,67690.5,67721.14,50618.242,616.01074
22,23.0,94.61127,90.23677,67690.5,67721.14,52203.57,566.8869
23,24.0,85.62376,82.027954,67690.49,67721.15,53764.43,526.6429
24,25.0,78.46425,75.754745,67690.49,67721.14,55171.35,492.65497
25,26.0,72.574394,70.90275,67690.5,67721.14,56381.805,464.6065
26,27.0,67.84409,66.54578,67690.49,67721.14,57575.676,441.22162
27,28.0,63.41553,62.759964,67690.5,67721.14,58889.78,420.10037
