,epoch,loss,val_loss,ivw,evw,ivw_ann,wp_loss,triax_loss
0,1.0,3.374366e-07,4.1398232e-07,70683.85,70708.68,71060.98,0.0,0.0
1,2.0,1.3033866e-08,1.950473e-08,79381.61,79417.78,79429.61,0.0,0.0
2,3.0,5.8348104e-09,4.0786443e-08,59649.766,59669.67,59702.52,0.0,0.0
3,4.0,8.092803e-09,1.7096617e-08,70683.85,70708.695,70981.66,0.0,0.0
4,5.0,5.7922236e-09,1.6625442e-08,76874.14,76903.53,76885.5,0.0,0.0
5,6.0,3.2423921e-09,6.2921854e-09,49736.89,49749.008,49775.9,0.0,0.0
6,7.0,7.195252e-09,8.781999e-09,61181.207,61200.125,61208.562,0.0,0.0
7,8.0,2.913436e-09,6.9274355e-09,70683.87,70708.69,70689.8,0.0,0.0
8,9.0,3.3032643e-09,1.1105074e-08,54209.83,54224.95,54132.277,0.0,0.0
9,10.0,4.173108e-09,1.353357e-08,59649.766,59669.67,59607.09,0.0,0.0
10,11.0,5.243978e-09,9.909583e-09,49736.89,49749.008,49773.832,0.0,0.0
11,12.0,2.459491e-09,1.1565754e-08,89784.94,89822.81,89932.984,0.0,0.0
12,13.0,3.4120886e-09,8.071589e-09,70683.85,70708.68,70719.445,0.0,0.0
13,14.0,1.5501653e-09,6.7451276e-09,59649.77,59669.67,59639.832,0.0,0.0
14,15.0,3.318361e-09,1.3841994e-08,70683.86,70708.68,70770.63,0.0,0.0
15,16.0,4.3963175e-09,1.0327056e-08,49736.89,49749.01,49805.01,0.0,0.0
16,17.0,1.1398582e-07,1.8471454e-07,66599.07,66620.22,66292.77,0.0,0.0
17,18.0,1.9867157e-09,6.4532597e-09,76874.14,76903.53,76951.336,0.0,0.0
18,19.0,3.9777746e-09,8.842788e-09,73032.42,73056.41,73177.58,0.0,0.0
19,20.0,2.6363023e-09,9.211515e-09,88882.82,88920.47,88920.71,0.0,0.0
20,21.0,2.1489697e-09,8.268442e-09,61181.207,61200.125,61216.77,0.0,0.0
21,22.0,2.6667104e-09,7.45625e-09,73032.414,73056.41,73044.69,0.0,0.0
22,23.0,2.8079667e-09,1.0495817e-08,73032.414,73056.39,73111.3,0.0,0.0
23,24.0,1.6166953e-09,5.0009974e-09,59649.77,59669.67,59697.918,0.0,0.0
24,25.0,1.8484139e-08,1.8702774e-08,59649.766,59669.67,59649.105,0.0,0.0
25,26.0,1.3124317e-09,7.135536e-09,89995.555,90033.7,89984.234,0.0,0.0
26,27.0,5.7378937e-09,1.4362532e-08,73032.42,73056.4,73091.34,0.0,0.0
27,28.0,4.670648e-09,1.3337346e-08,45144.09,45153.195,45113.42,0.0,0.0
28,29.0,1.3704855e-08,1.7409887e-08,79381.61,79417.77,79415.81,0.0,0.0
29,30.0,1.936043e-09,4.1866333e-09,76874.15,76903.53,76939.25,0.0,0.0
30,31.0,2.8596436e-09,5.0973883e-09,61181.207,61200.125,61220.508,0.0,0.0
31,32.0,5.05477e-09,6.9303456e-09,78065.234,78095.06,78083.44,0.0,0.0
32,33.0,1.140855e-08,1.2186032e-08,78065.24,78095.055,78023.16,0.0,0.0
33,34.0,1.0716477e-08,1.7515628e-08,70683.86,70708.68,70662.36,0.0,0.0
34,35.0,6.8640995e-09,2.0748688e-08,73032.414,73056.4,73030.97,0.0,0.0
35,36.0,3.169728e-09,6.2899987e-09,70683.85,70708.69,70678.71,0.0,0.0
36,37.0,4.188089e-09,8.504397e-09,79381.62,79417.78,79423.516,0.0,0.0
37,38.0,1.0400476e-08,1.1934945e-08,70683.86,70708.69,70688.56,0.0,0.0
38,39.0,3.4691362e-07,6.437518e-07,49736.89,49749.01,50436.016,0.0,0.0
39,40.0,5.5253622e-08,1.7839092e-07,78065.24,78095.06,78066.12,0.0,0.0
40,41.0,5.5025673e-08,2.125339e-07,54209.83,54224.95,54105.137,0.0,0.0
41,42.0,2.4819672e-08,1.856133e-07,90099.42,90137.555,90283.56,0.0,0.0
42,43.0,3.8268118e-07,1.1411065e-06,43760.547,43768.98,43776.15,0.0,0.0
43,44.0,8.4343576e-08,2.6651006e-07,66599.07,66620.22,66441.48,0.0,0.0
44,45.0,4.439486e-08,1.037878e-07,70683.86,70708.68,70570.69,0.0,0.0
45,46.0,2.9687357e-08,1.2799761e-07,54209.83,54224.95,54256.383,0.0,0.0
46,47.0,2.4641407e-08,1.16826286e-07,66599.07,66620.22,66873.42,0.0,0.0
47,48.0,5.2459335e-08,9.822531e-08,49736.89,49749.008,49805.99,0.0,0.0
48,49.0,5.8468785e-08,1.1627128e-07,49736.89,49749.008,49768.355,0.0,0.0
49,50.0,5.5561607e-08,9.1086264e-08,49736.89,49749.01,49814.047,0.0,0.0
50,51.0,3.629937e-08,9.4492066e-08,66599.07,66620.22,66388.586,0.0,0.0
51,52.0,8.534445e-08,1.03563465e-07,59649.766,59669.67,59564.93,0.0,0.0
52,53.0,1.8065288e-08,4.6243702e-08,70683.85,70708.69,70717.44,0.0,0.0
53,54.0,1.5957356e-08,5.2357947e-08,59649.766,59669.67,59525.438,0.0,0.0
54,55.0,6.409582e-08,9.0933554e-08,78065.24,78095.06,78286.836,0.0,0.0
55,56.0,1.5373137e-08,4.9132595e-08,79381.61,79417.78,79475.836,0.0,0.0
56,57.0,9.884468e-09,5.984179e-08,70683.86,70708.69,70703.82,0.0,0.0
57,58.0,1.6320408e-08,5.585173e-08,66599.055,66620.22,66615.375,0.0,0.0
58,59.0,1.861412e-08,4.3287592e-08,61181.207,61200.125,61225.18,0.0,0.0
59,60.0,2.3416932e-08,8.34966e-08,73032.414,73056.4,73166.695,0.0,0.0
60,61.0,1.0549673e-08,6.9256416e-08,54209.83,54224.95,54252.914,0.0,0.0
61,62.0,3.6488093e-08,9.116189e-08,61181.203,61200.125,61090.367,0.0,0.0
62,63.0,8.053995e-09,6.050629e-08,70683.85,70708.69,70733.97,0.0,0.0
63,64.0,2.3151465e-08,3.613201e-08,45899.492,45909.04,45961.633,0.0,0.0
64,65.0,8.0971505e-09,2.6733375e-08,59649.766,59669.67,59629.39,0.0,0.0
65,66.0,7.058236e-09,2.3090518e-08,79381.61,79417.78,79410.53,0.0,0.0
