,epoch,loss,val_loss,ivw,evw,ivw_ann,refState_loss
0,1.0,455414.22,107994.7,685207.3,685302.4,21952.582,0.0
1,2.0,48942.633,60824.133,685207.3,685302.4,44070.82,0.0
2,3.0,30507.443,36773.223,685207.2,685302.4,60051.152,0.0
3,4.0,19240.158,23124.607,685207.3,685302.44,78561.39,0.0
4,5.0,15216.282,16623.572,685207.3,685302.4,90205.836,0.0
5,6.0,12522.81,14008.182,685207.3,685302.44,98674.266,0.0
6,7.0,10187.575,11301.51,685207.4,685302.44,106398.74,0.0
7,8.0,8547.122,9210.229,685207.2,685302.44,114928.234,0.0
8,9.0,7237.064,7466.6147,685207.3,685302.4,122692.336,0.0
9,10.0,6188.5425,6188.6006,685207.3,685302.4,131438.17,0.0
10,11.0,5367.707,5401.755,685207.2,685302.4,139461.22,0.0
11,12.0,4715.4756,4799.995,685207.3,685302.44,146799.03,0.0
12,13.0,4216.2944,4292.002,685207.2,685302.4,154116.3,0.0
13,14.0,3800.5022,3894.9106,685207.3,685302.4,161265.23,0.0
14,15.0,3484.2688,3533.0872,685207.4,685302.44,168043.22,0.0
15,16.0,3185.5154,3230.8486,685207.3,685302.4,175042.83,0.0
16,17.0,2942.1267,2988.6045,685207.3,685302.44,181629.25,0.0
17,18.0,2727.6284,2774.5996,685207.3,685302.44,187754.95,0.0
18,19.0,2541.2664,2590.0732,685207.3,685302.44,194166.14,0.0
19,20.0,2384.235,2439.181,685207.2,685302.44,199481.53,0.0
20,21.0,2254.9612,2289.5073,685207.2,685302.4,205039.12,0.0
21,22.0,2121.1382,2157.543,685207.3,685302.4,210790.34,0.0
22,23.0,2007.3362,2040.5813,685207.3,685302.4,216736.28,0.0
23,24.0,1906.3346,1935.3148,685207.3,685302.44,221998.66,0.0
24,25.0,1811.9135,1843.2036,685207.3,685302.4,227457.12,0.0
25,26.0,1721.6287,1748.4785,685207.3,685302.44,233482.23,0.0
26,27.0,1643.0251,1664.544,685207.3,685302.4,238882.61,0.0
27,28.0,1573.9958,1586.637,685207.2,685302.4,244724.88,0.0
28,29.0,1501.4913,1518.6592,685207.3,685302.4,250408.02,0.0
29,30.0,1437.5529,1454.9746,685207.3,685302.44,255825.62,0.0
30,31.0,1384.6288,1395.1556,685207.2,685302.4,261225.45,0.0
31,32.0,1331.1068,1342.9492,685207.3,685302.4,266314.75,0.0
32,33.0,1280.364,1295.1847,685207.3,685302.4,271510.22,0.0
33,34.0,1238.7913,1247.5562,685207.3,685302.44,276627.06,0.0
34,35.0,1194.4355,1204.5933,685207.3,685302.4,281926.0,0.0
