,epoch,loss,val_loss,ivw,evw,ivw_ann,refState_loss
0,1.0,15.106444,41.77094,126443.27,126463.4,132.99455,0.0
1,2.0,6.2899384,11.118669,126443.29,126463.414,745.5905,0.0
2,3.0,2.767673,4.2230415,126443.29,126463.414,1809.34,0.0
3,4.0,2.1633415,2.2079563,126443.29,126463.414,2461.5046,0.0
4,5.0,1.7607566,1.7826104,126443.27,126463.414,2771.5447,0.0
5,6.0,1.5037918,1.489246,126443.27,126463.42,3034.6785,0.0
6,7.0,1.2395515,1.2910283,126443.29,126463.42,3321.7297,0.0
7,8.0,1.0973613,1.0906868,126443.27,126463.42,3605.1345,0.0
8,9.0,0.9097516,0.9218744,126443.27,126463.414,3912.7368,0.0
9,10.0,0.8260599,0.8070499,126443.29,126463.42,4228.673,0.0
10,11.0,0.708509,0.67953,126443.27,126463.414,4545.968,0.0
11,12.0,0.632617,0.6071308,126443.29,126463.42,4832.132,0.0
12,13.0,0.5426664,0.54941183,126443.29,126463.4,5109.206,0.0
13,14.0,0.5060116,0.50351954,126443.29,126463.414,5356.503,0.0
14,15.0,0.45523903,0.4604026,126443.27,126463.414,5612.478,0.0
15,16.0,0.413855,0.42628014,126443.27,126463.414,5850.22,0.0
16,17.0,0.39142856,0.39471263,126443.266,126463.414,6076.977,0.0
17,18.0,0.36599883,0.36860234,126443.27,126463.4,6304.3433,0.0
18,19.0,0.342534,0.34527344,126443.29,126463.414,6521.6567,0.0
19,20.0,0.31409577,0.32348943,126443.27,126463.414,6738.6675,0.0
20,21.0,0.2997921,0.30343652,126443.27,126463.414,6948.395,0.0
21,22.0,0.2810503,0.28802624,126443.29,126463.414,7155.1323,0.0
22,23.0,0.2586362,0.27062878,126443.266,126463.42,7354.1064,0.0
23,24.0,0.24484356,0.25728533,126443.27,126463.414,7551.31,0.0
24,25.0,0.23927975,0.24531187,126443.29,126463.414,7742.1416,0.0
25,26.0,0.2217165,0.23338778,126443.3,126463.414,7932.0884,0.0
26,27.0,0.21548559,0.22184706,126443.29,126463.414,8126.7017,0.0
27,28.0,0.20383503,0.21200626,126443.27,126463.414,8309.183,0.0
28,29.0,0.19430867,0.20353694,126443.29,126463.42,8496.86,0.0
29,30.0,0.18620601,0.19332436,126443.27,126463.4,8686.71,0.0
30,31.0,0.18093391,0.1853828,126443.266,126463.414,8870.849,0.0
31,32.0,0.17365418,0.1788847,126443.3,126463.42,9050.494,0.0
32,33.0,0.16873077,0.17111273,126443.29,126463.414,9240.003,0.0
33,34.0,0.15555586,0.1648865,126443.266,126463.414,9427.393,0.0
34,35.0,0.14877526,0.15810816,126443.27,126463.414,9600.927,0.0
35,36.0,0.149343,0.1524958,126443.29,126463.42,9781.203,0.0
36,37.0,0.13668224,0.14649431,126443.27,126463.414,9963.33,0.0
37,38.0,0.1348644,0.14176732,126443.27,126463.414,10133.971,0.0
38,39.0,0.13347965,0.13626376,126443.266,126463.414,10319.101,0.0
39,40.0,0.13093786,0.1314216,126443.27,126463.414,10494.353,0.0
40,41.0,0.12216211,0.12661389,126443.3,126463.414,10682.314,0.0
41,42.0,0.11580231,0.12281738,126443.29,126463.414,10856.761,0.0
42,43.0,0.115014724,0.11875927,126443.29,126463.414,11029.978,0.0
43,44.0,0.11044762,0.11449782,126443.27,126463.4,11210.771,0.0
44,45.0,0.10336455,0.11116067,126443.27,126463.414,11383.023,0.0
