,epoch,loss,val_loss,ivw,evw,ivw_ann,f_loss
0,1.0,27705.383,42902.703,21255.531,21257.596,114.43117,16623.227
1,2.0,7329.2925,7047.4995,36278.273,36284.207,352.54462,4397.575
2,3.0,3482.0698,4461.1553,28688.828,28692.596,403.23438,2089.2422
3,4.0,3315.369,3057.6006,39040.63,39047.53,572.86804,1989.2213
4,5.0,2385.1357,2181.7354,39040.633,39047.53,689.6531,1431.0813
5,6.0,1886.7444,1614.21,44076.965,44085.45,867.2979,1132.0465
6,7.0,1195.7759,1229.8657,36522.793,36528.203,931.0434,717.46545
7,8.0,518.2351,964.301,21255.53,21257.594,810.00006,310.941
8,9.0,758.3919,774.45953,36522.797,36528.203,1185.8212,455.03513
9,10.0,629.9514,635.83234,36659.71,36665.676,1296.3955,377.97083
10,11.0,529.1098,536.50836,36126.33,36132.19,1396.0203,317.46588
11,12.0,457.14648,461.5436,36125.562,36131.42,1506.9493,274.2879
12,13.0,430.27597,402.47488,39040.633,39047.53,1667.8842,258.16556
13,14.0,428.60583,354.89767,40900.43,40908.664,1753.3726,257.16348
14,15.0,287.48987,314.9906,33850.406,33855.336,1789.2583,172.49391
15,16.0,330.1471,281.95935,44426.21,44434.766,2155.538,198.08823
16,17.0,238.60056,253.26978,34125.824,34130.81,1993.3566,143.16034
17,18.0,176.55762,228.72859,27310.002,27313.604,1831.1992,105.93457
18,19.0,199.76701,207.52226,36800.04,36805.94,2301.03,119.86019
19,20.0,102.06992,188.5804,21255.53,21257.592,1843.438,61.24195
20,21.0,165.69606,172.02742,36522.793,36528.2,2520.5571,99.417625
21,22.0,167.93562,157.36499,39040.63,39047.53,2648.5,100.761375
22,23.0,108.750885,143.91042,28266.451,28270.201,2362.9666,65.25053
23,24.0,127.48526,131.98155,36522.793,36528.203,2863.4175,76.49115
24,25.0,93.474396,121.163086,28195.303,28199.057,2546.6182,56.08463
25,26.0,100.99082,111.41291,34004.766,34009.723,2966.2937,60.594498
26,27.0,124.43643,102.623146,40456.637,40464.805,3166.0903,74.66184
27,28.0,90.99905,94.49063,36522.797,36528.2,3355.923,54.599426
28,29.0,84.01482,87.131,36522.793,36528.2,3486.5132,50.408886
29,30.0,99.77322,80.42908,40580.87,40589.1,3550.8079,59.863926
30,31.0,71.409935,74.19273,36522.797,36528.2,3758.454,42.845955
31,32.0,59.370937,68.55696,30595.635,30600.059,3452.5623,35.62256
32,33.0,68.09741,63.383865,39040.63,39047.53,4069.3333,40.858444
33,34.0,72.718346,58.59137,40860.56,40868.8,4138.393,43.631
34,35.0,65.42634,54.1455,39937.82,39945.9,4209.472,39.255795
35,36.0,49.000137,50.0598,35962.39,35968.258,4391.485,29.400082
36,37.0,44.31783,46.31686,35872.207,35878.023,4578.084,26.590693
37,38.0,43.09779,42.84001,36236.758,36242.668,4712.7285,25.858671
38,39.0,30.135624,39.622814,28160.523,28164.252,4307.761,18.081373
39,40.0,37.109894,36.68428,36861.117,36867.156,5118.494,22.265936
40,41.0,30.697977,33.938015,33986.617,33991.562,5128.129,18.418787
41,42.0,30.784136,31.427195,35588.348,35594.117,5342.2217,18.470482
42,43.0,30.948368,29.095451,38444.973,38451.766,5709.18,18.569021
43,44.0,26.597588,26.925707,36145.9,36151.766,5793.544,15.958552
44,45.0,16.796947,24.911114,24871.62,24874.504,4937.4365,10.078167
45,46.0,15.509816,23.053076,24871.617,24874.508,5106.406,9.305889
46,47.0,14.323362,21.335579,24871.62,24874.506,5279.7534,8.594017
47,48.0,16.701946,19.759375,30595.633,30600.059,6018.1147,10.021168
48,49.0,17.87242,18.285952,35996.668,36002.516,6845.1235,10.723451
49,50.0,18.443848,16.923235,38444.977,38451.766,7212.154,11.06631
50,51.0,16.926691,15.6498,38444.977,38451.766,7453.492,10.1560135
51,52.0,15.707358,14.472707,38444.977,38451.766,7701.009,9.424414
52,53.0,8.857222,13.377859,24871.62,24874.506,6429.2773,5.3143325
53,54.0,9.447061,12.370582,28735.02,28738.799,7218.4253,5.668236
