,epoch,loss,val_loss,ivw,evw,ivw_ann,refState_loss
0,1.0,1293.4417,2417.0083,265526.0,265430.75,-280.30386,0.10967721
1,2.0,322.00616,534.5646,239942.81,239864.22,25.575459,0.31139845
2,3.0,150.2511,210.78934,201539.08,201482.38,778.1354,0.59408617
3,4.0,101.593254,111.069756,201375.66,201318.4,1124.7648,0.91893625
4,5.0,73.81675,68.68169,187952.38,187905.67,1948.6254,1.2436318
5,6.0,30.108757,52.147873,291617.9,291512.7,90.41329,1.3753588
6,7.0,21.321106,44.008,237696.22,237618.58,60.39145,1.1591982
7,8.0,65.418015,41.81883,161896.1,161866.03,1137.6882,0.7776332
8,9.0,11.160752,38.201973,297549.44,297438.44,-3965.4321,0.63082373
9,10.0,13.649775,31.276896,167977.97,167938.94,-1066.9949,0.42489058
10,11.0,9.809551,27.719995,189595.4,189548.48,-2108.252,0.2954066
11,12.0,9.42179,26.692822,166099.6,166061.89,-2224.5322,0.20174795
12,13.0,6.0827703,29.16875,202902.53,202845.47,-4426.223,0.13889883
13,14.0,5.5150294,32.08735,210967.1,210907.69,-5252.0264,0.094574094
14,15.0,5.8183975,41.623722,228819.97,228751.33,-6172.608,0.06289257
15,16.0,4.6565323,51.534233,262672.03,262579.38,-8802.631,0.044168413
16,17.0,4.8486447,72.463486,230120.6,230049.84,-7485.4175,0.029456936
17,18.0,3.7209036,93.64354,200707.17,200650.84,-7006.1226,0.020825699
18,19.0,5.096718,73.450066,164731.47,164699.62,-4544.4404,0.0142133515
19,20.0,3.541595,56.68902,210971.8,210911.25,-8202.0205,0.012649855
20,21.0,3.9083037,44.91472,249792.36,249712.58,-10295.511,0.009247208
21,22.0,3.6759586,36.268658,249793.7,249714.16,-10747.758,0.0073591266
22,23.0,2.577614,29.516441,237877.12,237799.81,-11142.849,0.0063821157
23,24.0,2.7929635,24.856508,210566.8,210507.38,-9798.568,0.005366359
24,25.0,2.6619952,20.617334,212056.23,211996.28,-10194.621,0.005038239
25,26.0,2.8033965,17.298698,230311.23,230241.12,-11406.943,0.0039661396
26,27.0,2.3215675,14.552471,265057.5,264961.12,-14083.042,0.0034413985
27,28.0,1.8623319,12.412107,210035.28,209976.28,-11318.246,0.0032001673
28,29.0,2.0682476,10.649538,202573.58,202516.53,-10960.469,0.001852792
29,30.0,1.7045023,9.156976,211840.23,211780.52,-12060.4,0.0015643841
30,31.0,2.1744337,7.8744097,262890.3,262797.12,-14738.869,0.0019621467
31,32.0,1.5748587,6.840172,212033.14,211973.19,-12592.182,0.0014954923
32,33.0,2.0903807,5.969995,290953.53,290849.78,-16853.014,0.0011275702
33,34.0,2.3064554,5.247515,248462.25,248384.22,-14326.167,0.0011352769
34,35.0,1.9979228,4.6089277,268953.12,268860.94,-15443.119,0.0015952874
35,36.0,1.9325061,4.0934086,295279.94,295170.3,-17405.111,0.00079382723
36,37.0,1.6202204,3.6548595,201653.16,201595.56,-12491.941,0.0008502377
37,38.0,1.8678277,3.2761934,239861.72,239783.72,-14828.697,0.00095266965
38,39.0,1.0587797,2.9630613,167149.9,167111.53,-11534.515,0.0015841068
39,40.0,1.3344045,2.6971307,238484.9,238409.78,-15335.822,0.0004980612
