t,epoch,loss,val_loss,ivw,evw,ivw_ann,wp_loss,triax_loss
0,1.0,7.2114685e-06,6.801267e-06,45270.48,45140.176,43882.484,0.0,0.0
1,2.0,2.103041e-08,3.4302783e-08,61176.973,61173.652,60982.555,0.0,0.0
2,3.0,7.1132797e-09,1.5859499e-08,88258.34,88343.1,88323.3,0.0,0.0
3,4.0,3.2392967e-07,1.8452377e-07,46000.02,45871.664,46526.53,0.0,0.0
4,5.0,3.7787636e-08,9.702688e-08,78053.83,78112.4,77959.84,0.0,0.0
5,6.0,2.4341421e-08,5.7417747e-08,76862.945,76917.95,76932.47,0.0,0.0
6,7.0,2.1896653e-08,3.8830766e-08,61176.965,61165.02,61212.785,0.0,0.0
7,8.0,1.17375345e-08,2.6993108e-08,59644.23,59655.867,59721.652,0.0,0.0
8,9.0,1.2517732e-08,2.1313275e-08,49736.207,49722.68,49814.633,0.0,0.0
9,10.0,6.0206045e-09,1.9772422e-08,90442.445,90528.75,90528.53,0.0,0.0
10,11.0,5.7237415e-09,1.9496428e-08,76862.94,76917.96,76855.63,0.0,0.0
11,12.0,4.7843387e-09,1.7891358e-08,66593.61,66604.97,66653.086,0.0,0.0
12,13.0,1.1380508e-08,1.5608748e-08,44974.508,44842.387,44824.844,0.0,0.0
13,14.0,3.4378367e-09,1.0008906e-08,90756.64,90843.055,90894.87,0.0,0.0
14,15.0,9.6642925e-09,1.4185286e-08,45165.176,45031.38,45018.39,0.0,0.0
15,16.0,3.157008e-09,8.65004e-09,76862.945,76917.95,76840.82,0.0,0.0
16,17.0,3.2920244e-09,6.3955947e-09,70675.59,70704.555,70599.734,0.0,0.0
17,18.0,2.3512567e-09,6.183048e-09,78053.82,78112.39,78053.43,0.0,0.0
18,19.0,2.1115172e-09,6.4324195e-09,70675.586,70698.96,70724.664,0.0,0.0
19,20.0,2.6328033e-09,8.298758e-09,66593.61,66604.97,66654.68,0.0,0.0
20,21.0,4.3118056e-09,4.67256e-09,54207.27,54150.8,54240.336,0.0,0.0
21,22.0,1.6305518e-09,4.2877235e-09,70675.59,70698.96,70749.97,0.0,0.0
22,23.0,2.7217597e-09,5.286763e-09,70675.59,70698.96,70617.82,0.0,0.0
23,24.0,1.7549289e-09,3.868066e-09,88590.02,88673.93,88649.484,0.0,0.0
24,25.0,3.1725993e-09,3.6395025e-09,88204.38,88287.46,88308.92,0.0,0.0
25,26.0,1.497486e-09,8.383672e-09,66593.62,66604.97,66639.53,0.0,0.0
26,27.0,1.300734e-09,3.6324153e-09,70675.59,70698.96,70730.38,0.0,0.0
27,28.0,1.7011096e-09,3.0622926e-09,79365.31,79442.016,79415.734,0.0,0.0
28,29.0,1.1068063e-09,2.642512e-09,61176.965,61173.652,61183.527,0.0,0.0
29,30.0,8.8305085e-10,2.2481876e-09,78053.83,78112.39,78080.88,0.0,0.0
30,31.0,2.6034491e-05,1.8003939e-05,61176.973,61165.027,67168.29,0.0,0.0
31,32.0,1.0269479e-06,3.7003358e-06,73025.53,73055.5,74270.39,0.0,0.0
32,33.0,4.6438507e-07,1.8037094e-06,73025.53,73055.5,73827.51,0.0,0.0
33,34.0,1.1371371e-06,1.1533434e-06,43974.1,43843.996,44355.926,0.0,0.0
34,35.0,2.5039196e-07,7.9665784e-07,70675.59,70698.95,71054.83,0.0,0.0
35,36.0,2.2841034e-07,5.9410024e-07,59644.23,59655.867,59912.285,0.0,0.0
36,37.0,2.1410857e-07,4.50167e-07,61176.973,61173.66,61414.957,0.0,0.0
37,38.0,1.3738935e-07,3.4000644e-07,59644.23,59655.867,59761.953,0.0,0.0
38,39.0,7.052807e-08,2.6547767e-07,76862.945,76917.96,77049.79,0.0,0.0
39,40.0,6.009646e-08,2.257476e-07,73025.53,73055.5,73473.08,0.0,0.0
40,41.0,1.0037355e-07,1.7375689e-07,49736.21,49722.68,49894.18,0.0,0.0
41,42.0,5.0826362e-08,1.4312587e-07,66593.61,66604.97,66904.66,0.0,0.0
42,43.0,3.4288625e-08,1.2163545e-07,79365.305,79442.016,79510.445,0.0,0.0
43,44.0,3.488268e-08,1.06723924e-07,70675.59,70704.555,70736.84,0.0,0.0
44,45.0,3.132498e-08,9.287801e-08,59644.23,59655.875,59708.453,0.0,0.0
45,46.0,4.670204e-08,8.464483e-08,49736.215,49722.676,49897.113,0.0,0.0
46,47.0,2.1077833e-08,7.568253e-08,70675.59,70704.56,70754.21,0.0,0.0
47,48.0,1.7799216e-08,6.870353e-08,76862.94,76917.95,76868.25,0.0,0.0
48,49.0,1.3930064e-08,6.5926855e-08,76862.94,76917.96,76851.72,0.0,0.0
49,50.0,1.4552139e-08,6.0145105e-08,76862.945,76917.95,76833.67,0.0,0.0
50,51.0,1.5806883e-08,5.6956416e-08,70675.59,70704.555,70797.57,0.0,0.0
51,52.0,1.1322609e-08,5.2938972e-08,89809.72,89893.55,89883.88,0.0,0.0
52,53.0,1.48512935e-08,4.6798302e-08,59644.23,59655.867,59631.043,0.0,0.0
53,54.0,9.589355e-09,4.444616e-08,89503.64,89586.7,89572.33,0.0,0.0
54,55.0,1.2511657e-08,4.807241e-08,73025.53,73055.5,73294.125,0.0,0.0
55,56.0,1.615569e-08,3.9541625e-08,61176.973,61173.652,61240.703,0.0,0.0
56,57.0,3.2789014e-08,3.9006053e-08,45692.555,45563.54,45597.61,0.0,0.0
57,58.0,1.0040346e-08,3.506912e-08,70675.59,70704.555,70756.91,0.0,0.0
58,59.0,8.500027e-09,3.476562e-08,61176.965,61165.02,61261.242,0.0,0.0
59,60.0,6.752398e-09,3.6368387e-08,70675.59,70698.96,70583.78,0.0,0.0
60,61.0,1.759659e-08,3.0601605e-08,49736.21,49722.68,49850.76,0.0,0.0
61,62.0,1.1180635e-08,3.0340452e-08,54207.266,54150.8,54073.855,0.0,0.0
62,63.0,2.7128188e-08,2.78266e-08,45978.36,45848.25,45843.188,0.0,0.0
63,64.0,9.931372e-09,3.4484053e-08,79365.305,79442.016,79318.3,0.0,0.0
64,65.0,6.5003625e-09,2.571542e-08,89178.49,89260.11,89177.34,0.0,0.0
65,66.0,8.747389e-09,2.4472099e-08,61176.973,61173.652,61245.805,0.0,0.0
66,67.0,6.2049224e-09,2.328617e-08,91201.81,91289.4,91317.84,0.0,0.0
67,68.0,7.873688e-09,2.207741e-08,78053.836,78112.4,78044.37,0.0,0.0
68,69.0,7.2951942e-09,2.0926961e-08,90971.04,91058.22,91074.63,0.0,0.0
69,70.0,7.797379e-09,2.2895609e-08,70675.59,70704.555,70609.29,0.0,0.0
70,71.0,1.0383412e-08,1.9925686e-08,59644.223,59655.867,59544.848,0.0,0.0
71,72.0,4.713181e-09,2.8818299e-08,61176.957,61165.027,61216.465,0.0,0.0
72,73.0,1.672155e-08,3.513721e-08,49736.21,49722.68,49650.53,0.0,0.0
73,74.0,8.311977e-09,2.4010895e-08,70675.59,70698.96,70696.98,0.0,0.0
74,75.0,5.5083116e-09,1.8763643e-08,61176.965,61173.652,61154.83,0.0,0.0
75,76.0,1.2329968e-08,1.6902694e-08,49736.215,49722.68,49770.68,0.0,0.0
76,77.0,4.2033714e-09,1.9842544e-08,76862.945,76917.95,76879.625,0.0,0.0
77,78.0,2.1439103e-08,2.3007196e-08,44123.996,43990.992,44025.97,0.0,0.0
78,79.0,4.753575e-09,2.0315625e-08,76862.945,76917.96,76951.64,0.0,0.0
79,80.0,2.388406e-08,2.310771e-08,43287.65,43157.12,43170.777,0.0,0.0
80,81.0,7.0067716e-09,2.3629209e-08,61176.965,61173.652,61237.418,0.0,0.0
81,82.0,4.0954347e-09,1.4962515e-08,70675.59,70704.555,70724.44,0.0,0.0
82,83.0,5.164772e-09,1.5378898e-08,79365.305,79442.016,79422.25,0.0,0.0
83,84.0,4.9059152e-09,1.9264744e-08,59644.23,59655.867,59665.457,0.0,0.0
84,85.0,4.80124e-09,1.5531464e-08,59644.23,59655.867,59629.547,0.0,0.0
85,86.0,7.49048e-09,2.988917e-08,73025.54,73055.49,73130.39,0.0,0.0
86,87.0,5.470076e-09,1.6334775e-08,70675.59,70698.96,70586.22,0.0,0.0
87,88.0,2.7608166e-08,9.781744e-08,66593.61,66604.97,66770.805,0.0,0.0
88,89.0,3.3384444e-09,1.7187585e-08,70675.586,70698.97,70727.49,0.0,0.0
89,90.0,2.881935e-09,2.0176502e-08,76862.94,76917.95,76924.35,0.0,0.0
90,91.0,1.581196e-08,1.3616451e-08,44435.67,44307.297,44295.777,0.0,0.0
91,92.0,4.493603e-09,1.2136573e-08,79365.305,79442.01,79386.766,0.0,0.0
92,93.0,1.0690367e-08,1.2567917e-08,49736.21,49722.68,49771.617,0.0,0.0
93,94.0,3.156561e-09,1.1836447e-08,89057.83,89140.555,89140.055,0.0,0.0
