,epoch,loss,val_loss,ivw,evw,ivw_ann,wp_loss,triax_loss
0,1.0,8.861221e-07,2.6930816e-06,73025.53,73056.4,72980.86,0.0,0.0
1,2.0,2.3075069e-08,3.0286525e-08,61176.973,61200.125,60998.016,0.0,0.0
2,3.0,6.597934e-09,2.5571742e-08,54207.27,54224.953,54124.07,0.0,0.0
3,4.0,9.478752e-09,2.206626e-08,73025.53,73056.4,73194.15,0.0,0.0
4,5.0,2.8661284e-09,9.802681e-09,59644.23,59669.67,59629.33,0.0,0.0
5,6.0,6.242171e-09,2.1455712e-08,66593.61,66620.22,66637.16,0.0,0.0
6,7.0,8.0791445e-09,8.953991e-09,61176.965,61200.125,61098.992,0.0,0.0
7,8.0,4.2725024e-09,1.0568187e-08,76862.94,76903.54,76887.016,0.0,0.0
8,9.0,6.0151275e-09,1.1409414e-08,43560.234,43568.145,43567.227,0.0,0.0
9,10.0,1.742078e-09,6.759585e-09,54207.27,54224.953,54230.203,0.0,0.0
10,11.0,1.5959148e-09,6.1245604e-09,66593.61,66620.22,66667.53,0.0,0.0
11,12.0,1.2985235e-09,5.955403e-09,78053.836,78095.055,78058.86,0.0,0.0
12,13.0,2.9017775e-09,5.5840097e-09,73025.53,73056.41,73119.516,0.0,0.0
13,14.0,1.1771473e-09,5.4203544e-09,54207.273,54224.95,54207.055,0.0,0.0
14,15.0,5.821098e-09,6.747711e-09,73025.53,73056.41,73150.3,0.0,0.0
15,16.0,2.9126526e-09,3.3555088e-09,66593.61,66620.22,66639.086,0.0,0.0
16,17.0,3.6383778e-09,4.956363e-09,49736.21,49749.008,49791.97,0.0,0.0
17,18.0,8.468752e-10,3.899465e-09,59644.223,59669.67,59674.242,0.0,0.0
18,19.0,9.931526e-10,4.5535806e-09,70675.586,70708.68,70719.47,0.0,0.0
19,20.0,1.5486796e-09,3.4793846e-09,78053.83,78095.055,78140.45,0.0,0.0
20,21.0,3.7025782e-09,4.3501425e-09,70675.586,70708.68,70750.305,0.0,0.0
21,22.0,2.4145277e-09,5.7970344e-09,70675.59,70708.68,70750.53,0.0,0.0
22,23.0,1.701269e-09,3.79949e-09,70675.59,70708.69,70682.336,0.0,0.0
23,24.0,2.7437532e-09,9.298702e-09,54207.273,54224.95,54198.285,0.0,0.0
24,25.0,2.0085975e-09,3.9380357e-09,54207.27,54224.95,54185.4,0.0,0.0
25,26.0,1.5081705e-09,4.4373105e-09,78053.83,78095.055,78142.586,0.0,0.0
26,27.0,1.7291747e-08,1.249361e-08,70675.59,70708.695,70758.86,0.0,0.0
27,28.0,5.8042637e-09,6.5000956e-09,90244.5,90299.125,90299.96,0.0,0.0
28,29.0,1.1812707e-09,3.2342806e-09,61176.965,61200.125,61218.383,0.0,0.0
29,30.0,4.2043387e-09,3.587459e-08,59644.23,59669.67,59598.562,0.0,0.0
30,31.0,2.9943257e-09,1.3296569e-08,61176.973,61200.125,61146.332,0.0,0.0
31,32.0,1.5665099e-09,8.30744e-09,79365.31,79417.78,79411.1,0.0,0.0
32,33.0,2.7356588e-09,5.4012137e-09,79365.305,79417.78,79397.01,0.0,0.0
33,34.0,2.0359785e-08,3.1375382e-08,73025.53,73056.4,73006.41,0.0,0.0
34,35.0,1.7900919e-09,8.710445e-09,70675.59,70708.695,70669.04,0.0,0.0
35,36.0,1.3889829e-09,3.036263e-09,76862.945,76903.53,76909.445,0.0,0.0
36,37.0,1.4369975e-09,4.764802e-09,61176.973,61200.117,61198.52,0.0,0.0
37,38.0,5.9409846e-09,9.977804e-09,76862.945,76903.53,76888.01,0.0,0.0
38,39.0,1.7178619e-09,4.451026e-09,66593.61,66620.22,66632.24,0.0,0.0
39,40.0,1.2991035e-09,4.844596e-09,79365.305,79417.77,79436.61,0.0,0.0
40,41.0,6.9962795e-08,8.341793e-08,43437.59,43445.54,43539.926,0.0,0.0
