,epoch,loss,val_loss,ivw,evw,ivw_ann,refState_loss
0,1.0,17890472000.0,504731800.0,275023.66,274958.56,5.8989587,927170050.0
1,2.0,4465270300.0,174968930.0,275023.66,274958.56,62.925007,214421870.0
2,3.0,1810801500.0,81073860.0,275023.66,274958.53,114.43084,96273736.0
3,4.0,914471740.0,43397308.0,275023.66,274958.53,190.9845,51803940.0
4,5.0,506578700.0,24741418.0,275023.66,274958.56,259.7191,30544298.0
5,6.0,298887260.0,15238128.0,275023.66,274958.53,357.1337,19056532.0
6,7.0,187945120.0,10095375.0,275023.66,274958.53,457.86685,12494146.0
7,8.0,129935144.0,7024082.5,275023.66,274958.53,567.4292,8608824.0
8,9.0,76612350.0,3831474.0,275023.66,274958.53,925.47314,7770498.5
9,10.0,39962430.0,2314763.0,275023.66,274958.5,1474.7804,6890621.0
10,11.0,23316848.0,1473674.8,275023.66,274958.53,1967.1804,5041646.5
11,12.0,13344173.0,967070.75,275023.66,274958.5,2583.9766,3682879.2
12,13.0,8103244.5,654898.9,275023.66,274958.56,3412.2883,2814673.5
13,14.0,5298203.0,462024.38,275023.66,274958.53,4318.316,2060410.2
14,15.0,3617580.2,334306.8,275023.66,274958.53,5281.2485,1580256.9
15,16.0,2586540.2,249723.86,275023.66,274958.53,6346.647,1196961.1
16,17.0,1897878.1,195557.16,275023.66,274958.53,7166.437,922117.8
17,18.0,1473105.0,153535.62,275023.66,274958.53,8592.736,767977.7
18,19.0,1149999.2,124303.555,275023.66,274958.53,9697.119,618383.56
19,20.0,910624.44,101533.055,275023.66,274958.5,10990.307,516948.44
20,21.0,712404.3,83154.055,275023.7,274958.53,12357.658,435065.94
21,22.0,555234.7,67540.95,275023.7,274958.53,14326.889,370084.1
22,23.0,432748.66,55847.332,275023.66,274958.53,16073.874,312712.66
23,24.0,342202.53,45862.707,275023.66,274958.53,18278.041,263818.88
24,25.0,273939.03,38041.203,275023.66,274958.53,20305.53,220418.88
25,26.0,220300.98,31732.635,275023.66,274958.56,23258.188,191062.62
26,27.0,179216.4,26723.652,275023.7,274958.53,25740.861,161353.27
27,28.0,147563.47,22896.092,275023.66,274958.53,27932.021,136733.62
