,epoch,loss,val_loss,ivw,evw,ivw_ann,refState_loss
0,1.0,170.76445,595.2485,227143.69,227074.8,-79.58398,0.00019542902
1,2.0,254.81255,269.7083,151125.05,151100.72,-21.726269,0.0011521825
2,3.0,13.609641,86.05294,296528.4,296418.56,-1775.7405,0.0044706166
3,4.0,5.291149,38.626225,266251.97,266160.62,-3086.0786,0.0024958837
4,5.0,2.8847444,19.010136,264881.12,264787.12,-3611.1438,0.002126732
5,6.0,1.794635,9.755594,227717.12,227647.53,-2183.1394,0.009619826
6,7.0,1.0993948,5.6737742,237248.56,237169.81,-4252.3955,0.0018069323
7,8.0,0.7979941,3.4089034,203085.88,203028.25,-3995.935,0.018805435
8,9.0,0.6735445,2.1495624,209493.97,209435.1,-5960.8022,0.018918237
9,10.0,0.71626246,1.4246323,158948.78,158920.4,-1210.487,0.021020837
10,11.0,0.4367774,0.9507095,200079.77,200023.81,-3722.8079,0.017780025
11,12.0,0.40162528,0.67208457,236079.88,236003.39,-3662.3594,0.0083419075
12,13.0,0.30486244,0.4938757,186122.67,186076.75,-25.74524,0.035528123
13,14.0,0.29900014,0.37544176,237354.34,237276.72,-169.14938,0.10260129
14,15.0,0.21666297,0.2966557,186267.75,186221.98,5777.1904,0.19334766
15,16.0,0.16190875,0.24121547,166059.64,166021.03,5041.5396,0.20025852
16,17.0,0.18552504,0.20371014,212613.95,212553.44,14947.121,0.12795976
17,18.0,0.16474625,0.17517926,264419.44,264326.4,11685.484,0.0
18,19.0,0.1262724,0.1539737,165641.95,165610.9,31359.277,0.35083678
19,20.0,0.10789002,0.1346266,185810.11,185764.69,31654.52,0.52480334
20,21.0,0.097435236,0.11978486,187567.36,187520.8,35965.0,0.14451079
21,22.0,0.1246284,0.107579164,267553.2,267460.7,25141.328,0.6237515
22,23.0,0.11132139,0.09749032,295924.44,295815.2,35482.98,0.5856004
23,24.0,0.09315196,0.08857192,244030.11,243950.42,43378.016,0.0
24,25.0,0.09046359,0.080818206,294706.97,294596.88,46336.87,0.4761492
25,26.0,0.059775777,0.074171215,209156.17,209097.17,46064.453,0.10094296
26,27.0,0.08150494,0.06854003,265466.1,265374.25,44762.78,0.53003776
27,28.0,0.053652026,0.06364643,188006.45,187959.66,67760.586,0.44488597
28,29.0,0.05620546,0.05908658,204782.14,204723.06,60936.91,0.5822916
29,30.0,0.05524845,0.055237077,247782.92,247703.73,88009.75,0.7290205
30,31.0,0.06340057,0.051611073,268986.62,268895.28,56814.062,0.12684637
31,32.0,0.037224207,0.04861203,187682.03,187635.84,84466.61,1.0510287
32,33.0,0.042863697,0.045870602,236319.67,236244.1,71876.64,0.68130565
33,34.0,0.040951878,0.043454774,237491.53,237414.56,74905.84,0.8454728
34,35.0,0.034514364,0.041315284,199551.42,199494.62,85633.55,0.43686295
35,36.0,0.03253337,0.039559983,227260.88,227192.0,108235.2,1.196749
36,37.0,0.029479168,0.03779878,210104.12,210045.0,84467.56,0.61626744
37,38.0,0.034362547,0.036417052,263278.56,263184.22,95320.695,0.6321503
38,39.0,0.027306855,0.035096526,204629.1,204570.31,94771.89,0.8107333
39,40.0,0.026766898,0.034080047,246307.16,246228.28,127600.89,1.325725
40,41.0,0.018565308,0.032895144,164049.1,164011.61,93713.98,1.0193876
41,42.0,0.02434928,0.03212474,250289.6,250208.56,130215.34,0.69412774
42,43.0,0.025844697,0.031357672,262020.48,261925.44,107124.375,0.7079778
43,44.0,0.020111106,0.030771041,198980.12,198924.16,111177.81,0.9029461
44,45.0,0.01865155,0.030195963,209958.84,209899.5,107201.86,0.73649466
45,46.0,0.024988104,0.029860541,304541.8,304420.88,120238.57,0.93589735
46,47.0,0.026406342,0.02963595,266223.5,266131.75,108871.42,1.5233335
47,48.0,0.019370168,0.029423814,299823.12,299714.3,131824.22,0.19370307
48,49.0,0.017277872,0.029318474,236439.97,236362.78,123084.47,1.3806367
49,50.0,0.016645622,0.029228788,239314.39,239236.19,132329.83,0.6002825
50,51.0,0.014677271,0.028379146,227227.69,227159.08,149793.47,0.6093694
51,52.0,0.014083751,0.025891053,227457.19,227388.39,151159.34,1.0298328
52,53.0,0.01570752,0.023468632,261596.97,261504.14,143323.94,1.6666589
53,54.0,0.01231848,0.020978719,209523.34,209463.6,144404.66,0.42369473
54,55.0,0.010667669,0.018895162,186174.4,186128.56,141818.53,0.6421081
55,56.0,0.01183204,0.016857062,210090.38,210031.03,141544.12,0.8671167
56,57.0,0.010678586,0.01496698,209863.47,209803.12,144695.44,1.3148328
57,58.0,0.011855403,0.013255205,246187.75,246109.72,167673.03,0.65939164
58,59.0,0.010881379,0.011661582,203734.5,203676.38,137766.9,0.6588256
59,60.0,0.013623621,0.010054032,302710.0,302593.94,172131.69,0.43835536
60,61.0,0.0075707342,0.008363537,167627.14,167587.73,129988.39,1.2959733
61,62.0,0.01007368,0.0071016764,261224.72,261132.52,160158.94,0.20339505
62,63.0,0.008035921,0.006660157,263335.88,263240.84,152326.31,0.98011506
63,64.0,0.004898142,0.006951825,186001.1,185955.28,73694.24,0.0581402
64,65.0,0.0044487147,0.00643548,237231.06,237154.05,134000.5,0.032585267
65,66.0,0.0026571504,0.004902154,152013.44,151988.3,60338.953,0.077883914
66,67.0,0.0045418036,0.004888625,261478.97,261386.44,133408.25,0.18426678
67,68.0,0.003875861,0.0040013986,249645.28,249564.89,120623.79,0.06438606
68,69.0,0.0028915699,0.003457516,237919.9,237842.89,153200.16,0.06294997
69,70.0,0.0018743443,0.0035632565,165183.23,165145.78,114732.97,0.080240645
70,71.0,0.0031436472,0.0027604916,264564.44,264474.66,157693.3,0.0
71,72.0,0.00286519,0.0028369832,261795.38,261703.14,152506.0,0.1134052
72,73.0,0.0024064002,0.0021982929,285178.84,285074.88,176369.72,0.021686016
73,74.0,0.0018967888,0.0023044534,238251.34,238175.28,172402.1,0.020361405
74,75.0,0.0009820145,0.0020396484,165233.56,165195.36,130625.13,0.00502052
75,76.0,0.002161763,0.0017888485,246816.53,246738.22,149681.53,0.040046033
76,77.0,0.0017612462,0.001674063,227439.81,227370.25,136819.78,0.0033456846
77,78.0,0.0017916835,0.0016773852,238235.75,238156.61,146598.6,0.116043724
78,79.0,0.0009302179,0.0014544072,209179.89,209121.22,173061.34,0.0039811074
79,80.0,0.0008121333,0.0012900357,163954.88,163919.53,99716.8,0.0646091
80,81.0,0.0012780001,0.0013212573,209297.56,209238.25,133636.52,0.0709249
81,82.0,0.0008615325,0.0012508531,209102.27,209043.88,181249.39,0.032514147
82,83.0,0.0014875671,0.0017019268,210100.66,210041.27,145549.81,0.049403053
83,84.0,0.0010808537,0.0012110808,227639.03,227570.22,158988.88,0.0016023588
84,85.0,0.00091622164,0.001125939,235704.81,235628.45,159490.06,0.00086263876
85,86.0,0.00084489037,0.0010202309,208510.9,208451.86,144775.25,0.033832766
86,87.0,0.000542509,0.0009288448,185811.33,185765.81,127780.7,0.000292247
87,88.0,0.00068633305,0.0008802215,210744.98,210685.69,152243.72,0.00577064
88,89.0,0.00062059134,0.0007956369,262188.9,262095.22,225861.69,0.0006798134
89,90.0,0.0008173608,0.0007499658,247450.61,247370.69,200426.36,0.00011610677
90,91.0,0.0006308735,0.000668906,288078.44,287973.12,230686.16,0.002551687
91,92.0,0.00073505915,0.00066685164,246295.42,246216.94,203358.44,0.00033486093
92,93.0,0.0004974925,0.0006210649,237285.56,237208.84,179441.03,0.00028424957
93,94.0,0.00055520167,0.0005892855,265993.3,265901.28,225146.75,0.00023907245
94,95.0,0.0017686749,0.00050947815,187751.05,187704.61,166563.47,0.72502255
95,96.0,0.0004004046,0.0006123593,263240.84,263146.6,236644.33,6.843378e-05
96,97.0,0.00036674208,0.000559573,261054.7,260962.14,237323.69,6.418895e-05
97,98.0,0.00028663749,0.00051060604,199528.28,199472.1,159704.86,0.0001250624
98,99.0,0.00068836345,0.00046665032,165013.25,164975.02,172585.42,0.27744374
99,100.0,0.00031227304,0.00051642756,161150.95,161122.03,111007.164,0.027990712
100,101.0,0.00042267662,0.0005378911,228116.19,228046.16,197999.67,0.0002716022
101,102.0,0.00026370422,0.00047444607,210196.28,210137.1,213424.83,2.8310029e-05
102,103.0,0.0006198395,0.0004795197,153198.17,153171.9,121266.59,0.30084273
103,104.0,0.00025161434,0.000551026,200934.55,200877.97,162148.44,0.00046665425
104,105.0,0.00026731845,0.0004676584,262190.34,262095.61,224744.12,0.00012297116
105,106.0,0.00021802119,0.00048374105,153057.34,153030.39,113695.61,0.008056253
106,107.0,0.0002597089,0.00043385464,163779.88,163742.33,173882.97,2.5539906e-05
107,108.0,0.00039210403,0.00045296494,236076.2,235999.52,198689.5,0.024424873
108,109.0,0.00027253776,0.00052687555,208325.03,208266.19,174963.38,0.00029785626
109,110.0,0.00029378812,0.00045380168,263361.62,263270.47,239571.94,4.8761874e-05
110,111.0,0.00019668843,0.00040679766,185896.23,185850.66,149464.95,3.660153e-05
