,epoch,loss,val_loss,ivw,evw,ivw_ann,f_loss
0,1.0,22251808.0,35026510.0,183565.23,183600.38,-192.69923,0.0
1,2.0,53706932.0,48808736.0,264833.34,264902.12,216.88403,0.0
2,3.0,6787658.0,9212332.0,163660.62,163688.89,469.35913,0.0
3,4.0,3667844.0,3649881.0,213649.19,213695.45,862.1109,0.0
4,5.0,1623561.4,1484796.9,213584.12,213630.39,1379.9677,0.0
5,6.0,733260.0,729823.44,199821.81,199860.64,1926.8721,0.0
6,7.0,475702.47,380173.9,238187.62,238253.36,2667.3928,0.0
7,8.0,209456.2,259892.5,183565.2,183600.38,3062.1428,0.0
8,9.0,266101.88,218150.33,238187.62,238253.31,3506.5022,0.0
9,10.0,257210.19,194678.12,264147.56,264216.03,4173.678,0.0
10,11.0,236228.61,178069.17,264565.84,264634.5,4385.2046,0.0
11,12.0,219857.52,165339.95,264675.2,264743.9,4579.8794,0.0
12,13.0,152346.14,154904.08,212086.19,212132.12,4310.5854,0.0
13,14.0,67055.836,146347.45,129081.73,129097.68,3667.652,0.0
14,15.0,157994.61,139756.8,234388.64,234443.98,4856.693,0.0
15,16.0,120127.81,133049.45,199821.81,199860.67,4597.2485,0.0
16,17.0,144575.8,127667.625,234282.88,234338.2,5120.2993,0.0
17,18.0,83484.31,122199.57,164185.2,164213.73,4353.916,0.0
18,19.0,157455.73,117745.09,264378.56,264447.16,5664.4253,0.0
19,20.0,91544.555,113212.1,183565.19,183600.38,4807.7495,0.0
20,21.0,134760.2,109474.875,238187.62,238253.36,5290.522,0.0
21,22.0,105636.38,105915.88,213638.39,213684.64,5422.8013,0.0
22,23.0,70537.09,102399.41,164614.52,164643.33,4822.3413,0.0
23,24.0,122075.09,99132.625,238187.62,238253.31,5623.1606,0.0
24,25.0,65541.414,96073.52,163971.11,163999.58,5007.8506,0.0
25,26.0,106270.586,93315.13,235297.52,235352.95,6169.7476,0.0
26,27.0,41021.97,90629.88,127734.52,127750.15,4793.1064,0.0
27,28.0,108434.51,88009.56,238187.62,238253.31,6044.0156,0.0
28,29.0,105544.44,85633.47,238187.61,238253.33,6144.289,0.0
29,30.0,37933.95,83290.78,128597.62,128613.336,5035.6655,0.0
30,31.0,99991.48,81114.63,238187.62,238253.33,6347.1543,0.0
31,32.0,47935.91,79092.1,151064.9,151087.89,5444.4526,0.0
32,33.0,77143.18,77056.805,213884.7,213931.08,6555.023,0.0
33,34.0,34561.355,75144.74,129173.23,129189.22,5344.0425,0.0
34,35.0,33503.44,73227.58,128940.336,128956.24,5425.44,0.0
35,36.0,96180.375,71596.22,264591.34,264660.03,7652.055,0.0
36,37.0,93834.125,69881.99,264507.53,264576.16,7761.4067,0.0
37,38.0,91716.56,68267.13,264591.34,264660.03,7869.2026,0.0
38,39.0,45741.31,66680.95,164406.25,164434.94,6195.1406,0.0
39,40.0,87839.06,65197.707,264938.66,265007.47,8081.59,0.0
40,41.0,73067.09,63745.01,235994.5,236050.23,7711.5117,0.0
41,42.0,83754.78,62341.28,264557.03,264625.72,8293.465,0.0
42,43.0,49221.465,60973.348,183565.2,183600.36,6918.9595,0.0
43,44.0,80428.8,59732.035,264829.6,264898.4,8499.839,0.0
44,45.0,59458.312,58413.66,219125.67,219169.19,7998.1587,0.0
45,46.0,58272.58,57243.215,219125.67,219169.2,8089.68,0.0
46,47.0,57049.027,56051.76,219125.67,219169.19,8188.955,0.0
47,48.0,62135.074,54961.047,232564.19,232619.17,8285.54,0.0
48,49.0,72335.98,53865.754,264386.3,264454.88,9018.067,0.0
49,50.0,42571.73,52763.45,183565.2,183600.36,7511.9766,0.0
50,51.0,41792.094,51789.13,183565.2,183600.36,7589.6,0.0
51,52.0,40989.52,50796.33,183565.2,183600.38,7673.015,0.0
52,53.0,50700.05,49810.53,219125.67,219169.17,8755.732,0.0
53,54.0,33460.88,48877.875,164345.48,164374.05,7390.989,0.0
54,55.0,64938.812,48004.176,265310.9,265380.06,9623.099,0.0
55,56.0,32030.975,47121.28,163791.62,163819.95,7544.2056,0.0
56,57.0,47097.152,46263.63,219125.67,219169.19,9124.916,0.0
57,58.0,36714.816,45411.95,183565.23,183600.38,8167.7114,0.0
58,59.0,40340.168,44598.285,199821.81,199860.64,8722.839,0.0
59,60.0,26179.021,43843.13,150280.11,150302.75,7615.2466,0.0
60,61.0,48506.156,43072.977,232100.48,232155.27,9500.2705,0.0
61,62.0,48785.62,42365.215,236371.19,236427.25,9711.087,0.0
62,63.0,46728.176,41608.348,231670.08,231724.64,9683.912,0.0
63,64.0,32994.88,40910.742,183565.23,183600.38,8655.702,0.0
64,65.0,24248.74,40224.184,150983.8,151006.73,7985.942,0.0
65,66.0,45451.582,39569.535,236147.06,236202.95,10084.902,0.0
66,67.0,31419.893,38886.105,183565.2,183600.38,8899.278,0.0
67,68.0,38911.45,38239.44,219125.69,219169.19,10142.591,0.0
68,69.0,46533.05,37645.77,238187.62,238253.33,9837.474,0.0
69,70.0,45802.406,37049.676,238187.61,238253.31,9922.205,0.0
70,71.0,45066.89,36455.605,238187.61,238253.31,10011.751,0.0
71,72.0,28964.344,35860.547,183565.23,183600.39,9303.353,0.0
72,73.0,28532.986,35320.625,183565.23,183600.36,9379.499,0.0
73,74.0,15865.511,34762.426,129243.9,129259.91,8241.935,0.0
74,75.0,27648.203,34229.695,183565.2,183600.38,9541.376,0.0
75,76.0,23085.014,33720.23,164470.88,164499.61,9069.614,0.0
76,77.0,44717.516,33204.19,264599.56,264668.28,11793.121,0.0
77,78.0,40435.27,32694.35,238187.62,238253.33,10623.229,0.0
78,79.0,39839.78,32209.271,238187.62,238253.31,10708.661,0.0
79,80.0,31569.943,31741.125,213100.06,213146.08,10799.5,0.0
80,81.0,38695.74,31275.422,238187.61,238253.33,10879.821,0.0
81,82.0,27850.92,30806.166,199821.81,199860.64,10680.644,0.0
82,83.0,20669.365,30361.38,164120.36,164148.84,9597.339,0.0
83,84.0,37030.41,29924.951,238187.61,238253.33,11141.6045,0.0
84,85.0,29497.53,29487.607,213797.39,213843.7,11235.91,0.0
85,86.0,13067.78,29076.975,128527.69,128543.37,9073.253,0.0
86,87.0,35466.33,28656.826,238187.62,238253.33,11403.94,0.0
87,88.0,25525.857,28242.842,199821.81,199860.64,11190.684,0.0
88,89.0,22471.064,27841.383,183565.2,183600.39,10663.745,0.0
89,90.0,24823.08,27468.162,199821.8,199860.64,11358.022,0.0
90,91.0,33553.746,27103.514,238187.61,238253.33,11747.289,0.0
91,92.0,12050.599,26711.896,128873.375,128889.23,9494.308,0.0
92,93.0,15662.745,26348.662,150249.61,150272.23,10037.81,0.0
93,94.0,26445.564,25992.188,219125.67,219169.19,12491.155,0.0
94,95.0,29402.834,25643.463,235873.12,235928.81,12745.386,0.0
95,96.0,28920.43,25304.016,235443.64,235499.14,12835.569,0.0
96,97.0,22543.688,24952.072,199821.83,199860.67,11952.691,0.0
97,98.0,33287.54,24644.44,264843.44,264912.22,13832.461,0.0
98,99.0,14661.1875,24301.97,151256.6,151279.81,10476.222,0.0
99,100.0,23793.162,23992.205,212084.64,212130.61,12537.327,0.0
100,101.0,15948.851,23670.71,163056.3,163084.52,10956.387,0.0
101,102.0,23275.947,23363.61,213363.19,213409.36,12714.078,0.0
102,103.0,31120.389,23064.545,264659.72,264728.44,14324.673,0.0
103,104.0,15514.973,22764.904,164340.17,164368.75,11183.117,0.0
104,105.0,22435.521,22470.195,213607.94,213654.17,12976.749,0.0
105,106.0,10050.212,22179.443,129243.9,129259.91,10472.622,0.0
106,107.0,27147.447,21905.86,238187.62,238253.31,13145.695,0.0
