,epoch,loss,val_loss,ivw,evw,ivw_ann,refState_loss
0,1.0,13.112499,33.75736,457073.5,456933.47,5308.7827,0.0018419407
1,2.0,27.977669,39.084034,339019.06,338946.62,8963.999,0.005119034
2,3.0,14.158349,25.877316,330566.12,330495.75,11070.624,0.0024257451
3,4.0,12.952965,22.704784,417640.4,417522.72,11926.094,0.008141272
4,5.0,11.201748,21.511333,454022.84,453886.12,12944.929,0.005853049
5,6.0,12.000318,21.15134,530622.25,530430.2,14202.094,0.009162861
6,7.0,9.013967,20.455017,419444.0,419326.7,12834.708,0.0031968865
7,8.0,8.678195,19.25494,413031.72,412915.44,13456.238,0.0066581694
8,9.0,7.972886,17.715397,414466.12,414347.6,14326.494,0.0069806636
9,10.0,5.855137,16.42683,340685.1,340607.34,15950.063,0.0036433437
10,11.0,8.093725,15.099699,516553.44,516372.6,17024.336,0.0037995188
11,12.0,7.199705,13.769117,491465.88,491304.66,19494.799,0.007975574
12,13.0,4.678775,12.473609,341292.3,341213.2,19842.393,0.016706666
13,14.0,7.4471774,11.508142,605830.94,605593.44,22975.367,0.017412549
14,15.0,5.24026,10.550695,413509.38,413391.7,21046.219,0.0136269815
15,16.0,6.7196674,9.771488,543292.0,543106.2,23563.469,0.009421504
16,17.0,5.0026035,9.044405,507890.25,507727.94,26043.018,0.014666436
17,18.0,4.9366217,8.430107,511447.88,511280.72,27310.777,0.010121826
18,19.0,3.5648372,7.8812237,372110.12,372018.06,25222.314,0.005239779
19,20.0,3.1816936,7.4275894,343350.12,343270.0,28011.332,0.01615273
20,21.0,3.7873106,6.979774,413271.9,413154.8,27832.695,0.011111835
21,22.0,2.8232913,6.5650277,342237.47,342157.5,30222.463,0.0057246364
22,23.0,2.6335473,6.1984696,351073.72,350989.3,30826.428,0.023511237
23,24.0,3.1972814,5.9165373,421440.75,421320.38,31169.719,0.012068664
24,25.0,3.798337,5.605178,540999.0,540804.0,36864.67,0.0061904127
25,26.0,2.5863266,5.310009,372161.9,372070.2,32532.512,0.019033844
26,27.0,3.1369302,5.0611506,507063.84,506902.88,38398.293,0.012982739
27,28.0,3.3475413,4.7981157,540231.2,540038.44,40483.223,0.006651146
28,29.0,2.607162,4.5822873,417644.88,417525.7,38412.734,0.020372353
29,30.0,3.415946,4.3772345,596879.06,596663.6,43126.688,0.020841405
30,31.0,2.4259996,4.176425,420474.28,420355.16,38714.04,0.0283547
31,32.0,2.3489323,3.999642,425426.3,425305.28,39315.0,0.028971126
32,33.0,2.6746714,3.860147,523445.44,523267.47,45815.48,0.014762716
33,34.0,2.456996,3.6875587,486075.3,485918.3,45968.848,0.022584531
34,35.0,2.7246842,3.5292497,574573.56,574361.75,48560.008,0.023039574
35,36.0,1.6349143,3.3878367,341905.06,341825.3,43826.63,0.007832813
36,37.0,2.2240853,3.2767067,487557.47,487397.53,49030.094,0.015939258
37,38.0,2.311435,3.1558661,548610.6,548416.4,53067.82,0.016229428
38,39.0,1.2261378,3.0364223,304497.16,304445.7,45950.914,0.008232217
39,40.0,1.9882631,2.9392548,486201.7,486044.28,50928.645,0.03359309
40,41.0,1.7128335,2.835228,418896.44,418776.06,49935.688,0.025626658
41,42.0,2.2231517,2.76333,590405.25,590190.7,57331.086,0.02601454
42,43.0,1.6056974,2.6552234,416614.0,416496.22,50473.727,0.008827731
43,44.0,2.1964417,2.5757189,543155.9,542969.7,53997.336,0.02689743
44,45.0,1.1139275,2.483341,326703.25,326636.62,51483.55,0.027325682
45,46.0,1.505907,2.4099333,421588.7,421469.94,53077.12,0.018480944
46,47.0,1.621182,2.3258245,490082.06,489923.5,58186.227,0.009399326
47,48.0,1.3848107,2.261106,420177.06,420059.0,55096.78,0.019073976
48,49.0,1.544782,2.200492,486875.94,486716.7,60271.574,0.009670978
49,50.0,1.3725133,2.1352704,414326.72,414208.16,55807.582,0.039246596
50,51.0,1.4220625,2.0726092,507078.06,506917.0,65089.973,0.009955518
51,52.0,1.5848075,2.0135643,577718.9,577520.1,69651.92,0.020175245
52,53.0,1.4914787,1.9488308,537881.0,537689.44,67903.64,0.02048171
53,54.0,0.8381225,1.9000442,327351.06,327289.3,60790.266,0.031133514
54,55.0,1.3549312,1.8510822,507455.62,507276.47,68023.734,0.010505825
55,56.0,1.2691884,1.7963511,488581.38,488420.72,68312.64,0.02132921
56,57.0,1.156495,1.749299,457745.3,457604.03,66700.56,0.03240198
57,58.0,1.4683691,1.7016468,541148.1,540966.6,68196.586,0.032840796
58,59.0,1.2827395,1.6595235,540439.3,540244.44,73882.5,0.033265278
59,60.0,0.9968914,1.6141446,417884.94,417766.75,66807.02,0.0112375375
60,61.0,0.78261584,1.5749981,340371.2,340294.25,66009.805,0.03413842
61,62.0,1.1775016,1.5402409,537604.5,537413.5,77097.84,0.04605624
62,63.0,1.1925368,1.4953368,567367.5,567163.0,79287.305,0.034992926
63,64.0,1.2677958,1.4584594,542122.75,541937.3,74176.766,0.035420947
64,65.0,0.605307,1.4207466,311734.62,311678.16,69855.31,0.035868686
65,66.0,0.97396386,1.3806123,487994.06,487834.7,78879.53,0.048395652
66,67.0,0.8338357,1.3488417,417526.62,417406.97,75295.48,0.04898332
67,68.0,0.8583601,1.3118545,456259.2,456119.34,79497.91,0.04959073
