,epoch,loss,val_loss,ivw,evw,ivw_ann,wp_loss
0,1.0,3978488.5,6422394.5,265693.97,264704.56,1895.0408,31.378733
1,2.0,2392961.0,3668748.5,177544.53,177304.81,2061.5967,1.3443696
2,3.0,1536428.0,1798621.4,316997.53,315553.56,3889.1792,94.5544
3,4.0,486379.72,858176.9,198183.06,197669.56,5630.5254,2.2557364
4,5.0,446074.25,401076.88,282084.2,280949.38,9923.44,120.421715
5,6.0,191990.62,206167.42,282084.22,280949.38,15886.6875,63.597336
6,7.0,69910.945,116469.14,216113.7,215453.95,20955.854,63.576557
7,8.0,35936.67,61942.723,216113.7,215453.95,33899.63,29.467033
8,9.0,20336.47,35143.047,216113.7,215453.97,48233.246,8.191387
9,10.0,18874.172,21955.879,282084.2,280949.38,70439.33,1.7442558
10,11.0,10346.215,14864.63,244040.36,243168.67,80913.58,0.07948793
11,12.0,9016.078,10743.453,282084.22,280949.38,101493.94,0.32583892
12,13.0,6750.666,8089.363,282084.2,280949.44,115488.51,0.8460834
13,14.0,6637.5405,6270.994,316997.53,315553.56,128428.93,0.7968775
14,15.0,2439.5417,4917.8853,198183.06,197669.56,124266.78,0.064823605
15,16.0,2711.582,3965.6506,244040.39,243168.67,149848.64,0.100670055
16,17.0,1866.029,3284.2217,216113.7,215453.95,153845.81,0.017973293
17,18.0,2372.376,2800.0059,291409.44,290277.62,197455.1,0.11214861
18,19.0,2560.2646,2418.3308,316997.53,315553.53,197281.66,0.27702683
19,20.0,2095.4792,2120.1653,311644.16,310297.94,220691.94,0.15403019
20,21.0,1805.8593,1878.483,306882.0,305563.62,229994.95,0.13267232
21,22.0,1901.758,1685.0466,365179.56,363511.88,267455.9,0.25370604
22,23.0,1537.9824,1514.0168,316997.53,315553.53,239425.61,0.23611103
23,24.0,581.18225,1367.6624,179129.81,178879.94,215707.6,0.008501936
24,25.0,1044.7051,1252.0906,282084.2,280949.38,259854.69,0.12722513
25,26.0,831.52075,1148.6837,244040.39,243168.67,252476.72,0.04373457
26,27.0,991.4742,1056.4795,311644.12,310297.94,289553.0,0.14578171
27,28.0,613.1333,973.64355,216113.7,215453.95,251525.33,0.03332819
28,29.0,968.7246,907.9405,356284.97,354653.88,328437.12,0.21672322
29,30.0,774.35187,845.9765,306881.97,305563.66,309667.25,0.120807305
30,31.0,718.70496,788.68604,306881.97,305563.62,316591.12,0.11865452
31,32.0,353.5708,735.2361,175984.0,175735.62,263825.12,0.002520687
32,33.0,492.71344,692.4292,244040.39,243168.69,297074.3,0.0704842
33,34.0,336.03055,650.77356,181053.11,180783.06,280863.0,0.0069085443
34,35.0,441.88895,617.5855,265693.94,264704.53,325748.38,0.05866701
35,36.0,466.71344,585.1825,282084.22,280949.38,335481.1,0.072823524
36,37.0,525.49866,556.99,311644.16,310297.94,354139.16,0.108413815
37,38.0,409.76404,530.7444,291409.44,290277.62,361225.62,0.07984279
38,39.0,286.79694,506.446,198183.06,197669.55,299433.6,0.029629128
39,40.0,343.60437,485.74496,265693.97,264704.53,347324.88,0.049725983
40,41.0,554.06384,465.62674,363670.8,361981.16,403199.47,0.12640755
41,42.0,302.66803,445.14783,244040.39,243168.67,332805.72,0.04783848
42,43.0,352.49396,429.66473,282084.22,280949.38,356716.16,0.07530607
43,44.0,248.552,417.9151,216113.7,215453.95,313000.34,0.049885906
44,45.0,391.71246,411.4862,311644.16,310297.94,357717.25,0.16158515
45,46.0,202.61798,396.33823,198183.06,197669.56,293138.4,0.027371682
46,47.0,213.9687,383.3351,216113.72,215453.95,301482.88,0.054823793
47,48.0,328.01614,370.1805,306882.0,305563.62,349751.34,0.09229908
48,49.0,377.69714,355.89166,361630.16,359965.34,384988.53,0.08396074
49,50.0,220.06429,340.21887,265693.94,264704.56,328797.28,0.032623466
50,51.0,278.66077,323.02142,311644.16,310297.94,350168.12,0.03836228
51,52.0,215.93806,304.1488,282084.22,280949.4,332326.22,0.024320722
52,53.0,241.31708,284.96323,311644.16,310297.9,352069.62,0.06279817
53,54.0,189.96893,268.7585,282084.2,280949.38,331713.47,0.017171305
54,55.0,181.3849,254.05127,291409.44,290277.66,339635.16,0.021218589
55,56.0,167.66368,239.12213,282084.22,280949.4,331764.78,0.013685326
56,57.0,130.21004,226.09967,237941.33,237087.67,294424.88,0.012987206
57,58.0,153.2099,216.54,291409.44,290277.62,333763.3,0.04087642
58,59.0,168.97272,205.04932,311644.16,310297.94,349333.16,0.009722125
59,60.0,135.90033,193.13559,291409.4,290277.62,342776.3,0.01973888
60,61.0,147.19568,187.72012,306881.97,305563.62,334977.8,0.012845732
61,62.0,92.959946,177.25941,198183.06,197669.55,283942.66,0.0006725783
62,63.0,116.92079,170.37372,282084.2,280949.4,329769.72,0.013843852
63,64.0,92.690155,163.76213,237941.33,237087.67,289213.75,0.006705481
64,65.0,139.50192,158.82367,316997.53,315553.56,331119.62,0.019502582
65,66.0,60.517254,152.06415,178115.92,177862.06,276819.97,0.0011264632
66,67.0,125.86895,144.48505,316997.53,315553.53,331445.1,0.014618708
67,68.0,131.94427,140.75304,358722.66,357099.94,382558.06,0.037485696
68,69.0,74.775505,135.53789,237941.33,237087.69,290862.53,0.0064601284
69,70.0,120.790855,131.50679,359962.16,358307.28,379209.88,0.048085168
70,71.0,89.06554,126.57663,282084.2,280949.38,339605.1,0.004117886
71,72.0,74.59847,121.52931,265693.94,264704.53,326880.3,0.01883126
72,73.0,76.60995,116.04234,291409.44,290277.66,343196.34,0.009920338
73,74.0,52.11662,111.18323,216113.7,215453.97,294039.03,0.012953538
74,75.0,77.828606,107.671715,282084.22,280949.38,339340.1,0.004925761
75,76.0,95.03285,103.67461,360453.34,358806.3,401236.56,0.0113039315
76,77.0,85.63614,101.12337,316997.53,315553.56,335769.75,0.01764934
77,78.0,53.052162,96.24576,244040.36,243168.69,301860.84,0.005339092
78,79.0,62.367386,93.37865,291409.44,290277.62,362992.47,0.011663783
79,80.0,50.55969,90.2084,237941.33,237087.67,301619.6,0.0077948803
80,81.0,36.813187,89.44957,175211.22,174977.3,261152.08,0.0046447064
81,82.0,48.396297,85.88519,244040.36,243168.67,318623.7,0.010977301
82,83.0,57.176556,83.08247,291409.4,290277.62,364553.38,0.011090094
83,84.0,66.607574,81.38971,311644.12,310297.9,355478.16,0.01115823
84,85.0,64.86911,79.04768,311644.16,310297.94,358127.75,0.005026901
85,86.0,55.147404,76.28212,291409.44,290277.62,362296.5,0.0075311596
86,87.0,51.923462,74.86441,282084.22,280949.38,337841.44,0.18853089
87,88.0,53.93983,72.72472,291409.44,290277.62,354165.38,0.008516218
88,89.0,40.13765,71.6608,198183.06,197669.56,289099.7,0.0020500377
89,90.0,63.675903,68.662834,316997.53,315553.53,353393.12,0.057146747
90,91.0,35.83524,66.65371,216113.72,215453.95,285145.16,0.007838155
91,92.0,60.95522,65.10225,316997.56,315553.56,354841.06,0.13456886
92,93.0,46.384537,63.26069,282084.22,280949.38,334831.1,0.08513475
93,94.0,44.95094,61.132927,282084.22,280949.38,347489.62,0.19145712
94,95.0,63.309124,60.66183,359233.16,357602.25,398188.53,0.45134556
95,96.0,45.894463,58.46487,282084.2,280949.38,335879.38,0.021793105
96,97.0,45.479385,57.619743,282084.22,280949.38,344804.16,0.06286282
97,98.0,53.531242,55.733856,311644.16,310297.94,314235.84,1.8275888
98,99.0,56.768795,55.13681,358403.12,356774.22,397340.66,0.36040017
99,100.0,33.933144,53.47732,237941.33,237087.67,277000.03,0.072171316
100,101.0,33.635567,52.938473,244040.36,243168.69,298365.0,0.017326985
101,102.0,28.200127,51.83281,198183.06,197669.53,257984.5,0.220056
102,103.0,57.811882,51.463684,356221.75,354591.72,378006.22,4.7900867
103,104.0,36.212177,50.462555,265693.97,264704.56,305973.22,0.03101337
104,105.0,48.435177,50.446457,316997.53,315553.53,342278.06,0.5564517
105,106.0,35.87234,49.423626,265693.97,264704.53,318597.0,0.06523705
106,107.0,27.79059,48.70491,216113.69,215453.95,261691.0,0.17387022
107,108.0,40.897835,48.325638,291409.44,290277.62,329674.47,0.42714903
108,109.0,47.569855,47.18207,354066.8,352448.7,362408.16,0.5908654
109,110.0,38.427418,46.755592,306882.0,305563.62,328325.12,0.54956883
110,111.0,24.081902,45.792034,198183.06,197669.56,256482.64,0.029124975
111,112.0,35.033283,45.350834,282084.22,280949.38,326710.84,0.17962974
112,113.0,34.49904,45.00731,282084.22,280949.38,316951.3,0.0831168
113,114.0,36.901596,44.688408,311644.12,310297.97,337334.4,0.031543866
114,115.0,33.520615,43.593296,282084.22,280949.4,320447.9,0.34834635
115,116.0,29.45534,43.163425,244040.36,243168.69,285872.6,1.7449204
116,117.0,39.240387,42.674313,316997.53,315553.56,325714.78,0.14738059
117,118.0,27.440678,42.145237,244040.36,243168.69,275752.3,0.7616495
118,119.0,22.032518,41.113316,180008.39,179746.84,258037.89,0.0046541956
119,120.0,21.189547,41.12708,198183.06,197669.55,248547.19,0.1271699
120,121.0,20.831484,40.616837,198183.06,197669.55,240607.22,0.059230372
121,122.0,32.280045,40.527435,306881.97,305563.62,318578.38,0.13761948
122,123.0,31.874163,40.193703,306882.0,305563.62,320794.6,0.17476302
123,124.0,30.29853,39.12293,306882.0,305563.62,305867.25,0.6040481
124,125.0,36.24076,39.80981,355873.5,354246.7,360571.03,0.17578763
125,126.0,27.523184,38.68818,282084.22,280949.38,309590.8,0.075587384
126,127.0,23.070461,38.443417,237941.33,237087.67,244734.39,1.2254623
127,128.0,37.30289,38.364883,366937.78,365249.16,350516.75,0.1669349
128,129.0,36.562782,37.80961,362673.25,361009.66,359714.6,0.17771704
129,130.0,35.114285,37.479115,356605.94,354969.47,360264.12,0.1320096
130,131.0,25.965136,36.335754,265693.97,264704.53,287458.97,0.19382294
131,132.0,27.287416,35.96045,311644.12,310297.9,321911.22,0.04112997
132,133.0,34.021217,36.010754,360421.94,358777.25,345360.44,0.15864247
133,134.0,23.640318,34.795685,282084.22,280949.4,288706.84,0.25711954
134,135.0,24.053217,33.53231,282084.22,280949.38,290021.5,0.43380767
135,136.0,17.014004,33.94243,174406.42,174168.8,242013.25,0.016246213
136,137.0,20.139233,34.717304,244040.36,243168.67,260578.56,0.26660177
137,138.0,24.942144,35.12744,306882.0,305563.62,296693.03,0.069821335
138,139.0,28.65429,33.806675,291409.44,290277.66,328477.38,0.29478404
139,140.0,15.97166,32.929146,198183.06,197669.55,227269.97,0.14478129
140,141.0,15.864031,32.534927,198183.08,197669.56,235646.47,0.25676498
141,142.0,30.724321,746.67365,282084.22,280949.38,199879.48,2.0303178
142,143.0,31.860579,50.036587,291409.44,290277.62,290183.25,1.3427072
143,144.0,27.206245,97.18059,311644.2,310297.94,246429.17,0.024450395
144,145.0,21.856276,30.763493,311644.12,310297.94,308837.97,0.07916076
145,146.0,21.470188,29.380598,311644.12,310297.94,294705.66,0.10955582
146,147.0,21.819576,29.564653,265693.94,264704.56,296691.22,0.18523352
147,148.0,19.571678,29.224937,311644.16,310297.9,299934.28,0.15690687
148,149.0,19.764687,66.04019,244040.36,243168.69,190240.28,0.06514451
149,150.0,24.58436,28.520983,360939.44,359283.12,349734.9,0.18835247
150,151.0,15.004824,27.79127,244040.39,243168.69,259258.22,0.37247542
151,152.0,14.974762,27.540112,244040.36,243168.67,253614.56,0.14966446
152,153.0,31.04116,26.551064,265694.0,264704.53,259344.39,11.955614
153,154.0,25.96232,62.137104,316997.53,315553.56,258869.61,0.4571916
154,155.0,14.684582,25.503323,244040.36,243168.69,260676.53,0.123973936
155,156.0,14.556992,25.90328,282084.2,280949.4,281252.38,0.08605217
156,157.0,11.1700735,25.341188,216113.7,215453.94,224879.48,0.08943985
157,158.0,19.775229,25.272423,316997.56,315553.56,299137.56,0.40804923
158,159.0,11.916466,25.297674,198183.06,197669.55,217436.56,0.26867113
159,160.0,16.054913,45.447266,244040.39,243168.67,201886.73,0.27784824
160,161.0,18.360794,31.184608,265693.97,264704.53,235242.42,0.0075203353
161,162.0,11.303329,23.528679,237941.33,237087.69,241958.39,0.24163587
162,163.0,13.531248,23.191376,282084.22,280949.4,278769.44,0.15493925
163,164.0,12.782,22.336962,306882.0,305563.66,299197.22,0.119357675
164,165.0,15.433557,21.657682,265694.0,264704.56,286199.6,0.5215016
165,166.0,18.167814,119.73122,244040.33,243168.69,189264.9,1.8911275
166,167.0,11.334405,24.78699,216113.69,215453.97,185294.06,0.14406227
167,168.0,11.734471,19.921078,311644.16,310297.94,298824.44,0.38919288
168,169.0,14.29386,19.581648,265693.94,264704.56,277374.9,0.3520759
169,170.0,8.080274,18.538364,182913.25,182633.22,209963.22,0.016945932
170,171.0,13.035403,24.515366,282084.22,280949.38,247089.33,0.15975001
171,172.0,14.1908865,19.654638,265693.94,264704.53,280261.44,0.88368785
172,173.0,9.061906,16.703817,311644.12,310297.97,301324.84,0.21624106
173,174.0,9.986908,16.09311,282084.2,280949.4,290650.12,0.6766756
174,175.0,27.514648,174.03908,244040.33,243168.67,200447.53,14.9031105
175,176.0,12.899047,64.14619,282084.2,280949.38,246624.92,0.18048029
176,177.0,10.296378,28.73404,237941.33,237087.67,201447.61,0.0063143326
177,178.0,9.326456,16.402588,282084.22,280949.38,264183.0,1.2862726
178,179.0,7.6261616,14.80316,282084.2,280949.38,292407.38,0.7429344
179,180.0,7.9196796,14.052876,282084.22,280949.38,282216.56,0.10284176
180,181.0,8.316822,14.195512,198183.06,197669.55,214037.66,0.31595314
181,182.0,6.2576966,13.991948,237941.33,237087.67,237223.53,0.023889633
182,183.0,10.890326,13.752437,291409.4,290277.62,320742.6,0.61864036
183,184.0,14.606081,183.5808,311644.12,310297.94,262132.81,0.06628966
184,185.0,9.43052,30.571665,316997.53,315553.53,279522.8,0.13779366
185,186.0,7.6997223,20.764027,237941.33,237087.67,210956.94,0.11201009
186,187.0,8.162128,12.036412,265693.94,264704.53,294301.3,0.27773297
187,188.0,12.981243,142.23769,265693.97,264704.56,230080.9,0.011971093
188,189.0,7.6857443,11.768587,282084.22,280949.38,295860.5,2.09118
189,190.0,10.404628,145.42795,216113.7,215453.95,176749.88,0.9159299
190,191.0,8.366698,12.158672,198183.06,197669.55,231050.31,0.43697417
191,192.0,6.1318035,11.991599,282084.22,280949.4,277429.2,0.7694589
192,193.0,5.0513425,10.655204,306882.0,305563.62,299872.16,0.018919736
193,194.0,4.9143066,12.190622,175462.64,175225.08,194764.08,0.0051742382
194,195.0,5.95744,11.12704,316997.5,315553.53,289945.12,0.57004666
195,196.0,8.65751,23.371752,291409.44,290277.62,285344.22,0.1818665
196,197.0,4.8848557,11.184534,354267.56,352645.94,352192.56,0.115141116
197,198.0,5.100684,10.492169,186346.86,186047.47,193306.92,0.05394159
198,199.0,5.8983874,10.979016,244040.39,243168.67,232426.33,0.625056
199,200.0,5.9076805,10.92444,265693.97,264704.56,286655.28,0.544889
200,201.0,5.2640896,11.241708,216113.7,215453.95,206708.81,0.079769224
201,202.0,5.8083143,10.968808,265693.97,264704.53,296929.47,0.34721327
202,203.0,4.445098,10.844734,282084.2,280949.38,272433.47,0.36303297
203,204.0,7.0234933,10.960078,198183.08,197669.56,200716.36,0.3500199
