,epoch,loss,val_loss,ivw,evw,ivw_ann,wp_loss,triax_loss
0,1.0,3.9557673e-07,4.967972e-07,59660.383,59669.668,59645.367,0.0,0.0
1,2.0,2.0378303e-08,4.8256897e-08,79401.67,79417.78,79534.96,0.0,0.0
2,3.0,1.3062126e-08,1.8814426e-08,61191.27,61200.125,61126.484,0.0,0.0
3,4.0,3.1499243e-09,1.4147283e-08,59660.383,59669.67,59601.17,0.0,0.0
4,5.0,5.9776664e-09,1.4479259e-08,54217.785,54224.95,54350.67,0.0,0.0
5,6.0,3.1254037e-09,1.1622066e-08,66610.516,66620.22,66577.49,0.0,0.0
6,7.0,3.5815109e-09,7.9864915e-09,73045.59,73056.4,73115.28,0.0,0.0
7,8.0,2.1493314e-09,7.771865e-09,76889.95,76903.54,76840.04,0.0,0.0
8,9.0,1.3288926e-09,3.4333059e-09,70697.21,70708.69,70725.41,0.0,0.0
9,10.0,2.4843718e-09,4.2312056e-09,61191.277,61200.125,61254.09,0.0,0.0
10,11.0,1.6707872e-09,5.8985155e-09,66610.516,66620.22,66564.91,0.0,0.0
11,12.0,2.7439893e-09,4.5725335e-09,70697.2,70708.68,70759.13,0.0,0.0
12,13.0,1.6767545e-09,6.5293566e-09,59660.383,59669.668,59640.145,0.0,0.0
13,14.0,1.2736205e-09,3.934684e-09,61191.27,61200.125,61253.973,0.0,0.0
14,15.0,4.5946674e-08,2.0365706e-08,59660.383,59669.67,59631.785,0.0,0.0
15,16.0,7.84668e-09,3.6963353e-08,66610.516,66620.22,66875.46,0.0,0.0
16,17.0,1.390227e-09,3.6284884e-09,78081.266,78095.055,78082.0,0.0,0.0
17,18.0,3.7730676e-09,4.355707e-09,54217.785,54224.95,54091.695,0.0,0.0
18,19.0,7.781453e-10,3.332615e-09,61191.27,61200.133,61176.758,0.0,0.0
19,20.0,9.463537e-10,3.4128753e-09,70697.21,70708.69,70661.53,0.0,0.0
20,21.0,7.27938e-09,4.8485753e-09,49743.24,49749.01,49771.375,0.0,0.0
21,22.0,1.5383244e-09,4.196501e-09,61191.266,61200.125,61161.957,0.0,0.0
22,23.0,1.0796316e-09,6.116261e-09,61191.277,61200.133,61220.973,0.0,0.0
23,24.0,7.5619777e-10,2.4265026e-09,61191.266,61200.117,61150.484,0.0,0.0
24,25.0,1.3005652e-09,4.4341526e-09,61191.27,61200.117,61206.785,0.0,0.0
25,26.0,1.6934347e-09,5.195611e-09,70697.21,70708.69,70794.06,0.0,0.0
26,27.0,1.8353461e-09,4.399167e-09,61191.27,61200.117,61141.766,0.0,0.0
27,28.0,4.0093284e-09,5.0329745e-09,89029.55,89046.64,89034.86,0.0,0.0
28,29.0,9.006591e-10,2.794619e-09,79401.67,79417.77,79428.07,0.0,0.0
29,30.0,1.1978316e-09,3.211066e-09,54217.785,54224.95,54194.72,0.0,0.0
30,31.0,2.9111478e-09,6.8798047e-09,73045.59,73056.4,73039.4,0.0,0.0
31,32.0,2.886795e-09,4.9073985e-09,45984.145,45988.9,45979.562,0.0,0.0
32,33.0,1.2132835e-08,3.9592024e-08,45681.516,45686.156,45653.74,0.0,0.0
33,34.0,1.0212357e-09,4.6235966e-09,59660.383,59669.67,59657.367,0.0,0.0
34,35.0,1.6690487e-08,5.409857e-08,61191.266,61200.125,61192.605,0.0,0.0
35,36.0,2.0685547e-09,3.934873e-09,76889.95,76903.53,76877.7,0.0,0.0
36,37.0,9.702223e-10,2.563544e-09,79401.67,79417.78,79409.3,0.0,0.0
37,38.0,4.052453e-09,1.2115534e-08,76889.95,76903.53,76969.91,0.0,0.0
38,39.0,1.4237719e-09,6.9359256e-09,66610.516,66620.22,66645.09,0.0,0.0
39,40.0,2.9087863e-09,6.520372e-09,43346.92,43351.15,43345.64,0.0,0.0
40,41.0,7.766971e-08,7.4002213e-07,70697.2,70708.69,70643.11,0.0,0.0
41,42.0,2.4630655e-09,7.850122e-09,70697.21,70708.69,70696.24,0.0,0.0
42,43.0,4.255163e-09,6.05406e-09,88987.62,89004.664,89042.35,0.0,0.0
43,44.0,1.8575071e-09,2.5316866e-09,78081.27,78095.06,78097.98,0.0,0.0
44,45.0,1.2572645e-09,3.530904e-09,76889.95,76903.53,76853.89,0.0,0.0
45,46.0,1.1600232e-09,1.9292345e-09,70697.22,70708.68,70709.96,0.0,0.0
46,47.0,1.0389338e-09,2.6894074e-09,78081.266,78095.06,78110.125,0.0,0.0
47,48.0,2.3516447e-09,4.9194355e-09,66610.51,66620.22,66654.586,0.0,0.0
48,49.0,2.265569e-09,1.1677003e-08,66610.516,66620.22,66642.16,0.0,0.0
49,50.0,1.3686781e-09,4.1079193e-09,66610.516,66620.22,66566.7,0.0,0.0
50,51.0,1.6132127e-09,2.7936136e-09,78081.266,78095.06,78120.23,0.0,0.0
51,52.0,2.7920324e-09,2.662765e-09,61191.27,61200.125,61153.64,0.0,0.0
52,53.0,2.216895e-09,8.159473e-09,76889.95,76903.53,76903.15,0.0,0.0
53,54.0,3.1795855e-09,2.6711198e-09,61191.27,61200.125,61159.027,0.0,0.0
54,55.0,3.472023e-09,1.1999284e-08,44831.438,44836.004,44812.17,0.0,0.0
55,56.0,8.013654e-10,3.4863576e-09,79401.664,79417.78,79463.89,0.0,0.0
56,57.0,3.0313738e-09,1.0971121e-08,59660.383,59669.668,59694.152,0.0,0.0
57,58.0,8.114239e-08,8.70883e-07,78081.27,78095.06,78126.54,0.0,0.0
58,59.0,4.479801e-09,1.6027784e-08,73045.59,73056.4,73176.36,0.0,0.0
59,60.0,2.2914227e-08,2.1948168e-08,61191.27,61200.117,61323.64,0.0,0.0
60,61.0,9.096287e-09,3.374836e-09,70697.21,70708.69,70710.4,0.0,0.0
61,62.0,2.362637e-09,3.9511368e-09,49743.242,49749.01,49777.07,0.0,0.0
62,63.0,9.645426e-10,4.730866e-09,59660.39,59669.67,59675.43,0.0,0.0
