,epoch,loss,val_loss,ivw,evw,ivw_ann,refState_loss
0,1.0,19.106735,20.161484,416668.06,416550.25,164.85345,0.0010892634
1,2.0,10.006796,10.449265,537491.6,537301.0,-1447.2638,0.0020847572
2,3.0,4.3152056,5.8083544,416612.06,416495.38,-2770.6875,0.0028218587
3,4.0,4.422986,3.7005227,547496.25,547306.75,-5316.6875,0.0017294608
4,5.0,1.5752523,2.5443954,340920.5,340842.25,-4670.819,0.0029223438
5,6.0,1.991698,1.750222,418133.06,418013.97,3846.424,0.012996696
6,7.0,1.5368776,1.3419406,487052.3,486892.38,9991.259,0.006047813
7,8.0,1.0174936,1.1423173,487039.6,486880.25,12341.184,0.029835587
8,9.0,1.4011536,1.0312134,506604.44,506444.88,32006.61,0.0089512365
9,10.0,0.9290508,0.9195898,539988.75,539794.6,33401.242,0.010813481
10,11.0,0.8066858,1.3311327,487024.5,486866.2,62523.133,0.013059542
11,12.0,0.5963646,0.8008239,486623.2,486464.66,94188.2,0.015601983
12,13.0,0.3611762,0.5182817,372245.34,372153.5,109175.086,0.036202803
13,14.0,0.3501163,0.3782695,490053.88,489892.94,135590.22,0.06113482
14,15.0,0.21068472,0.29647034,372535.5,372444.0,139039.72,0.08976643
15,16.0,0.1396336,0.24456242,329358.5,329297.5,150765.06,0.07306476
16,17.0,0.21120891,0.2087687,555828.25,555625.06,179752.36,0.05199533
17,18.0,0.1833191,0.18154955,548482.25,548287.75,190264.3,0.08277571
18,19.0,0.15936124,0.16046354,542525.25,542330.25,202842.4,0.116293825
19,20.0,0.099164516,0.14332037,371620.22,371529.38,191591.53,0.122205086
20,21.0,0.0903285,0.12960668,375134.72,375041.6,199927.0,0.03201709
21,22.0,0.13337205,0.11853567,551670.9,551479.9,203556.97,0.13306929
22,23.0,0.08188321,0.10830041,416375.44,416258.6,230175.6,0.13841179
23,24.0,0.088073984,0.09967579,490423.75,490264.2,242442.72,0.03596209
24,25.0,0.06952521,0.092553884,417190.16,417071.44,247285.11,0.07441646
25,26.0,0.07410952,0.08608894,510296.7,510134.4,281326.4,0.07683072
26,27.0,0.08720506,0.08053918,543506.7,543317.6,238322.03,0.11875978
27,28.0,0.05044545,0.07471597,376012.9,375919.3,254793.55,0.08172167
28,29.0,0.06058506,0.070740744,489034.66,488873.66,286517.7,0.042030495
29,30.0,0.052850705,0.06642205,457969.97,457831.5,292920.94,0.17251956
30,31.0,0.068069145,0.06342046,551917.8,551727.44,256903.78,0.04433159
31,32.0,0.039074272,0.05936204,375364.06,375271.7,281705.56,0.1815622
32,33.0,0.04304851,0.05664982,413067.06,412950.66,281597.3,0.09308352
33,34.0,0.040809605,0.053249106,413493.25,413375.62,288892.03,0.14291173
34,35.0,0.042534113,0.050794154,487378.28,487217.8,330929.8,0.19457628
35,36.0,0.03542587,0.04835844,416940.38,416822.78,318509.47,0.19884887
36,37.0,0.038228214,0.046584792,507071.2,506910.16,364152.66,0.10160312
37,38.0,0.02554646,0.044131897,342776.84,342696.8,319182.28,0.103750326
38,39.0,0.035493568,0.04298071,491847.12,491685.97,352857.06,0.15842669
39,40.0,0.03141885,0.04148091,454745.12,454606.75,356965.25,0.16159017
40,41.0,0.021365587,0.03896805,355999.44,355917.2,340762.84,0.054841783
41,42.0,0.029651083,0.03814819,463295.03,463153.5,367398.8,0.16725177
42,43.0,0.030540396,0.03622538,500254.56,500089.28,371545.3,0.16995123
43,44.0,0.028752783,0.034960076,486890.2,486730.6,384393.62,0.057661165
44,45.0,0.02787374,0.034534138,508284.12,508121.88,411038.75,0.058561876
45,46.0,0.023607397,0.032607347,417623.53,417504.47,387790.88,0.059384506
46,47.0,0.03330574,0.03184459,545507.06,545318.0,332810.44,0.24085781
47,48.0,0.02234394,0.030539079,417369.34,417250.7,398304.2,0.18273209
48,49.0,0.022944465,0.030120313,417224.72,417106.12,358526.12,0.123425886
49,50.0,0.024994038,0.028289711,487039.94,486880.97,400637.6,0.124519765
50,51.0,0.02135637,0.027018446,416947.0,416829.75,395540.8,0.06267002
51,52.0,0.021849036,0.026561342,417535.28,417417.94,389972.78,0.24875018
52,53.0,0.015884131,0.025800541,341353.22,341274.06,357967.44,0.18254864
53,54.0,0.027574671,0.025231354,586818.25,586599.6,396855.3,0.055949666
54,55.0,0.017434563,0.026461232,372348.78,372257.1,332303.12,0.10978992
55,56.0,0.022228535,0.023843637,508496.6,508334.5,410780.9,0.12250109
56,57.0,0.020965582,0.021825626,508025.8,507863.5,419505.88,0.12562852
57,58.0,0.018650021,0.021554824,454351.62,454214.3,379963.7,0.098016724
58,59.0,0.01894194,0.024478864,489339.75,489180.72,336818.2,0.036065552
59,60.0,0.014475625,0.020129288,418894.88,418776.22,393939.06,0.0714207
60,61.0,0.011690618,0.019070541,312338.7,312282.56,357242.75,0.2710005
61,62.0,0.011117243,0.017947046,340869.22,340791.06,377156.66,0.06450018
62,63.0,0.017296035,0.018594515,520572.3,520391.5,367749.38,0.0530861
63,64.0,0.012308356,0.018401898,372002.2,371910.56,338186.62,0.19672966
64,65.0,0.01380465,0.018066816,414094.8,413976.34,309232.44,0.0659169
65,66.0,0.015505061,0.016443959,543855.5,543660.5,436929.3,0.19903234
66,67.0,0.009866909,0.015947808,341045.38,340967.1,369008.84,0.12507086
67,68.0,0.013297859,0.014499176,459155.84,459015.38,454314.88,0.11857709
68,69.0,0.011935516,0.0155424485,413031.72,412915.44,312728.5,0.0396475
69,70.0,0.009691046,0.014991038,343324.47,343251.0,295504.3,0.024392547
70,71.0,0.015578028,0.013806504,541181.2,540999.6,386933.7,0.063835286
71,72.0,0.008659288,0.014001887,341674.28,341594.8,355166.2,0.2167216
72,73.0,0.009266156,0.01276216,417665.06,417545.84,430503.62,0.17811014
73,74.0,0.009619652,0.012062349,413128.28,413011.66,372800.56,0.1373819
74,75.0,0.0077830423,0.011346518,315904.7,315841.38,300499.78,0.04552254
75,76.0,0.010462982,0.012428314,458396.62,458256.56,417691.06,0.08225764
76,77.0,0.008579595,0.010858944,417418.72,417299.5,406838.0,0.04135197
77,78.0,0.010197249,0.010834277,488769.47,488609.44,399740.94,0.038932115
78,79.0,0.009472134,0.009948906,507045.44,506884.5,492177.47,0.03900093
79,80.0,0.00869418,0.0096928775,538225.3,538033.25,424988.53,0.013309118
80,81.0,0.0103558535,0.009597879,559875.2,559677.56,459615.62,0.25461406
81,82.0,0.008549748,0.008996071,506472.62,506313.62,494371.3,0.016801273
82,83.0,0.00895134,0.008981524,584425.9,584213.3,470377.1,0.02038074
83,84.0,0.007001552,0.009290271,417879.06,417761.53,399568.03,0.047074504
84,85.0,0.007585367,0.008131377,486271.2,486113.53,414641.47,0.0071917023
85,86.0,0.0124559235,0.010724919,548963.4,548766.75,351122.62,0.056916997
