,epoch,loss,val_loss,ivw,evw,ivw_ann,wp_loss
0,1.0,4605130.0,6916776.0,311644.16,310297.97,1386.018,5.529744
1,2.0,3750511.5,4486766.0,306882.0,305563.62,2199.9285,3.535504
2,3.0,1518700.6,2344524.2,178967.69,178704.52,3150.7598,0.04815731
3,4.0,616456.44,1178579.8,198183.06,197669.56,4979.421,0.049235865
4,5.0,824337.75,681964.25,291409.4,290277.62,7288.752,0.7832316
5,6.0,386652.47,390660.0,265694.0,264704.56,10998.857,0.295229
6,7.0,161515.47,201970.95,237941.33,237087.67,16906.541,0.17371944
7,8.0,79546.82,107150.734,237941.33,237087.67,25591.824,0.15587486
8,9.0,45941.59,64280.484,237941.33,237087.69,34821.324,0.18391782
9,10.0,40411.477,44524.777,291409.4,290277.62,49603.25,0.16019583
10,11.0,23594.428,33024.637,244040.36,243168.67,53771.53,0.17770013
11,12.0,23620.916,26173.768,291409.4,290277.62,68211.55,0.2564602
12,13.0,16814.078,21445.691,265694.0,264704.56,71778.4,0.24690141
13,14.0,7452.498,18029.514,178807.53,178563.56,68141.15,0.055718966
14,15.0,8088.009,15953.929,198183.06,197669.56,72231.15,0.14801295
15,16.0,8360.01,14419.117,216113.7,215453.95,78150.86,0.22154695
16,17.0,9538.168,13271.8955,237941.33,237087.67,82639.836,0.5016973
17,18.0,14807.868,12454.825,316997.56,315553.53,94626.53,1.5786499
18,19.0,4764.1475,12113.034,176467.89,176237.03,82092.9,0.09719798
19,20.0,8421.191,11824.041,244040.39,243168.69,91435.375,0.45252502
20,21.0,10223.407,11611.145,282084.22,280949.4,99436.805,0.5706238
21,22.0,10325.663,11360.604,282084.22,280949.38,99293.516,0.60354614
22,23.0,4752.0186,11380.864,181215.31,180957.2,84478.49,0.102472216
23,24.0,11867.014,11237.233,306882.0,305563.62,102626.91,0.785128
24,25.0,8855.6045,11265.429,265693.97,264704.56,93806.625,0.35737923
25,26.0,7619.665,11025.094,244040.39,243168.67,83794.59,0.28159145
26,27.0,6991.5327,10019.338,244040.39,243168.69,81234.18,0.26734492
27,28.0,5537.598,8977.465,237941.33,237087.67,77201.13,0.27700585
