,epoch,loss,val_loss,ivw,evw,ivw_ann,refState_loss
0,1.0,119326.555,116320.484,132215.22,132249.02,1833.8508,20.316
1,2.0,46650.316,15657.175,132215.23,132249.02,4083.5999,19.757212
2,3.0,11859.274,6087.872,132215.22,132249.02,7847.686,19.054495
3,4.0,4568.998,2564.6895,132215.22,132249.02,11726.882,18.184462
4,5.0,2115.601,1315.49,132215.23,132249.03,15279.437,17.293732
5,6.0,1150.1527,753.5489,132215.23,132249.03,20196.879,16.186943
6,7.0,704.1484,491.4046,132215.23,132249.03,23888.684,15.4216385
7,8.0,479.84732,338.9433,132215.23,132249.02,28503.41,14.460128
8,9.0,345.11813,248.19498,132215.23,132249.02,33313.734,13.601932
9,10.0,258.61496,186.94623,132215.23,132249.02,37631.152,12.876788
10,11.0,198.28079,147.56564,132215.22,132249.03,40336.074,12.230555
11,12.0,156.92297,115.94516,132215.23,132249.02,43932.85,11.5327835
12,13.0,125.991234,92.23972,132215.22,132249.02,48665.812,10.898737
13,14.0,102.45919,75.47262,132215.22,132249.03,51761.176,10.28777
14,15.0,84.20429,62.25,132215.22,132249.03,55341.457,9.755781
15,16.0,69.808266,51.952606,132215.22,132249.02,59943.445,9.176656
16,17.0,58.669167,44.033882,132215.22,132249.03,62407.87,8.645507
17,18.0,49.55593,37.599205,132215.22,132249.02,65846.67,8.1579275
18,19.0,42.194828,32.36522,132215.22,132249.03,69657.74,7.712253
19,20.0,36.288605,27.82956,132215.22,132249.03,73982.484,7.2585483
20,21.0,31.183496,24.405247,132215.23,132249.02,77162.37,6.858659
21,22.0,27.027216,21.648312,132215.22,132249.03,79768.21,6.5258594
22,23.0,23.585724,19.348747,132215.22,132249.03,84123.164,6.145289
23,24.0,20.67714,17.380997,132215.22,132249.03,87285.58,5.7991996
24,25.0,18.166327,15.792261,132215.22,132249.02,90503.98,5.4770103
25,26.0,16.096186,14.471467,132215.22,132249.03,93292.04,5.1981497
26,27.0,14.261794,13.418092,132215.23,132249.03,96956.57,4.9315696
27,28.0,12.750903,12.464053,132215.22,132249.03,99998.88,4.682056
28,29.0,11.443881,11.804712,132215.22,132249.02,102881.836,4.470174
29,30.0,10.339562,11.179956,132215.22,132249.03,105572.05,4.2802563
30,31.0,9.382451,10.723687,132215.23,132249.03,108574.93,4.103804
31,32.0,8.5751705,10.332075,132215.23,132249.03,110775.9,3.9324718
32,33.0,7.863785,10.010379,132215.23,132249.02,114392.375,3.756808
33,34.0,7.2456484,9.86549,132215.22,132249.02,116090.25,3.6498358
34,35.0,6.6766663,9.935209,132215.22,132249.02,117577.17,3.5288959
35,36.0,6.015195,9.848554,132215.22,132249.03,119873.69,3.4163716
36,37.0,5.334354,9.768902,132215.22,132249.03,122886.61,3.2737381
37,38.0,4.6694107,9.784445,132215.23,132249.03,128125.83,3.142374
38,39.0,4.2654276,9.842057,132215.22,132249.03,131927.03,3.0540698
39,40.0,3.9832208,9.933869,132215.22,132249.02,134559.53,3.0005984
40,41.0,3.8433325,9.956221,132215.22,132249.03,136751.67,2.9923115
41,42.0,3.7096596,10.034506,132215.23,132249.02,139058.3,2.943086
42,43.0,3.5865786,10.064048,132215.23,132249.03,142382.69,2.9794998
43,44.0,3.6607356,10.067592,132215.23,132249.03,141847.1,2.9382167
44,45.0,3.6471524,10.0875025,132215.22,132249.02,142269.73,2.9339414
