,epoch,loss,val_loss,ivw,evw,ivw_ann,wp_loss,triax_loss
0,1.0,1.5125919e-07,9.91718e-08,61166.902,61200.125,61387.742,0.0,0.0
1,2.0,4.4813895e-08,3.5065792e-08,73012.36,73056.41,73057.36,0.0,0.0
2,3.0,1.0014974e-08,5.6413214e-08,70662.24,70708.69,70641.45,0.0,0.0
3,4.0,1.0696887e-08,7.139506e-08,61166.91,61200.125,60995.543,0.0,0.0
4,5.0,6.7149832e-09,7.991799e-09,61166.91,61200.125,61127.92,0.0,0.0
5,6.0,6.4314603e-09,2.8388488e-08,76847.125,76903.53,77055.24,0.0,0.0
6,7.0,1.1283597e-08,2.5638508e-08,44363.355,44376.066,44313.035,0.0,0.0
7,8.0,6.9210273e-09,1.3864067e-08,70662.24,70708.69,70834.24,0.0,0.0
8,9.0,3.1485525e-09,9.232628e-09,89802.99,89878.21,89822.25,0.0,0.0
9,10.0,2.5028073e-09,1.0911694e-08,70662.24,70708.69,70659.95,0.0,0.0
10,11.0,9.14065e-09,1.7974292e-08,76847.13,76903.53,76924.38,0.0,0.0
11,12.0,1.2143995e-08,6.542894e-08,54199.32,54224.95,54202.043,0.0,0.0
12,13.0,6.224099e-09,2.7935247e-08,61166.902,61200.117,61103.08,0.0,0.0
13,14.0,4.797318e-09,1.4987046e-08,70662.24,70708.69,70749.87,0.0,0.0
14,15.0,2.0164153e-09,8.763317e-09,61166.902,61200.133,61184.805,0.0,0.0
15,16.0,3.752422e-09,1.23466375e-08,76847.125,76903.54,76864.54,0.0,0.0
16,17.0,5.1091e-09,1.12709495e-08,59633.61,59669.67,59749.453,0.0,0.0
17,18.0,3.042611e-09,6.477978e-09,61166.895,61200.125,61223.047,0.0,0.0
18,19.0,2.212865e-09,6.0513536e-09,79345.25,79417.77,79379.35,0.0,0.0
19,20.0,9.187319e-09,3.56693e-07,54199.316,54224.95,54267.445,0.0,0.0
20,21.0,3.0796998e-09,6.093593e-09,78037.81,78095.055,78051.53,0.0,0.0
21,22.0,2.320259e-09,8.00118e-09,79345.25,79417.78,79409.04,0.0,0.0
22,23.0,2.9841263e-09,6.9350907e-09,79345.25,79417.78,79423.16,0.0,0.0
23,24.0,2.44073e-09,1.1930673e-08,70662.24,70708.69,70676.07,0.0,0.0
24,25.0,9.723323e-09,1.0385692e-08,70662.234,70708.68,70672.28,0.0,0.0
25,26.0,2.8538558e-09,1.0903141e-08,54199.316,54224.945,54202.645,0.0,0.0
