,epoch,loss,val_loss,ivw,evw,ivw_ann,refState_loss
0,1.0,514286.3,8592013.0,1178988.5,1179083.8,1664.6466,0.0
1,2.0,488413.97,8523778.0,1178988.6,1179083.8,4090.2476,0.0
2,3.0,479950.5,8336003.0,1178988.6,1179083.8,11244.889,0.0
3,4.0,434303.34,7633708.0,1178988.5,1179083.8,39169.156,0.0
4,5.0,375664.34,6687487.0,1178988.4,1179083.8,122408.75,0.0
5,6.0,359361.94,6333392.5,1178988.5,1179083.8,167016.03,0.0
6,7.0,360206.1,6113988.0,1178988.6,1179083.8,192819.33,0.0
7,8.0,361076.25,5889287.5,1178988.5,1179083.8,209232.97,0.0
8,9.0,322162.94,5690641.0,1178988.6,1179083.8,229153.33,0.0
9,10.0,285890.1,5492490.5,1178988.5,1179083.8,243612.23,0.0
10,11.0,284253.38,5318292.0,1178988.6,1179083.8,264043.06,0.0
11,12.0,304849.66,5138899.0,1178988.5,1179083.8,280147.53,0.0
12,13.0,237701.12,4984524.0,1178988.6,1179083.6,296016.03,0.0
13,14.0,275916.44,4825121.5,1178988.6,1179083.8,311401.6,0.0
14,15.0,259944.34,4681406.0,1178988.6,1179083.6,325108.34,0.0
15,16.0,233246.67,4556162.0,1178988.6,1179083.6,341220.2,0.0
16,17.0,279618.53,4398868.5,1178988.6,1179083.6,352239.3,0.0
17,18.0,249592.62,4251918.5,1178988.5,1179083.6,368877.03,0.0
18,19.0,254415.16,4097527.2,1178988.5,1179083.8,383851.84,0.0
19,20.0,234996.64,3895017.2,1178988.5,1179083.6,404458.56,0.0
20,21.0,203141.86,3763002.5,1178988.6,1179083.6,420357.7,0.0
21,22.0,214998.72,3640723.5,1178988.4,1179083.8,436309.1,0.0
22,23.0,182959.2,3530355.0,1178988.6,1179083.6,451451.72,0.0
23,24.0,184033.84,3421406.5,1178988.6,1179083.6,464197.94,0.0
24,25.0,203241.23,3315937.2,1178988.5,1179083.8,476315.44,0.0
25,26.0,185309.61,3214368.2,1178988.6,1179083.8,491439.78,0.0
26,27.0,162740.48,3114271.5,1178988.6,1179083.6,503404.28,0.0
27,28.0,174813.22,3026337.8,1178988.6,1179083.6,517833.47,0.0
28,29.0,176957.83,2931853.5,1178988.5,1179083.6,528678.75,0.0
29,30.0,149986.47,2842444.8,1178988.6,1179083.6,543912.4,0.0
30,31.0,148972.9,2765464.5,1178988.6,1179083.8,555879.2,0.0
31,32.0,167301.98,2681498.0,1178988.6,1179083.8,566085.06,0.0
32,33.0,154012.98,2599236.0,1178988.6,1179083.8,578977.9,0.0
33,34.0,150754.58,2525725.8,1178988.6,1179083.8,590756.8,0.0
34,35.0,135679.17,2454991.8,1178988.5,1179083.6,602667.56,0.0
35,36.0,137844.77,2384631.2,1178988.5,1179083.6,615029.3,0.0
36,37.0,137025.52,2309058.8,1178988.5,1179083.8,626103.3,0.0
37,38.0,126905.75,2246754.2,1178988.6,1179083.8,639435.0,0.0
38,39.0,133854.81,2187065.8,1178988.5,1179083.6,648765.56,0.0
39,40.0,120378.164,2126913.5,1178988.6,1179083.8,661857.1,0.0
40,41.0,115327.63,2060979.4,1178988.4,1179083.6,672219.7,0.0
41,42.0,117367.64,2005775.2,1178988.6,1179083.6,684328.1,0.0
42,43.0,126975.734,1952870.0,1178988.5,1179083.6,694528.94,0.0
43,44.0,111417.26,1901152.4,1178988.6,1179083.8,707071.7,0.0
44,45.0,114225.27,1852075.2,1178988.5,1179083.6,716119.0,0.0
45,46.0,113327.92,1797450.6,1178988.6,1179083.8,727411.5,0.0
46,47.0,97250.85,1748062.9,1178988.5,1179083.8,738152.5,0.0
47,48.0,107150.664,1705075.9,1178988.6,1179083.9,749014.3,0.0
48,49.0,99516.35,1659647.8,1178988.5,1179083.6,759749.3,0.0
49,50.0,114472.445,1621174.4,1178988.4,1179083.8,769477.4,0.0
50,51.0,92854.01,1581666.6,1178988.6,1179083.8,782070.6,0.0
51,52.0,98387.086,1538777.1,1178988.5,1179083.8,791107.06,0.0
52,53.0,108423.44,1505908.9,1178988.6,1179083.8,803565.44,0.0
53,54.0,82972.14,1463792.0,1178988.6,1179083.8,811595.6,0.0
54,55.0,101827.484,1431934.0,1178988.6,1179083.8,821586.94,0.0
55,56.0,92444.08,1398549.1,1178988.5,1179083.8,833451.56,0.0
56,57.0,80379.5,1364029.1,1178988.6,1179083.6,842895.6,0.0
57,58.0,83659.98,1338776.9,1178988.6,1179083.8,854790.9,0.0
58,59.0,76993.375,1306157.6,1178988.6,1179083.6,862072.8,0.0
59,60.0,70229.82,1277659.1,1178988.6,1179083.6,873683.0,0.0
60,61.0,101067.04,1257589.8,1178988.6,1179083.6,884868.7,0.0
61,62.0,73694.61,1232071.0,1178988.6,1179083.6,892139.0,0.0
62,63.0,68521.01,1210361.1,1178988.6,1179083.6,902499.1,0.0
63,64.0,69128.37,1190138.6,1178988.5,1179083.8,911682.0,0.0
64,65.0,94061.625,1169376.5,1178988.6,1179083.8,919751.2,0.0
65,66.0,69913.63,1151443.4,1178988.5,1179083.8,931483.94,0.0
66,67.0,73088.67,1134447.8,1178988.6,1179083.8,940280.06,0.0
67,68.0,72523.34,1118799.1,1178988.6,1179083.6,948771.94,0.0
68,69.0,66337.33,1105435.1,1178988.5,1179083.8,958124.1,0.0
69,70.0,70750.25,1094502.5,1178988.5,1179083.8,964960.44,0.0
70,71.0,84215.96,1084036.8,1178988.5,1179083.8,972277.06,0.0
71,72.0,74436.78,1073763.2,1178988.6,1179083.8,979867.2,0.0
72,73.0,98446.836,1067530.8,1178988.6,1179083.8,987088.7,0.0
73,74.0,66151.33,1060409.4,1178988.6,1179083.6,993641.4,0.0
74,75.0,93085.95,1053221.5,1178988.5,1179083.8,1001379.5,0.0
75,76.0,64536.395,1046322.9,1178988.5,1179083.6,1008132.3,0.0
76,77.0,65805.88,1040103.06,1178988.6,1179083.6,1015820.5,0.0
77,78.0,67412.64,1034717.44,1178988.6,1179083.6,1022642.4,0.0
78,79.0,65733.63,1029856.8,1178988.5,1179083.8,1028676.1,0.0
79,80.0,62033.633,1025411.94,1178988.5,1179083.8,1035132.5,0.0
80,81.0,66396.87,1022149.06,1178988.6,1179083.6,1042891.2,0.0
81,82.0,74419.164,1019692.6,1178988.6,1179083.8,1048146.5,0.0
82,83.0,102179.195,1017633.2,1178988.6,1179083.6,1053888.9,0.0
83,84.0,65124.68,1015520.44,1178988.6,1179083.8,1059835.8,0.0
84,85.0,61527.316,1014923.6,1178988.6,1179083.8,1065413.1,0.0
85,86.0,62434.28,1013550.4,1178988.6,1179083.8,1069761.4,0.0
86,87.0,115221.75,1013069.0,1178988.6,1179083.6,1077363.4,0.0
87,88.0,101608.46,1013080.2,1178988.5,1179083.6,1079594.1,0.0
88,89.0,66610.266,1013062.0,1178988.6,1179083.6,1084792.9,0.0
89,90.0,62006.273,1013763.0,1178988.5,1179083.8,1093427.9,0.0
90,91.0,65251.836,1014456.0,1178988.5,1179083.8,1097895.4,0.0
91,92.0,62476.2,1015237.06,1178988.5,1179083.8,1101098.9,0.0
92,93.0,63407.707,1016656.44,1178988.5,1179083.8,1105081.2,0.0
93,94.0,75343.32,1018094.6,1178988.6,1179083.8,1111295.4,0.0
94,95.0,64916.402,1019365.6,1178988.6,1179083.8,1113756.4,0.0
95,96.0,63564.84,1021610.7,1178988.4,1179083.8,1118536.8,0.0
96,97.0,63700.19,1023518.25,1178988.6,1179083.6,1122155.0,0.0
97,98.0,77530.87,1025485.94,1178988.6,1179083.8,1128160.8,0.0
98,99.0,81105.63,1027724.56,1178988.5,1179083.8,1130454.1,0.0
99,100.0,64068.586,1031272.8,1178988.6,1179083.8,1136591.9,0.0
100,101.0,83722.32,1033499.44,1178988.8,1179083.8,1140800.0,0.0
101,102.0,67312.57,1036209.75,1178988.6,1179083.6,1143967.6,0.0
102,103.0,108599.18,1039400.94,1178988.5,1179083.8,1148001.4,0.0
103,104.0,66287.96,1042687.0,1178988.6,1179083.6,1149940.8,0.0
104,105.0,65517.895,1046098.8,1178988.6,1179083.8,1154040.9,0.0
105,106.0,66819.51,1050801.9,1178988.6,1179083.8,1159479.8,0.0
106,107.0,67694.484,1055553.1,1178988.6,1179083.8,1165954.1,0.0
107,108.0,67228.63,1058425.0,1178988.5,1179083.8,1167864.2,0.0
108,109.0,67584.74,1063816.2,1178988.5,1179083.8,1172946.6,0.0
109,110.0,67780.14,1067638.9,1178988.6,1179083.8,1175715.9,0.0
110,111.0,68616.6,1069074.9,1178988.6,1179083.8,1177889.1,0.0
111,112.0,67726.88,1072281.4,1178988.6,1179083.8,1179896.4,0.0
112,113.0,68174.79,1072611.0,1178988.6,1179083.8,1180564.9,0.0
113,114.0,68267.35,1078347.4,1178988.6,1179083.8,1184600.6,0.0
114,115.0,67859.89,1083561.9,1178988.8,1179083.8,1187895.0,0.0
115,116.0,69370.8,1087515.5,1178988.6,1179083.6,1191661.1,0.0
116,117.0,118937.65,1089797.9,1178988.5,1179083.6,1193159.4,0.0
117,118.0,71765.23,1091038.6,1178988.6,1179083.8,1195943.0,0.0
118,119.0,70094.164,1094476.2,1178988.5,1179083.8,1196349.0,0.0
119,120.0,71068.22,1100569.6,1178988.6,1179083.8,1200282.6,0.0
120,121.0,71833.99,1102098.5,1178988.5,1179083.6,1201641.1,0.0
121,122.0,115375.1,1105970.0,1178988.5,1179083.8,1203259.0,0.0
122,123.0,71177.12,1109568.6,1178988.5,1179083.8,1205733.4,0.0
123,124.0,107007.57,1113385.1,1178988.6,1179083.8,1208524.2,0.0
124,125.0,76110.27,1114009.0,1178988.4,1179083.8,1209777.0,0.0
125,126.0,71697.99,1113594.5,1178988.5,1179083.8,1207578.6,0.0
126,127.0,71756.23,1115087.4,1178988.6,1179083.8,1208591.8,0.0
127,128.0,72274.29,1116824.1,1178988.6,1179083.8,1210253.6,0.0
128,129.0,120494.04,1115097.2,1178988.6,1179083.8,1209159.2,0.0
129,130.0,83596.35,1112281.0,1178988.6,1179083.8,1210038.8,0.0
130,131.0,111563.0,1111879.1,1178988.8,1179083.8,1207066.2,0.0
131,132.0,121600.75,1111364.5,1178988.5,1179083.8,1207346.2,0.0
132,133.0,72063.14,1114174.8,1178988.8,1179083.6,1208504.8,0.0
133,134.0,74860.71,1116244.8,1178988.5,1179083.6,1209799.9,0.0
134,135.0,94243.484,1120140.6,1178988.5,1179083.8,1212105.8,0.0
135,136.0,72543.63,1114981.0,1178988.6,1179083.8,1209963.8,0.0
136,137.0,72976.67,1112795.2,1178988.6,1179083.8,1210334.6,0.0
137,138.0,123038.15,1115757.9,1178988.6,1179083.6,1209611.2,0.0
