,epoch,loss,val_loss,ivw,evw,ivw_ann,refState_loss
0,1.0,15.078923,35.587467,461081.4,460937.78,1718.7561,0.007379625
1,2.0,30.438183,40.159245,459306.28,459163.5,8593.871,0.006832164
2,3.0,26.725769,25.977741,457820.56,457678.8,12133.93,0.008228149
3,4.0,16.210787,22.697378,460597.5,460454.56,12502.061,0.0103480965
4,5.0,12.351253,21.721947,459404.06,459261.9,12868.992,0.010554688
5,6.0,11.005158,21.410213,461277.94,461134.6,12985.323,0.011111871
6,7.0,10.156356,20.626564,461182.5,461040.44,13307.275,0.010685881
7,8.0,9.363073,19.29345,458555.2,458412.7,14045.518,0.013022525
8,9.0,8.53822,17.965408,459195.4,459053.78,14780.144,0.011680062
9,10.0,8.093014,16.536274,460783.06,460640.97,15647.192,0.012178714
10,11.0,7.470078,15.082348,458987.5,458845.4,16757.26,0.014866283
11,12.0,6.8703694,13.820186,459258.2,459116.16,17985.43,0.013366359
12,13.0,6.4771132,12.718504,462428.2,462283.84,19172.693,0.015167707
13,14.0,6.001497,11.581768,458993.5,458852.94,20479.656,0.01703041
14,15.0,5.600998,10.6370125,460815.28,460672.1,21711.355,0.016518274
15,16.0,5.25001,9.836189,459277.03,459134.78,23013.777,0.014504409
16,17.0,4.9634824,9.142035,459155.0,459013.6,24261.94,0.019139368
17,18.0,4.6949573,8.572786,459541.2,459400.34,25476.285,0.0198207
18,19.0,4.437852,8.013443,457502.44,457362.47,26703.377,0.020464089
19,20.0,4.2461963,7.500697,460069.66,459927.03,27775.115,0.02112593
20,21.0,4.0226145,7.058406,459468.66,459325.22,29041.098,0.021768494
21,22.0,3.8497221,6.7204165,461155.72,461013.97,29999.295,0.01920222
22,23.0,3.664135,6.299465,459601.06,459458.7,31185.848,0.021354789
23,24.0,3.5161862,5.958111,461277.06,461133.94,32407.701,0.020289587
24,25.0,3.3669648,5.689948,462015.9,461873.22,33405.492,0.017323323
25,26.0,3.2059076,5.405151,460402.84,460260.53,34545.3,0.023108276
26,27.0,3.0874822,5.1453943,460362.6,460219.8,35642.9,0.023666903
27,28.0,2.9617639,4.900922,459535.34,459392.84,36623.855,0.024211423
28,29.0,2.8606288,4.6773243,461861.53,461719.16,37826.15,0.020984968
29,30.0,2.7611964,4.4613132,460836.66,460693.25,38755.883,0.023371534
30,31.0,2.6354823,4.2825375,459861.56,459719.84,39797.305,0.027860539
31,32.0,2.5613208,4.053677,460078.28,459936.4,40750.145,0.026408648
32,33.0,2.4405231,3.91886,458167.47,458025.78,42124.105,0.026961787
33,34.0,2.378037,3.7533827,459168.22,459027.1,42927.09,0.029596176
34,35.0,2.3038547,3.6067538,460860.56,460718.66,43717.19,0.025869092
35,36.0,2.219312,3.4664712,458947.1,458805.75,44993.664,0.030715825
36,37.0,2.1429148,3.3469381,459592.06,459449.44,45953.926,0.026827825
37,38.0,2.0793655,3.2189412,458661.06,458518.9,46907.72,0.031843834
38,39.0,2.025028,3.101343,460904.16,460760.22,47817.707,0.030092258
39,40.0,1.9449099,3.0002313,459535.66,459394.5,48813.53,0.030624522
40,41.0,1.887471,2.9078794,458142.66,458001.4,50048.19,0.03112814
41,42.0,1.8361996,2.7847776,459229.53,459088.2,50778.22,0.031618565
42,43.0,1.7894231,2.7002516,460936.84,460794.97,51719.55,0.029699553
43,44.0,1.727051,2.6190789,459463.56,459322.06,52800.523,0.03519503
44,45.0,1.6994572,2.5333815,462648.06,462504.6,53705.49,0.030622512
45,46.0,1.6396736,2.4508445,461878.47,461736.16,54685.582,0.033702992
46,47.0,1.5928391,2.3730168,461419.47,461276.75,55422.668,0.03684691
47,48.0,1.536538,2.3104596,458900.25,458758.47,56739.066,0.03202391
48,49.0,1.4983331,2.2461708,459055.06,458912.56,57642.195,0.03794648
49,50.0,1.4528514,2.1837268,457417.78,457277.06,58783.598,0.03848532
50,51.0,1.4182237,2.1155772,459424.8,459282.8,59265.59,0.03625301
51,52.0,1.3905407,2.0609891,460420.78,460277.4,60633.977,0.039577674
52,53.0,1.3375818,1.9975858,457955.0,457814.06,61281.246,0.037254672
53,54.0,1.3095993,1.9433317,458619.25,458478.44,62512.68,0.04067326
54,55.0,1.2774321,1.8968558,459196.3,459054.7,63494.566,0.041227244
55,56.0,1.2520714,1.8400857,461565.56,461421.9,63957.195,0.03878694
56,57.0,1.2134606,1.7882738,460196.4,460054.53,65191.113,0.04232743
57,58.0,1.1797308,1.7457691,459665.7,459524.7,66100.93,0.03980107
58,59.0,1.1589911,1.702339,460681.53,460538.8,67122.21,0.040340107
59,60.0,1.1267111,1.6606704,461080.6,460937.56,68000.625,0.040843386
60,61.0,1.0975702,1.6198418,459361.84,459220.06,69145.555,0.044522874
61,62.0,1.0660042,1.5740371,460411.44,460269.7,69645.336,0.035404045
62,63.0,1.0472184,1.5297439,460907.78,460764.22,70974.88,0.04563303
63,64.0,1.0147811,1.4999877,459730.66,459589.34,71989.38,0.04619972
64,65.0,0.99871963,1.4649088,461635.16,461490.97,72812.49,0.04341327
65,66.0,0.9719164,1.429875,460535.75,460391.94,73778.35,0.047312893
