,epoch,loss,val_loss,ivw,evw,ivw_ann,wp_loss,triax_loss
0,1.0,3.2575288e-06,2.4012575e-06,154621.38,154585.64,156601.83,0.0,0.0
1,2.0,8.2372054e-07,7.8335364e-07,190221.72,190167.81,189262.31,0.0,0.0
2,3.0,1.1384923e-06,7.838433e-07,227081.1,227008.94,224539.25,0.0,0.0
3,4.0,6.459373e-07,7.084931e-07,154621.36,154585.64,155170.77,0.0,0.0
4,5.0,6.852415e-08,7.569461e-07,185464.94,185412.23,185213.92,0.0,0.0
5,6.0,1.314496e-07,4.0089034e-07,219785.56,219713.88,218997.12,0.0,0.0
6,7.0,3.4440686e-07,2.0256894e-06,207072.72,207009.73,207823.36,0.0,0.0
7,8.0,3.0811185e-07,3.636465e-07,278414.88,278308.7,276742.94,0.0,0.0
8,9.0,1.5148592e-07,4.6943867e-07,246860.56,246775.75,246355.92,0.0,0.0
9,10.0,1.2367948e-07,8.248436e-07,227081.06,227008.95,227562.77,0.0,0.0
10,11.0,2.5834572e-07,2.783714e-07,219785.56,219713.88,219162.48,0.0,0.0
11,12.0,5.8930954e-08,5.074131e-07,219785.56,219713.88,219338.36,0.0,0.0
12,13.0,1.5337993e-07,4.410634e-07,154621.38,154585.66,154855.67,0.0,0.0
13,14.0,9.779593e-08,2.9599727e-07,227081.08,227008.95,227246.58,0.0,0.0
14,15.0,1.4783545e-07,3.052977e-07,154621.36,154585.66,154892.34,0.0,0.0
15,16.0,1.2513863e-07,2.5474677e-07,219785.56,219713.88,220249.95,0.0,0.0
16,17.0,1.2449287e-07,1.7943181e-07,190221.7,190167.81,190027.92,0.0,0.0
17,18.0,7.0074975e-08,2.2816019e-07,185464.92,185412.2,185695.64,0.0,0.0
18,19.0,2.8837356e-08,1.3225305e-07,239047.83,238963.19,238887.72,0.0,0.0
19,20.0,4.1864055e-08,1.4387207e-07,219785.56,219713.89,219914.38,0.0,0.0
20,21.0,4.0546983e-08,1.02520154e-07,242752.42,242665.64,242726.83,0.0,0.0
21,22.0,3.6692467e-07,3.235938e-07,239047.81,238963.19,238204.92,0.0,0.0
22,23.0,1.3779758e-07,2.7581228e-07,239047.83,238963.22,239686.86,0.0,0.0
23,24.0,1.2617807e-07,4.678374e-07,227081.08,227008.95,226065.94,0.0,0.0
24,25.0,1.5892618e-07,6.8402846e-07,227081.08,227008.94,227300.39,0.0,0.0
25,26.0,8.828068e-08,3.0622334e-07,219785.56,219713.88,219571.62,0.0,0.0
26,27.0,1.09508974e-07,2.0542953e-07,239047.81,238963.19,239463.0,0.0,0.0
27,28.0,7.789799e-08,4.7735693e-07,168535.48,168493.8,168726.92,0.0,0.0
28,29.0,8.560821e-08,7.090806e-07,190221.7,190167.81,190661.95,0.0,0.0
29,30.0,1.891708e-07,7.846955e-07,185464.94,185412.23,185342.0,0.0,0.0
30,31.0,2.7674207e-07,3.0823628e-06,207072.73,207009.73,206692.2,0.0,0.0
31,32.0,9.3778446e-08,1.3521766e-07,142927.1,142901.81,143057.53,0.0,0.0
