,epoch,loss,val_loss,ivw,evw,ivw_ann,wp_loss,triax_loss
0,1.0,3.1112413e-06,9.3697945e-06,73025.53,73056.4,72528.07,0.0,0.0
1,2.0,2.1438398e-08,4.337273e-08,76862.94,76903.54,76877.64,0.0,0.0
2,3.0,1.34884415e-08,4.0183984e-08,66593.61,66620.22,66590.65,0.0,0.0
3,4.0,1.7655443e-08,2.3250106e-08,73025.53,73056.4,73222.89,0.0,0.0
4,5.0,1.9926731e-09,1.4286885e-08,90513.49,90568.51,90537.805,0.0,0.0
5,6.0,5.3450777e-09,1.0570454e-08,70675.59,70708.69,70722.336,0.0,0.0
6,7.0,4.835636e-09,9.851737e-09,78053.82,78095.06,77939.484,0.0,0.0
7,8.0,3.769843e-09,8.6991e-09,61176.965,61200.125,61085.82,0.0,0.0
8,9.0,7.7385955e-09,1.1319834e-08,44419.977,44428.32,44439.07,0.0,0.0
9,10.0,6.2502483e-09,7.617367e-09,66593.61,66620.22,66685.49,0.0,0.0
10,11.0,3.1231775e-09,6.3386754e-09,70675.59,70708.69,70719.44,0.0,0.0
11,12.0,1.964786e-09,8.343534e-09,61176.965,61200.125,61213.242,0.0,0.0
12,13.0,4.554284e-09,5.5056057e-09,73025.53,73056.41,73189.125,0.0,0.0
13,14.0,2.1014128e-09,9.022058e-09,66593.61,66620.22,66635.164,0.0,0.0
14,15.0,7.506969e-09,9.539002e-09,73025.53,73056.41,73194.78,0.0,0.0
15,16.0,1.5537104e-09,4.9403166e-09,70675.59,70708.68,70704.68,0.0,0.0
16,17.0,3.5273868e-09,4.562033e-09,49736.21,49749.008,49751.387,0.0,0.0
17,18.0,1.5449236e-09,3.9938803e-09,91323.72,91379.96,91392.266,0.0,0.0
18,19.0,2.945522e-09,1.0482976e-08,70675.586,70708.68,70638.3,0.0,0.0
19,20.0,5.176983e-09,5.5601874e-09,61176.965,61200.125,61146.66,0.0,0.0
20,21.0,4.639754e-09,5.1003406e-09,79365.305,79417.78,79537.69,0.0,0.0
21,22.0,4.450026e-09,5.700451e-09,70675.59,70708.68,70743.07,0.0,0.0
