,epoch,loss,val_loss,ivw,evw,ivw_ann,f_loss
0,1.0,7368358.5,8518169.0,30586.148,30600.062,37.451122,234516.14
1,2.0,791676.06,1284504.5,24865.441,24874.502,128.3984,28273.04
2,3.0,350859.88,308959.38,38430.42,38451.766,298.41544,10040.122
3,4.0,174398.58,171745.67,37062.484,37081.207,368.19348,4997.7207
4,5.0,130582.21,131310.42,36786.008,36804.61,408.24744,3750.9727
5,6.0,46725.75,106097.805,21251.11,21257.592,344.916,1727.9832
6,7.0,85651.35,87313.58,36511.22,36528.203,497.46643,2460.0542
7,8.0,56537.723,72362.766,30586.148,30600.062,486.81967,1823.6411
8,9.0,59148.465,60335.438,36511.22,36528.203,605.59973,1715.7675
9,10.0,29383.441,50914.19,24865.441,24874.506,533.57465,1049.3701
10,11.0,25283.637,43855.496,24865.441,24874.504,577.7429,902.95386
11,12.0,22073.299,38329.723,24865.441,24874.506,620.348,788.3031
12,13.0,33197.098,33887.383,36195.117,36213.605,802.6457,983.1713
13,14.0,23459.576,30152.273,30586.152,30600.066,775.72424,764.4746
14,15.0,29606.086,27055.338,39025.86,39047.53,932.9794,845.4191
15,16.0,10600.612,24339.93,21251.11,21257.594,749.22424,394.00534
16,17.0,24154.736,22082.162,39025.855,39047.53,1036.2755,693.2271
17,18.0,21587.994,20058.223,38430.42,38451.77,1075.1764,628.6877
18,19.0,10482.499,18277.027,24865.441,24874.506,911.577,374.3612
19,20.0,12978.247,16709.664,30586.148,30600.062,1052.4272,415.17566
20,21.0,14956.821,15317.103,36511.22,36528.2,1241.7981,428.96762
21,22.0,13993.745,14071.941,37027.86,37046.56,1296.2914,397.63074
22,23.0,13935.588,12951.323,38430.42,38451.766,1343.0918,398.43707
23,24.0,11636.531,11924.895,36511.22,36528.203,1409.7052,334.7806
24,25.0,11845.618,11006.934,38430.42,38451.766,1457.9106,332.55734
25,26.0,11129.834,10170.188,39025.855,39047.53,1536.5065,315.84244
26,27.0,7286.1606,9396.402,30586.148,30600.062,1406.5492,236.35675
27,28.0,8487.994,8700.485,36511.223,36528.2,1650.5936,243.52864
28,29.0,7866.068,8061.2637,36511.22,36528.2,1714.2441,226.05322
29,30.0,5790.351,7474.4976,30586.152,30600.062,1575.8105,190.09592
30,31.0,6766.2954,6935.3774,36511.223,36528.2,1846.7589,194.08316
31,32.0,8507.467,6446.016,45216.508,45243.598,2133.8037,218.21011
32,33.0,5724.5156,5981.432,35569.75,35587.875,1910.6515,168.46729
33,34.0,4302.614,5558.021,30586.148,30600.062,1822.8694,141.54561
34,35.0,4000.0225,5169.6436,30586.152,30600.059,1888.3468,131.03328
35,36.0,2733.229,4810.221,24865.441,24874.506,1773.7202,97.61175
36,37.0,2540.3704,4475.566,24865.441,24874.506,1837.452,90.724205
37,38.0,2364.0496,4167.1543,24865.44,24874.506,1901.7769,84.427246
38,39.0,4184.6304,3883.78,38430.42,38451.766,2433.9841,122.26127
39,40.0,2048.6182,3615.332,24865.441,24874.504,2036.5662,73.16225
40,41.0,3692.8198,3371.3406,39025.85,39047.53,2639.5872,105.80308
41,42.0,1776.4495,3140.4912,24865.443,24874.506,2178.9556,63.442303
42,43.0,1929.4967,2927.5044,27651.195,27662.736,2377.8503,64.21939
43,44.0,1542.5717,2731.087,24865.441,24874.504,2328.483,55.089836
44,45.0,3098.8135,2550.5273,40448.586,40474.29,2938.191,90.146515
45,46.0,2904.7214,2379.8704,40672.977,40698.76,3075.419,83.374054
46,47.0,2691.8882,2220.991,40400.047,40425.65,3157.3513,76.83632
47,48.0,1843.6973,2071.5403,34271.082,34286.754,3178.1384,55.106186
48,49.0,1087.5149,1934.0123,24865.441,24874.504,2740.311,38.838394
49,50.0,1183.2031,1806.3738,27633.197,27644.72,2985.8633,39.694706
50,51.0,1158.709,1687.7104,28602.79,28614.965,3127.4314,38.94833
51,52.0,1083.2053,1577.2172,28605.277,28617.465,3227.3416,36.674156
52,53.0,1809.586,1475.6825,40571.207,40597.047,3795.6162,53.173203
53,54.0,1490.0708,1378.8251,38430.42,38451.77,3966.7434,43.109837
54,55.0,720.4156,1288.7643,24865.441,24874.504,3306.7947,25.728188
55,56.0,1303.6763,1206.2,38430.42,38451.77,4217.9473,37.61401
56,57.0,1371.5737,1129.0352,40298.895,40324.426,4290.8457,39.403534
57,58.0,810.27246,1055.7314,30586.152,30600.062,3994.5051,26.554178
58,59.0,405.37387,987.53613,21251.11,21257.594,3554.5728,15.59749
59,60.0,1250.8326,926.32104,45332.4,45359.89,5270.9707,32.814453
60,61.0,752.6665,866.2903,33693.84,33709.19,4711.133,21.54073
61,62.0,893.3689,812.02515,39025.855,39047.53,5107.381,25.624018
62,63.0,657.79083,760.3146,33488.324,33503.62,4926.78,19.577179
63,64.0,457.30524,712.2298,27559.082,27570.51,4558.8784,15.4713745
64,65.0,892.02924,668.49603,45132.984,45160.0,6166.982,22.837994
65,66.0,690.11304,626.38586,39025.85,39047.53,5729.279,19.61133
66,67.0,448.65298,587.1942,30586.152,30600.062,5185.7827,14.282455
67,68.0,677.3967,551.2708,40249.152,40274.75,5904.9,19.5356
68,69.0,503.26352,516.9434,36511.22,36528.2,6189.9624,14.499272
69,70.0,472.51947,485.21274,36511.22,36528.195,6361.3184,13.561776
70,71.0,443.33987,455.39682,36511.22,36528.195,6538.169,12.810465
71,72.0,326.0379,427.75967,30586.148,30600.062,5946.4097,10.582496
72,73.0,305.99142,401.76285,30586.148,30600.062,6107.8994,9.9800625
73,74.0,287.46133,377.42273,30586.148,30600.062,6269.7944,9.480541
74,75.0,269.91174,354.8661,30586.152,30600.062,6435.804,8.710471
75,76.0,363.04642,333.73117,38430.42,38451.766,7409.6895,10.464967
76,77.0,169.80154,313.78284,24865.44,24874.506,6142.6235,6.064121
77,78.0,287.25385,295.25598,36511.223,36528.203,7845.955,8.223174
78,79.0,270.4654,277.94977,36511.223,36528.2,8042.616,7.7779245
79,80.0,257.00394,261.68924,36248.3,36266.91,8140.1797,7.41761
80,81.0,239.67606,246.30023,36511.22,36528.195,8451.622,6.8176494
81,82.0,88.43833,231.82826,21251.11,21257.592,6622.9785,3.3922114
82,83.0,238.6114,218.7088,38430.418,38451.766,8810.819,6.9666195
83,84.0,200.40732,206.07721,36511.223,36528.2,9080.873,5.7545505
84,85.0,186.1888,194.3128,35709.477,35727.63,9060.065,5.3389955
85,86.0,138.29085,183.21588,30586.148,30600.062,8425.145,4.514963
86,87.0,168.13203,172.88794,36511.223,36528.203,9735.226,4.805222
87,88.0,60.59129,163.03038,21251.11,21257.594,7617.162,2.3225093
88,89.0,115.929756,154.03387,30586.148,30600.062,9017.685,3.7326083
89,90.0,53.526527,145.30486,21251.11,21257.594,7963.838,2.0153618
90,91.0,133.5101,137.33641,36511.223,36528.2,10642.01,3.8688762
91,92.0,97.396164,129.72638,30586.148,30600.062,9630.667,3.1087973
