,epoch,loss,val_loss,ivw,evw,ivw_ann,refState_loss
0,1.0,203062480.0,14390.99,67690.49,67721.14,2729.27,1190829.9
1,2.0,6713.1724,2889.2712,67690.49,67721.14,13371.577,8698.221
2,3.0,1621.3518,730.8046,67690.49,67721.15,22633.861,3751.965
3,4.0,409.46417,185.26648,67690.5,67721.14,35726.64,1532.4052
4,5.0,117.67647,71.34116,67690.5,67721.15,50931.51,611.76276
5,6.0,61.007908,52.676514,67690.49,67721.14,62011.395,376.4232
6,7.0,52.35899,50.724606,67690.5,67721.15,66155.23,338.22842
7,8.0,51.230244,50.234016,67690.5,67721.14,67353.17,331.7158
8,9.0,52.965668,49.89308,67690.49,67721.14,66867.14,333.35324
9,10.0,52.291313,48.558125,67690.49,67721.14,67137.74,331.10815
10,11.0,51.074524,48.31962,67690.484,67721.14,68347.11,328.2663
11,12.0,50.619076,50.497158,67690.5,67721.14,68451.13,326.8154
12,13.0,51.148964,51.84957,67690.5,67721.14,68454.75,326.40887
13,14.0,53.032463,49.985672,67690.5,67721.15,67249.21,331.9157
14,15.0,51.256226,51.181206,67690.49,67721.14,68412.15,329.6171
15,16.0,52.89845,49.706005,67690.51,67721.15,67029.6,333.65594
16,17.0,51.922874,48.199654,67690.49,67721.14,68041.56,328.9951
17,18.0,49.563377,53.763466,67690.49,67721.14,69438.055,322.27386
18,19.0,52.611866,48.04084,67690.5,67721.14,66853.55,333.03806
19,20.0,52.692455,47.32748,67690.49,67721.15,67764.445,331.53836
20,21.0,47.40637,59.17687,67690.5,67721.14,70509.73,313.33734
21,22.0,56.10162,47.3125,67690.49,67721.14,65479.035,343.2117
22,23.0,49.078953,55.91908,67690.49,67721.14,69800.266,321.4776
23,24.0,53.194935,48.469837,67690.49,67721.14,66907.78,334.36435
24,25.0,50.02171,55.837807,67690.5,67721.14,69433.43,323.28314
25,26.0,52.926537,49.625015,67690.49,67721.14,67042.66,333.48227
26,27.0,53.0458,48.13438,67690.49,67721.14,68340.04,331.77322
27,28.0,52.13226,51.57377,67690.49,67721.14,68487.08,331.35162
28,29.0,50.4853,45.49448,67690.49,67721.14,67482.234,328.0362
29,30.0,51.414093,45.033997,67690.49,67721.15,68479.61,323.83527
