,epoch,loss,val_loss,ivw,evw,ivw_ann
0,1.0,1633987.1,1146570.4,40953.55,40979.56,151.78668
1,2.0,210160.69,167072.12,40953.55,40979.56,356.1852
2,3.0,101256.6,102536.0,36511.223,36528.2,447.71213
3,4.0,78907.75,71460.61,39025.855,39047.53,548.2499
4,5.0,45389.42,51459.92,33534.547,33549.883,613.6536
5,6.0,16797.521,38260.543,21251.11,21257.594,585.2722
6,7.0,31931.951,29534.416,38430.42,38451.766,870.73987
7,8.0,13329.233,23143.209,24865.441,24874.504,801.37994
8,9.0,10692.972,18597.271,24865.441,24874.504,896.7766
9,10.0,16540.707,15312.871,38430.42,38451.766,1224.9504
10,11.0,8846.909,12892.742,28104.486,28116.44,1141.7866
11,12.0,11078.705,11109.314,36606.27,36625.016,1424.8057
12,13.0,10624.213,9694.306,39025.855,39047.53,1566.2684
13,14.0,6620.1836,8532.705,30586.148,30600.059,1470.1587
14,15.0,10002.328,7593.4863,44749.33,44776.41,1915.3494
15,16.0,6499.1777,6784.752,35575.99,35594.117,1789.8843
16,17.0,6688.141,6108.337,39025.855,39047.53,1971.6665
17,18.0,5409.5586,5516.8726,36240.137,36258.67,2007.1465
18,19.0,3867.1318,4996.525,30586.148,30600.059,1915.3568
19,20.0,4900.3296,4548.384,38430.42,38451.766,2250.037
20,21.0,4545.035,4149.252,39025.855,39047.53,2382.9553
21,22.0,2927.9814,3788.8516,30586.148,30600.059,2191.624
22,23.0,1471.3229,3464.9614,21251.11,21257.594,1976.3633
23,24.0,2864.903,3182.0696,34298.133,34314.074,2571.239
24,25.0,2681.7085,2922.9795,35187.92,35203.98,2748.9832
25,26.0,3288.6362,2691.595,40587.418,40613.22,2858.9893
26,27.0,3027.1775,2477.4878,40587.418,40613.22,2974.9385
27,28.0,2092.0347,2280.614,35187.92,35203.98,3092.8481
28,29.0,2269.2756,2103.3684,38430.42,38451.766,3256.2373
29,30.0,1889.9565,1939.3657,36511.223,36528.2,3404.676
30,31.0,1379.607,1790.6777,30586.148,30600.059,3128.913
31,32.0,1273.4425,1654.1721,30586.148,30600.059,3247.2378
32,33.0,1176.9601,1529.1499,30586.148,30600.059,3367.969
33,34.0,1087.6874,1413.7969,30586.148,30600.059,3492.4434
34,35.0,1737.9009,1309.4058,44749.33,44776.41,4449.7036
35,36.0,1193.7872,1210.1403,36339.58,36358.31,4128.1045
36,37.0,1385.9653,1120.4065,40686.86,40712.855,4303.9785
37,38.0,1386.6597,1037.1484,44848.77,44876.047,4948.3887
38,39.0,735.5084,958.8051,30586.148,30600.059,4170.4688
39,40.0,977.245,888.3572,39025.855,39047.53,4904.4663
40,41.0,1108.6528,822.70306,45115.465,45142.75,5524.6455
41,42.0,740.6179,760.57886,36511.223,36528.2,5223.955
42,43.0,626.4129,704.26215,34198.69,34214.438,5164.883
43,44.0,635.073,652.02356,36511.223,36528.2,5592.291
44,45.0,461.66498,603.5928,30586.148,30600.059,5122.395
45,46.0,735.85956,559.6438,44085.184,44111.855,6436.726
46,47.0,647.0649,518.0445,40686.86,40712.855,6066.0586
47,48.0,365.3483,478.80045,30586.148,30600.059,5666.464
48,49.0,431.67886,443.43585,36511.223,36528.2,6611.7188
49,50.0,561.82104,410.9611,45738.56,45765.953,7611.1074
50,51.0,413.11133,380.15076,38430.42,38451.766,7014.158
51,52.0,190.8872,351.51318,24865.441,24874.504,5861.003
52,53.0,316.63513,325.40247,36511.223,36528.2,7535.723
53,54.0,228.57088,300.94733,30586.148,30600.059,6895.732
54,55.0,279.77097,278.60168,37229.363,37248.215,8037.019
55,56.0,254.83151,257.6628,36339.58,36358.31,8089.028
56,57.0,180.33745,238.20563,30586.148,30600.059,7590.136
57,58.0,272.656,220.45467,39923.27,39948.664,8562.198
58,59.0,222.40262,203.7187,38430.42,38451.766,9069.466
59,60.0,183.1033,188.22823,36511.223,36528.2,9418.496
