,epoch,loss,val_loss,ivw,evw,ivw_ann,wp_loss,triax_loss
0,1.0,2.2131671e-05,3.779066e-05,61176.973,61200.125,57183.266,0.0,0.0
1,2.0,9.765782e-06,2.5518324e-05,76862.94,76903.54,75055.53,0.0,0.0
2,3.0,1.0104672e-05,1.4811153e-05,49736.215,49749.01,47670.277,0.0,0.0
3,4.0,2.782882e-06,5.2849095e-06,61176.957,61200.125,60806.91,0.0,0.0
4,5.0,4.9939575e-07,1.3380242e-06,78053.83,78095.055,78058.414,0.0,0.0
5,6.0,1.8788654e-07,4.4947956e-07,70675.59,70708.69,70489.13,0.0,0.0
6,7.0,1.833245e-07,2.2951205e-07,73025.53,73056.4,73100.336,0.0,0.0
7,8.0,1.1397643e-07,1.9790032e-07,66593.61,66620.22,66467.8,0.0,0.0
8,9.0,8.389659e-08,1.7850367e-07,61176.973,61200.133,61202.766,0.0,0.0
9,10.0,9.474095e-08,1.3146943e-07,49736.21,49749.008,49902.74,0.0,0.0
10,11.0,5.7647625e-08,1.4934776e-07,70675.59,70708.69,70587.59,0.0,0.0
11,12.0,3.058425e-08,1.01371455e-07,90139.53,90194.125,90097.34,0.0,0.0
12,13.0,4.988423e-08,8.182986e-08,61176.973,61200.125,61223.484,0.0,0.0
13,14.0,3.71315e-08,6.559348e-08,49736.21,49749.008,49839.793,0.0,0.0
14,15.0,3.5301163e-08,6.400457e-08,61176.973,61200.133,61244.805,0.0,0.0
15,16.0,2.748643e-08,6.422949e-08,70675.59,70708.68,70636.27,0.0,0.0
16,17.0,3.909504e-08,6.627333e-08,70675.59,70708.69,70643.305,0.0,0.0
17,18.0,1.9923972e-08,5.6596566e-08,78053.82,78095.06,78254.53,0.0,0.0
18,19.0,2.0822249e-08,5.020921e-08,79365.31,79417.77,79358.516,0.0,0.0
19,20.0,2.2490516e-08,5.2814045e-08,89741.32,89795.91,89672.34,0.0,0.0
20,21.0,4.0331933e-08,5.019569e-08,43355.047,43362.87,43284.14,0.0,0.0
21,22.0,1.5714592e-08,3.5474677e-08,79365.305,79417.78,79311.58,0.0,0.0
22,23.0,1.3080738e-08,3.5495724e-08,79365.305,79417.78,79378.63,0.0,0.0
23,24.0,1.9824977e-08,3.6946016e-08,49736.21,49749.01,49925.78,0.0,0.0
24,25.0,1.8434765e-08,3.30249e-08,49736.215,49749.008,49872.16,0.0,0.0
25,26.0,1.1486287e-08,3.4318344e-08,90913.66,90968.945,90894.35,0.0,0.0
26,27.0,1.100261e-08,3.149951e-08,79365.305,79417.77,79344.16,0.0,0.0
27,28.0,1.612829e-08,3.4505437e-08,54207.27,54224.95,54195.48,0.0,0.0
