,epoch,loss,val_loss,ivw,evw,ivw_ann,f_loss
0,1.0,5082342.0,5733782.0,122395.34,122400.234,276.11795,4801839.0
1,2.0,6981264.5,5693623.5,158825.17,158835.56,922.1936,6559556.0
2,3.0,5471090.5,5457036.0,141410.69,141417.38,4424.8057,5145049.0
3,4.0,4854709.0,5183104.5,133235.12,133240.44,9063.444,4575310.0
4,5.0,4468027.0,5070660.5,122395.34,122400.234,10265.367,4224215.0
5,6.0,4641333.0,4960897.5,133235.12,133240.44,12618.764,4375321.0
6,7.0,3005674.5,4844900.5,88749.59,88751.58,12164.139,2871673.2
7,8.0,4650573.5,4724244.0,146106.9,146112.81,17636.986,4366405.0
8,9.0,5050253.0,4594939.0,156181.81,156190.11,20070.814,4738314.5
9,10.0,3899353.2,4456582.0,122395.34,122400.234,19902.432,3689232.0
10,11.0,3758085.2,4311689.0,122395.34,122400.234,22291.635,3556287.8
11,12.0,4093167.5,4160325.0,146106.9,146112.81,28071.527,3846020.5
12,13.0,3072095.0,4004035.0,108446.06,108449.9,25750.986,2920135.5
13,14.0,3781503.5,3844521.0,146106.9,146112.81,34277.223,3554901.2
14,15.0,2433322.2,3678928.8,99495.23,99498.016,30250.646,2314518.2
15,16.0,4522722.0,3515794.8,158825.17,158835.56,39517.16,4259840.5
16,17.0,3738387.0,3346741.5,153798.89,153807.06,44479.03,3518637.8
17,18.0,2933107.5,3176768.5,133235.11,133240.44,45493.605,2772398.2
18,19.0,2776488.0,3012628.2,133235.11,133240.44,49061.008,2625205.0
19,20.0,1786230.2,2855732.0,95047.95,95050.55,45473.492,1710432.4
20,21.0,3586532.2,2713420.8,158825.17,158835.56,57433.195,3382706.8
21,22.0,2904055.5,2574424.8,153798.89,153807.06,62923.5,2737666.8
22,23.0,2054750.2,2444456.5,122395.34,122400.234,59130.152,1950685.5
23,24.0,2618918.5,2323232.5,156181.81,156190.11,70602.03,2466980.2
24,25.0,2983819.0,2208974.0,158825.17,158835.56,70615.086,2817292.2
25,26.0,1045290.3,2095639.5,88645.71,88647.695,60243.36,1004412.0
26,27.0,1195223.6,1995286.5,99495.23,99498.016,64187.984,1139823.2
27,28.0,1571590.6,1899811.4,122395.34,122400.234,73528.78,1493662.1
28,29.0,1771380.2,1810474.2,146106.92,146112.81,86030.13,1672577.4
29,30.0,1019236.75,1724636.6,99495.23,99498.016,71483.32,972030.7
30,31.0,1361241.6,1646480.6,122395.34,122400.234,81352.414,1294120.6
31,32.0,2057962.9,1572988.4,181823.27,181834.08,104328.3,1928296.6
32,33.0,1238082.8,1502119.0,122395.34,122400.234,86324.97,1177104.9
33,34.0,1432361.5,1438498.2,141410.69,141417.38,95627.12,1356329.8
34,35.0,1846934.9,1378889.5,183477.27,183488.31,113784.33,1732252.0
35,36.0,1187719.6,1320913.9,133235.12,133240.44,98584.12,1126537.1
36,37.0,1262580.0,1269976.6,141410.69,141417.38,102870.72,1195676.2
37,38.0,733643.3,1220299.8,99495.23,99498.016,88423.89,698044.06
38,39.0,969550.7,1176573.1,122395.34,122400.234,99532.45,921000.3
39,40.0,1615866.0,1136736.6,158825.17,158835.56,110150.43,1529814.1
40,41.0,985453.3,1097408.4,133235.12,133240.44,109333.22,933884.9
41,42.0,1036715.3,1062267.8,146106.9,146112.81,118872.086,978949.25
42,43.0,718781.2,1029044.25,95047.95,95050.55,97884.93,686091.56
43,44.0,976339.7,1000733.44,146106.9,146112.81,122827.414,921435.3
44,45.0,1227855.9,974393.25,179198.81,179209.53,135762.47,1151727.4
45,46.0,1343327.5,949883.3,158825.17,158835.56,121584.03,1271762.2
46,47.0,602704.25,925248.7,91374.03,91376.125,102206.24,572094.4
47,48.0,639498.75,905833.56,108446.06,108449.9,107565.445,605772.2
48,49.0,539187.1,886561.9,87354.7,87356.625,102265.805,509289.78
49,50.0,787918.5,871008.7,133235.11,133240.44,124459.22,743818.9
50,51.0,843109.1,856306.6,141410.69,141417.38,128335.43,795704.75
51,52.0,1022264.25,842957.25,179198.81,179209.53,147752.83,957804.7
52,53.0,1046487.3,831175.9,183477.27,183488.31,151695.55,981193.75
53,54.0,602116.56,818073.06,88749.59,88751.58,108426.56,568099.0
54,55.0,686108.7,808990.7,122395.34,122400.234,123462.07,646544.25
55,56.0,700395.2,800709.56,122395.34,122400.234,124369.28,659641.5
56,57.0,637682.2,791491.6,92781.1,92783.36,113710.76,600370.4
57,58.0,1063441.5,785772.4,158825.17,158835.56,137002.61,1005155.56
58,59.0,599025.4,778594.25,108446.06,108449.9,118807.195,563295.06
59,60.0,598881.4,773016.1,108446.07,108449.9,119528.414,562870.75
60,61.0,885126.06,768851.4,179198.81,179209.53,157924.75,827580.25
61,62.0,746966.1,764063.1,141410.69,141417.38,139281.66,701964.3
62,63.0,660987.06,759852.7,122395.34,122400.234,129793.18,620519.5
63,64.0,737079.5,756354.25,146106.9,146112.81,147158.2,689959.75
64,65.0,681884.6,753526.44,122395.34,122400.234,130946.93,639716.25
65,66.0,800366.25,750921.9,156181.81,156190.11,149310.03,751089.9
66,67.0,728519.56,747612.25,146106.9,146112.81,149000.94,681280.06
67,68.0,687812.06,745746.56,133235.12,133240.44,139905.52,644239.0
68,69.0,655784.6,743626.3,122395.34,122400.234,132759.66,614455.75
69,70.0,805422.56,742280.44,179094.94,179105.66,163717.05,750761.4
70,71.0,801110.44,740690.75,179094.94,179105.66,164169.27,746622.56
71,72.0,683576.0,738894.9,133235.11,133240.44,141559.38,639606.3
72,73.0,775626.25,737899.06,153798.89,153807.06,150608.88,727574.0
73,74.0,793876.44,737120.9,179094.94,179105.66,165357.58,739756.2
74,75.0,654680.1,735696.6,122395.34,122400.234,134758.19,612613.94
75,76.0,940340.25,735364.44,158825.17,158835.56,146554.08,886688.56
76,77.0,655207.4,733790.7,122395.34,122400.234,135310.45,612883.4
77,78.0,655214.0,733249.44,122395.34,122400.234,135524.58,612800.4
78,79.0,655022.2,732597.25,122395.34,122400.234,135667.92,612564.94
79,80.0,682404.44,732447.44,122395.34,122400.234,135902.22,638217.06
80,81.0,710532.2,731661.75,141410.69,141417.38,146723.36,665107.25
81,82.0,927565.9,731886.3,158825.17,158835.56,147705.61,874322.9
82,83.0,615858.5,730777.25,108446.06,108449.9,127522.766,575577.2
83,84.0,924070.1,731112.9,158825.17,158835.56,148106.78,870906.1
84,85.0,708421.25,730172.2,141410.69,141417.38,147350.06,662892.7
85,86.0,744489.25,730274.2,181976.67,181987.42,171070.0,691154.25
86,87.0,920301.2,730038.44,158825.17,158835.56,148464.55,867250.2
87,88.0,677598.0,729435.44,133235.11,133240.44,144711.9,632723.3
88,89.0,742079.1,729660.4,181976.67,181987.42,171374.64,688847.0
89,90.0,704626.4,729232.75,99495.23,99498.016,124331.625,658920.4
90,91.0,655954.44,728753.2,122395.34,122400.234,137146.05,612833.1
91,92.0,619416.6,728661.75,108446.07,108449.9,128340.945,578584.6
92,93.0,655907.9,728543.1,122395.34,122400.234,137271.31,612738.1
93,94.0,677302.4,728268.06,133235.11,133240.44,145196.27,632245.75
94,95.0,753021.0,728591.3,153798.89,153807.06,154108.06,705098.25
95,96.0,913106.2,728697.3,158825.17,158835.56,149196.38,860250.5
96,97.0,621841.75,728034.4,108446.07,108449.9,128719.72,580708.25
97,98.0,705116.4,728197.6,141410.69,141417.38,148396.86,659396.7
98,99.0,704887.56,728141.0,141410.69,141417.38,148409.31,659178.75
99,100.0,621219.44,727921.94,108446.06,108449.9,128725.195,580120.9
100,101.0,751466.25,728051.8,153798.89,153807.06,154381.94,703537.56
101,102.0,744980.75,727569.25,92781.1,92783.36,124956.43,696731.06
102,103.0,704467.0,727967.06,141410.69,141417.38,148541.97,658733.75
103,104.0,735380.7,728022.1,181976.67,181987.42,172361.03,682374.06
104,105.0,676459.1,727614.1,133235.12,133240.44,145619.4,631281.1
105,106.0,686098.6,727900.7,122395.34,122400.234,137831.02,640896.7
106,107.0,621964.94,727535.9,108446.06,108449.9,128889.195,580753.2
107,108.0,909314.0,727988.94,158825.17,158835.56,149555.08,856570.56
108,109.0,908926.7,727814.75,158825.17,158835.56,149602.69,856190.7
109,110.0,814254.9,727445.7,95047.95,95050.55,126064.18,764084.7
110,111.0,622724.25,727406.2,108446.06,108449.9,129007.195,581418.94
111,112.0,705141.6,727288.1,146106.9,146112.81,155749.22,656860.06
112,113.0,732678.3,727106.7,88749.59,88751.58,122190.586,684955.2
113,114.0,705429.75,727186.56,146106.9,146112.81,155817.05,657102.44
114,115.0,712771.56,727784.75,99495.23,99498.016,125075.68,666331.8
115,116.0,712791.3,727877.25,99495.23,99498.016,125066.836,666354.0
116,117.0,705068.75,727190.75,146106.9,146112.81,155742.2,656794.56
117,118.0,749566.25,727657.56,153798.89,153807.06,154741.88,701620.56
118,119.0,754062.56,727519.4,179094.94,179105.66,169628.23,701229.4
119,120.0,657076.9,727315.5,122395.34,122400.234,138044.64,613516.3
120,121.0,714281.2,727618.1,99495.23,99498.016,125183.89,667716.0
121,122.0,703818.6,727394.7,141410.69,141417.38,148845.0,658008.5
122,123.0,713883.44,727629.44,99495.23,99498.016,125165.805,667347.25
123,124.0,907322.56,727657.5,158825.17,158835.56,149864.12,854594.7
124,125.0,704559.9,727260.0,146106.9,146112.81,155763.88,656310.8
125,126.0,769283.9,727536.3,179198.81,179209.53,169640.98,716314.25
126,127.0,713649.06,727717.25,99495.23,99498.016,125149.04,667132.7
127,128.0,703778.44,727433.2,141410.69,141417.38,148946.3,657931.75
128,129.0,907456.6,727702.1,158825.17,158835.56,149749.44,854760.7
129,130.0,766295.56,727246.25,93028.03,93030.35,125223.22,717379.5
130,131.0,704837.7,727117.2,146106.9,146112.81,155916.75,656510.4
131,132.0,907138.0,727606.1,158825.17,158835.56,149827.34,854434.75
132,133.0,734232.25,726921.6,88749.59,88751.58,122301.766,686367.9
133,134.0,703793.7,727235.3,141410.69,141417.38,148932.64,657951.56
134,135.0,748958.4,727048.25,92781.1,92783.36,125260.71,700347.75
135,136.0,715853.25,727540.6,99495.23,99498.016,125283.28,669161.8
136,137.0,753534.3,727797.8,156181.81,156190.11,156735.81,704659.56
137,138.0,656558.8,727183.44,122395.34,122400.234,138001.56,613047.3
138,139.0,623397.1,727153.75,108446.06,108449.9,129125.695,582001.75
139,140.0,802273.75,727650.56,183477.27,183488.31,172641.06,748161.75
140,141.0,686687.0,727684.94,122395.34,122400.234,138036.95,641363.3
141,142.0,714566.8,727690.3,99495.23,99498.016,125197.96,667979.94
142,143.0,753566.0,727681.75,156181.81,156190.11,156853.92,704644.6
143,144.0,686642.75,727477.56,122395.34,122400.234,138064.94,641310.44
144,145.0,705382.4,726826.9,146106.9,146112.81,155915.7,657018.5
145,146.0,907219.94,727732.56,158825.17,158835.56,149791.17,854523.3
146,147.0,623602.06,727066.2,108446.06,108449.9,129154.96,582182.56
147,148.0,676698.06,726996.8,133235.11,133240.44,146004.06,631345.4
148,149.0,768668.0,727404.9,179198.81,179209.53,169741.47,715702.06
149,150.0,749002.5,727528.7,153798.89,153807.06,154824.77,701059.75
150,151.0,703762.4,727361.6,141410.69,141417.38,149001.12,657895.75
151,152.0,705233.6,726920.94,146106.9,146112.81,155924.58,656876.06
152,153.0,676726.0,727026.9,133235.11,133240.44,145997.14,631374.25
153,154.0,907031.06,727590.75,158825.17,158835.56,149794.86,854346.06
154,155.0,656552.8,727207.75,122395.34,122400.234,138039.81,613025.75
155,156.0,699727.0,727228.7,91527.43,91529.45,125335.734,651835.5
156,157.0,704553.06,727153.4,146106.9,146112.81,155863.55,656265.1
157,158.0,753329.5,727600.25,156181.81,156190.11,156859.45,704422.75
158,159.0,906955.75,727639.1,158825.17,158835.56,149835.17,854260.94
159,160.0,703411.9,727304.3,141410.69,141417.38,148905.48,657604.25
160,161.0,623797.75,727233.44,108446.06,108449.9,129189.59,582351.7
161,162.0,623290.44,727161.1,108446.07,108449.9,129141.75,581894.06
162,163.0,623067.25,727245.3,108446.06,108449.9,129130.68,581688.2
163,164.0,715208.25,727435.0,99495.23,99498.016,125272.78,668557.9
164,165.0,676371.25,727022.0,133235.11,133240.44,145986.69,631046.0
165,166.0,906447.3,727511.9,158825.17,158835.56,149938.88,853748.2
166,167.0,906648.9,727546.75,158825.17,158835.56,149874.0,853959.7
167,168.0,750059.75,726916.1,91374.03,91376.125,124316.266,701562.75
168,169.0,703553.7,727341.75,141410.69,141417.38,148959.97,657716.0
