,epoch,loss,val_loss,ivw,evw,ivw_ann,f_loss
0,1.0,541020.06,362996.12,16158.707,16158.54,108.41695,0.0
1,2.0,43348.418,56386.56,13831.113,13831.048,277.49274,0.0
2,3.0,30591.818,34371.145,15094.725,15094.686,363.13034,0.0
3,4.0,29092.922,23683.584,18156.465,18156.932,462.1289,0.0
4,5.0,20518.525,17015.39,18051.871,18052.34,557.3251,0.0
5,6.0,12780.73,12949.96,16162.998,16163.012,641.4885,0.0
6,7.0,11172.942,10240.06,17268.541,17268.607,745.7566,0.0
7,8.0,8029.5166,8275.773,16116.279,16116.114,831.6704,0.0
8,9.0,7476.7188,6809.324,17319.857,17319.918,926.4458,0.0
9,10.0,4598.0244,5655.898,14586.482,14586.482,1006.451,0.0
10,11.0,3505.5498,4743.5884,13807.227,13807.174,1075.5963,0.0
11,12.0,2957.909,4003.1406,13842.147,13842.097,1172.9783,0.0
12,13.0,4113.7173,3397.9226,18107.873,18108.34,1323.531,0.0
13,14.0,2668.1519,2890.7317,15678.689,15678.651,1420.3378,0.0
14,15.0,3323.5752,2471.2214,20772.033,20772.254,1832.4414,0.0
15,16.0,2067.6348,2114.9045,16224.219,16224.216,1674.864,0.0
16,17.0,2456.3516,1816.5736,20744.934,20745.14,2135.3438,0.0
17,18.0,1371.1013,1559.4502,15200.18,15200.085,1948.978,0.0
18,19.0,1022.8698,1343.4484,14029.039,14028.975,2069.875,0.0
19,20.0,1125.76,1159.384,16149.992,16149.817,2265.852,0.0
20,21.0,1086.5159,1002.38635,17139.506,17139.584,2446.062,0.0
21,22.0,1034.4158,867.5625,17683.463,17683.928,2605.1096,0.0
22,23.0,658.0017,751.03265,15197.537,15197.52,2772.191,0.0
23,24.0,711.7733,651.07,17242.053,17242.117,3000.8325,0.0
24,25.0,509.79343,565.30286,15665.199,15665.162,3190.277,0.0
25,26.0,712.988,491.71884,21730.885,21731.121,4066.573,0.0
26,27.0,356.19458,427.724,14919.914,14919.855,3561.8892,0.0
27,28.0,410.82635,372.69763,17336.76,17336.816,3887.4338,0.0
28,29.0,355.6137,325.4104,17292.057,17292.135,4141.0244,0.0
29,30.0,239.59363,284.54596,14992.936,14992.861,4293.025,0.0
30,31.0,271.45648,249.01385,17167.947,17168.021,4664.0215,0.0
31,32.0,237.89958,218.05006,17178.902,17178.982,4947.124,0.0
32,33.0,235.38849,191.44136,18086.385,18086.854,5208.359,0.0
33,34.0,146.80228,168.04437,15267.342,15267.295,5441.315,0.0
34,35.0,128.31203,148.18045,15314.939,15314.869,5798.6685,0.0
35,36.0,94.27218,130.58977,13978.307,13978.253,5931.415,0.0
36,37.0,88.58102,115.32528,14304.6,14304.546,6368.8496,0.0
37,38.0,72.95746,102.1994,13803.528,13803.455,6591.0684,0.0
38,39.0,80.28612,90.74076,15399.711,15399.673,7137.3726,0.0
39,40.0,64.809204,80.67446,14651.736,14651.733,7357.396,0.0
40,41.0,102.788994,72.062126,21196.674,21196.893,9451.409,0.0
