,epoch,loss,val_loss,ivw,evw,ivw_ann,wp_loss,triax_loss
0,1.0,3044191.2,4161999.0,227081.08,227008.94,2418.1987,53.279865,3056.1177
1,2.0,851364.7,1398482.2,139132.97,139110.45,3851.549,2.2390385,597.66943
2,3.0,267681.78,354856.12,190221.7,190167.81,9633.828,13.435644,42.12592
3,4.0,77436.82,109817.74,190221.7,190167.81,18047.074,149.65155,1.075375
4,5.0,37376.555,56791.5,185464.92,185412.22,28184.477,113.35666,0.022042751
5,6.0,36887.92,32353.635,275342.06,275239.0,51036.53,77.393974,2.9909663
6,7.0,20807.547,19149.84,246860.53,246775.72,62334.66,16.010035,5.5376616
7,8.0,13800.402,12498.918,246860.53,246775.72,78767.97,6.87542,2.9273546
8,9.0,9992.746,8985.247,246860.53,246775.72,93255.11,2.9720058,1.9247782
9,10.0,4834.056,6789.0186,185464.94,185412.22,96013.336,0.9244368,0.2855964
10,11.0,4718.6035,5359.2583,219785.56,219713.88,120333.34,0.42771375,0.07884873
11,12.0,3103.4724,4370.031,185464.94,185412.23,118014.07,0.3952173,0.168052
12,13.0,4488.6333,3652.5654,279654.72,279550.12,165458.06,0.78817993,0.65163666
13,14.0,2179.3035,3069.2869,190221.72,190167.81,144601.73,0.11768952,0.0003951701
14,15.0,1872.4271,2645.5762,190221.72,190167.81,155446.31,0.20949358,0.08889279
15,16.0,2311.584,2315.228,239047.81,238963.22,184243.97,0.37225673,0.15497129
16,17.0,2273.0024,2040.5514,246860.53,246775.72,187929.27,0.46884695,0.27378452
17,18.0,1845.192,1818.8579,242752.36,242665.64,207717.5,0.11115171,0.11756035
18,19.0,1158.0306,1631.8225,190221.72,190167.81,192257.95,0.025718516,0.0018800994
19,20.0,869.25635,1479.0084,168535.48,168493.78,188491.66,0.04780905,0.010221634
20,21.0,1072.816,1350.1835,207072.72,207009.75,221936.94,0.18703195,0.098963745
21,22.0,643.04224,1236.3562,154621.36,154585.64,197376.83,0.021044917,0.0
22,23.0,814.0088,1144.9585,190221.72,190167.81,225037.4,0.04384635,0.00017588257
23,24.0,442.4622,1064.1718,137671.19,137647.14,206545.47,0.008461824,0.005222315
24,25.0,1203.776,995.7942,276038.88,275935.06,292652.53,0.31508148,0.108739495
25,26.0,820.37775,932.85376,219785.56,219713.88,265796.88,0.062003136,0.006513007
26,27.0,520.56934,877.9193,168535.48,168493.78,237709.22,0.036737703,0.014362018
27,28.0,921.25433,830.66724,246860.53,246775.72,281475.28,0.31998152,0.13149962
28,29.0,417.86078,788.2363,154621.36,154585.66,241302.31,0.006612528,1.0471132e-05
29,30.0,601.02594,752.26843,207072.72,207009.75,288183.3,0.120133094,0.053018417
30,31.0,575.0339,719.36694,207072.7,207009.75,294110.8,0.089313276,0.055831544
31,32.0,313.13086,689.18445,142990.03,142964.11,256983.47,0.012689485,0.0004407421
32,33.0,661.9866,665.56055,239047.81,238963.22,322243.06,0.08784453,0.056233168
33,34.0,281.7885,639.9049,140266.62,140243.9,265733.0,0.015581476,2.8582135e-05
34,35.0,560.48773,620.92084,227081.1,227008.94,335738.62,0.23478882,0.07812913
35,36.0,431.13644,602.2446,185464.94,185412.22,288118.16,0.049548183,0.018184915
36,37.0,353.50153,585.1438,168535.48,168493.78,285584.47,0.06537388,0.008714161
37,38.0,577.6467,571.8188,242752.39,242665.64,349207.97,0.09589532,0.015972814
38,39.0,402.02905,558.29126,190221.7,190167.81,312224.44,0.3397547,0.0008508848
39,40.0,494.48416,546.86346,227081.06,227008.94,355918.88,0.22867873,0.07353279
40,41.0,293.05,535.7317,154621.36,154585.64,287292.12,0.020552693,5.552678e-06
41,42.0,524.5553,528.1899,239047.81,238963.19,357733.6,0.1753054,0.04672959
42,43.0,374.23663,519.7353,185464.94,185412.22,307821.56,0.058035288,0.010182923
43,44.0,563.7998,512.9765,246860.53,246775.72,349706.47,0.10945445,0.045632184
44,45.0,308.50742,504.5216,168535.5,168493.78,305349.88,0.026233997,0.012130004
45,46.0,362.65924,499.63672,190221.7,190167.81,327623.7,0.062312588,0.019258242
46,47.0,544.25146,495.37195,246860.53,246775.72,354392.4,0.080175035,0.041151248
47,48.0,395.44135,487.9661,207072.72,207009.73,349622.5,0.33267203,0.045247998
48,49.0,267.2366,482.31287,154621.38,154585.64,299959.12,0.008068701,0.0010679206
49,50.0,435.4288,478.4246,227081.08,227008.95,376284.6,0.27703378,0.054939594
50,51.0,291.86923,473.79108,168535.48,168493.78,312310.75,0.05186661,0.009658772
51,52.0,340.73938,469.65125,185464.94,185412.22,318765.12,0.2024126,0.029045632
52,53.0,287.47623,464.76773,168535.47,168493.78,313767.28,0.020553552,0.00933386
53,54.0,334.85654,461.22238,185464.94,185412.23,319626.16,0.10926715,0.012707695
54,55.0,463.2755,458.06216,242752.39,242665.64,376060.7,0.07022038,0.012652393
55,56.0,328.41092,451.37427,185464.94,185412.22,319401.94,0.2934261,0.018290276
56,57.0,398.8424,448.08875,219785.56,219713.88,359537.88,0.09856621,0.023796514
57,58.0,452.49506,448.17477,242752.39,242665.64,377092.16,0.095236495,0.05002186
58,59.0,273.21347,440.764,168535.48,168493.8,313791.0,0.053810902,0.023939125
59,60.0,444.37445,440.69135,242752.39,242665.61,376024.84,0.15727708,0.02953061
60,61.0,358.30222,438.30585,207072.7,207009.73,353555.0,0.34606606,0.0664681
61,62.0,320.57025,437.85046,190221.72,190167.81,333693.12,0.28385696,0.037025806
62,63.0,317.7511,438.39728,185464.94,185412.2,317497.47,0.12722236,0.07017131
63,64.0,388.3722,438.14078,219785.53,219713.88,357401.56,0.22495471,0.106879026
64,65.0,316.5829,437.0661,190221.72,190167.81,330447.16,0.44551215,0.35520804
65,66.0,204.7102,433.35757,140233.55,140209.6,300826.12,0.027000912,0.025627552
66,67.0,315.26825,434.17566,190221.7,190167.81,330775.97,0.112051025,0.050694644
67,68.0,237.91368,429.85825,154621.38,154585.64,301006.44,0.08215037,0.05670813
68,69.0,382.2189,432.58444,219785.56,219713.88,357650.62,0.50957084,0.11362374
69,70.0,237.1677,429.74088,154621.36,154585.64,300440.94,0.2355783,0.16889392
70,71.0,534.3491,432.1846,284863.28,284757.56,413837.6,0.9729539,0.1329706
71,72.0,390.54413,427.811,227081.1,227008.94,375584.62,0.33029714,0.041888174
72,73.0,429.41492,427.07504,242752.39,242665.64,375162.88,0.49647155,0.14410986
73,74.0,466.15396,425.05536,246860.53,246775.72,358191.84,0.9012306,0.06810253
74,75.0,514.00903,422.14703,282904.62,282799.12,413341.88,1.0160189,0.061812144
75,76.0,231.74213,416.82956,154621.36,154585.64,300680.62,0.116012864,0.034827694
76,77.0,302.7457,417.78088,190221.72,190167.81,331268.62,0.17030239,0.04146864
77,78.0,364.912,417.64642,219785.56,219713.88,356575.16,0.3106924,0.06195609
78,79.0,414.9064,416.38535,242752.39,242665.64,375576.62,0.5410474,0.065324016
79,80.0,366.65906,417.07605,219785.56,219713.86,355147.3,0.6570379,0.06101152
80,81.0,193.77985,415.46762,138950.47,138927.7,293516.88,0.044397272,0.014301524
81,82.0,404.78586,462.39703,219785.56,219713.88,329558.94,0.3579159,0.0690294
82,83.0,436.96542,432.54462,242752.39,242665.64,350411.12,0.483797,0.028877398
83,84.0,262.39685,433.52893,168535.47,168493.78,283636.4,0.120957054,0.074319296
84,85.0,287.956,483.83337,168535.48,168493.78,251418.33,0.36677426,0.08624986
85,86.0,424.08957,416.08237,242752.39,242665.64,298956.88,0.6096875,0.09421342
86,87.0,255.27979,371.85538,185464.94,185412.22,249373.83,0.42969388,0.07853827
87,88.0,281.9557,318.44073,242752.39,242665.64,295844.5,0.575383,0.16508335
88,89.0,196.82593,286.134,190221.7,190167.83,241562.89,0.22092247,0.116169795
89,90.0,162.7021,242.1997,190221.72,190167.81,272123.84,0.058354087,0.037402473
90,91.0,170.62758,205.34412,246860.56,246775.72,324778.28,0.7962509,0.15183055
91,92.0,128.12024,186.14699,190221.72,190167.81,278995.97,0.52004045,0.01686721
92,93.0,109.24659,179.93988,185464.94,185412.22,240885.03,0.27238354,0.23579995
93,94.0,96.59738,169.27213,185464.94,185412.22,255433.81,0.088848844,0.21975389
94,95.0,91.25583,146.34511,154621.38,154585.64,222828.56,0.022636661,0.1887713
95,96.0,120.608,136.4265,280106.2,280000.25,390470.16,0.28093708,0.42722338
96,97.0,108.642525,132.98073,274465.84,274362.62,380421.62,0.20480591,0.3373052
97,98.0,72.85273,140.14594,168535.48,168493.78,237794.92,0.1977846,0.19495527
98,99.0,70.71639,128.64343,154621.36,154585.64,229334.19,0.008652358,0.055703964
99,100.0,74.51139,120.938324,219785.56,219713.88,311275.06,0.06617276,0.13251224
100,101.0,73.31157,113.59451,219785.56,219713.89,315631.62,0.03368827,0.09034573
101,102.0,64.72745,108.91373,190221.72,190167.81,284183.44,0.09998028,0.17801434
102,103.0,58.920235,117.19013,154621.38,154585.64,251865.39,0.013470628,0.051878884
103,104.0,68.334404,102.32628,227081.08,227008.95,321883.97,0.10714804,0.122105256
104,105.0,63.70621,97.31687,190221.72,190167.81,278565.22,0.028008448,0.083471864
105,106.0,66.232124,93.85673,227081.08,227008.95,333935.84,0.26582107,0.17517215
106,107.0,60.955914,89.179085,246860.53,246775.75,347011.47,0.19616473,0.12068611
107,108.0,58.683037,85.309555,242752.39,242665.64,349014.78,0.07833283,0.09193104
108,109.0,47.66884,81.80643,154621.36,154585.64,238898.69,0.016629769,0.05939252
109,110.0,52.593002,80.98259,207072.72,207009.73,277888.12,0.11887658,0.07785535
110,111.0,49.701145,76.21276,190221.72,190167.81,257981.69,0.050402656,0.07192631
111,112.0,57.235,75.42676,280769.38,280664.9,379855.12,0.2082563,0.16903673
112,113.0,56.938484,69.46117,279090.7,278986.03,376606.8,0.27770472,0.16119725
113,114.0,40.71306,66.87739,168535.48,168493.78,232595.94,0.041777268,0.05617674
114,115.0,50.818157,64.5382,277666.94,277563.9,362658.12,0.20472121,0.18096659
115,116.0,42.00394,62.91734,239047.81,238963.19,316235.6,0.13963644,0.1093894
116,117.0,41.971046,62.964096,190221.72,190167.81,249483.19,0.05456032,0.07208774
117,118.0,39.99968,57.237827,219785.56,219713.88,304128.72,0.05793645,0.0842944
118,119.0,30.663748,55.675896,141330.67,141305.36,227062.98,0.022000369,0.02705394
119,120.0,34.760292,53.45804,190221.7,190167.81,247744.17,0.05196347,0.09484721
120,121.0,32.70347,51.30595,190221.72,190167.81,254880.06,0.03774858,0.06801085
121,122.0,34.91896,55.940674,207072.73,207009.75,262317.97,0.08247363,0.09611788
122,123.0,33.247753,47.10319,207072.73,207009.73,269122.03,0.07941119,0.11809555
123,124.0,32.038437,45.34614,207072.72,207009.73,269251.47,0.11584163,0.059763595
124,125.0,30.207153,49.115616,154621.36,154585.64,211989.05,0.041902762,0.02609602
125,126.0,24.259205,44.42124,185464.94,185412.22,240726.06,0.053302214,0.0563217
126,127.0,28.992302,42.891373,219785.56,219713.88,278976.66,0.10300174,0.09752982
127,128.0,25.406935,40.571,154621.36,154585.64,232461.89,0.013559537,0.028692298
128,129.0,23.045582,37.539627,154621.36,154585.62,229188.0,0.014507572,0.031409536
129,130.0,21.731758,37.653526,154621.36,154585.66,224342.94,0.014729689,0.028990937
130,131.0,26.866032,34.30432,227081.08,227008.94,292809.7,0.2020976,0.10206905
131,132.0,18.692217,36.56623,168535.48,168493.78,222434.47,0.020853534,0.06684616
132,133.0,19.407148,31.479876,154621.38,154585.64,230218.06,0.01524133,0.043213893
133,134.0,17.94519,33.841885,185464.94,185412.23,242461.97,0.05801136,0.029572152
134,135.0,17.323763,31.548737,185464.94,185412.22,238357.89,0.05733792,0.026961915
135,136.0,16.411877,28.394762,138268.02,138245.33,206306.66,0.0056325626,0.025856873
136,137.0,20.31225,26.94102,239047.81,238963.22,300518.62,0.100898005,0.051400967
137,138.0,17.924192,25.777742,207072.72,207009.72,263576.88,0.06466003,0.06447755
138,139.0,19.385056,26.585663,242752.39,242665.61,306255.25,0.07803833,0.03356004
139,140.0,15.059072,26.305883,190221.7,190167.81,245749.86,0.030768136,0.040026583
140,141.0,14.347321,22.970875,190221.7,190167.81,234031.97,0.029177036,0.046067078
141,142.0,20.837976,21.900816,279363.75,279259.34,349699.06,0.14228946,0.09191749
142,143.0,17.872675,21.665144,242752.39,242665.61,293920.12,0.069255695,0.04262837
143,144.0,12.588082,22.732674,168535.48,168493.8,199538.08,0.0533289,0.023545124
144,145.0,10.462215,18.964037,168535.5,168493.78,208522.02,0.027636282,0.060878396
145,146.0,9.477283,19.566307,168535.48,168493.8,217939.72,0.025300572,0.030181097
146,147.0,17.29782,18.073208,227081.08,227008.94,266694.8,0.11611901,0.056624014
147,148.0,8.033574,16.60388,168535.48,168493.77,215015.94,0.015880592,0.03774088
148,149.0,13.678827,17.681778,219785.56,219713.88,273942.7,0.16677348,0.02508061
149,150.0,11.359065,18.735296,154621.38,154585.64,214304.66,0.03243448,0.017985772
150,151.0,12.734102,16.328432,239047.81,238963.22,289546.53,0.06210861,0.051387656
151,152.0,12.049671,16.748405,219785.55,219713.89,277006.9,0.055006005,0.017965639
152,153.0,24.119684,26.17303,227081.1,227008.94,255740.22,0.08407137,0.060287032
153,154.0,10.937628,16.728153,190221.72,190167.81,245757.58,0.03955447,0.019391842
154,155.0,11.503782,15.455104,219785.56,219713.89,272152.38,0.050232828,0.023849728
155,156.0,11.946331,16.057394,185464.94,185412.22,213711.97,0.043858323,0.022835512
156,157.0,13.102539,14.5139265,246860.56,246775.75,297822.56,0.07125621,0.040094893
157,158.0,9.778717,14.41193,190221.7,190167.81,234457.44,0.025279125,0.023683533
158,159.0,8.051937,14.640529,190221.72,190167.81,233855.5,0.01778027,0.03822852
