,epoch,loss,val_loss,ivw,evw,ivw_ann,wp_loss,triax_loss
0,1.0,17.12506,20.70269,66593.61,66604.97,299.7858,0.0,0.0
1,2.0,6.2862506,6.8959336,90080.695,90164.984,752.50806,0.0,0.0
2,3.0,1.8353773,1.9132913,73025.53,73055.51,1276.7653,0.0,0.0
3,4.0,0.3797337,0.5677033,49736.215,49722.68,2041.1919,0.0,0.0
4,5.0,0.20262276,0.22543706,70675.59,70704.56,4018.8386,0.0,0.0
5,6.0,0.10485374,0.13103528,61176.965,61173.66,4934.805,0.0,0.0
6,7.0,0.08292983,0.09322718,70675.59,70698.95,6335.7554,0.0,0.0
7,8.0,0.064824924,0.07187711,70675.59,70698.95,7214.6934,0.0,0.0
8,9.0,0.05090504,0.057156265,70675.59,70698.96,8093.123,0.0,0.0
9,10.0,0.041467056,0.04620972,70675.59,70704.555,8955.743,0.0,0.0
10,11.0,0.03009616,0.03787951,59644.223,59655.867,8757.802,0.0,0.0
11,12.0,0.026758626,0.031429578,70675.59,70704.555,10761.201,0.0,0.0
12,13.0,0.019657914,0.026362501,61176.965,61173.652,10832.301,0.0,0.0
13,14.0,0.018210901,0.022254735,73025.53,73055.51,13217.636,0.0,0.0
14,15.0,0.011040094,0.018976334,49736.21,49722.68,11409.599,0.0,0.0
15,16.0,0.018408474,0.01636547,79365.305,79442.01,14540.901,0.0,0.0
16,17.0,0.012334126,0.014129837,70675.586,70698.96,15442.25,0.0,0.0
17,18.0,0.009081517,0.0122965835,61176.965,61165.027,15197.739,0.0,0.0
18,19.0,0.00892805,0.010752105,73025.53,73055.5,18158.604,0.0,0.0
19,20.0,0.009209045,0.009449068,78053.83,78112.4,19284.928,0.0,0.0
20,21.0,0.0051733535,0.00832552,54207.27,54150.8,16733.945,0.0,0.0
21,22.0,0.0036658694,0.00735013,45340.266,45208.934,16931.453,0.0,0.0
22,23.0,0.0055554323,0.006528278,73025.53,73055.51,22271.984,0.0,0.0
23,24.0,0.006211132,0.005818242,89173.42,89256.29,25373.492,0.0,0.0
24,25.0,0.0036620866,0.0051923934,61176.965,61173.652,21573.7,0.0,0.0
25,26.0,0.0035979801,0.004648106,59644.23,59655.867,21533.922,0.0,0.0
26,27.0,0.0040758452,0.004177111,78053.83,78112.4,26617.686,0.0,0.0
27,28.0,0.0032121828,0.0037493627,70675.59,70698.96,26304.19,0.0,0.0
28,29.0,0.0015224675,0.0033712988,45539.84,45413.312,23168.5,0.0,0.0
29,30.0,0.001805743,0.0030408583,54207.273,54150.8,24601.6,0.0,0.0
30,31.0,0.0015924159,0.0027438859,54207.27,54150.805,25511.729,0.0,0.0
31,32.0,0.0026460683,0.0024873281,89877.54,89960.625,35105.42,0.0,0.0
32,33.0,0.0026232162,0.002252371,79365.305,79442.016,31682.541,0.0,0.0
33,34.0,0.0021627087,0.0020431487,88380.5,88465.266,37100.215,0.0,0.0
34,35.0,0.0014571415,0.0018510143,66593.61,66604.97,32964.484,0.0,0.0
35,36.0,0.0014897853,0.0016813849,70675.59,70704.555,34704.94,0.0,0.0
36,37.0,0.0015188333,0.0015306596,78053.83,78112.4,37665.06,0.0,0.0
37,38.0,0.0009577463,0.0013930623,61176.965,61165.027,34147.703,0.0,0.0
38,39.0,0.00063386903,0.0012697977,49736.215,49722.676,31862.633,0.0,0.0
