,epoch,loss,val_loss,ivw,evw,ivw_ann,s_loss
0,1.0,1172149.9,1254673.1,61616.77,61543.645,420.65152,0.0
1,2.0,123177.234,131451.08,62932.785,62852.93,1816.4985,0.0
2,3.0,42538.31,51487.32,60715.91,60641.43,3498.997,0.0
3,4.0,35246.57,33716.688,67881.11,67785.64,4511.4795,0.0
4,5.0,24476.473,23658.182,67516.56,67421.34,5592.5806,0.0
5,6.0,23684.64,17920.43,83442.17,83321.33,7597.907,0.0
6,7.0,7350.2925,14222.717,42402.66,42357.758,5986.778,0.0
7,8.0,9875.758,11683.907,62200.72,62124.684,8491.211,0.0
8,9.0,4987.2993,9696.083,42402.66,42357.758,7413.78,0.0
9,10.0,7315.9854,8129.568,63045.793,62964.258,10154.008,0.0
10,11.0,6092.513,6850.0156,62530.184,62450.56,11050.323,0.0
11,12.0,5236.76,5798.459,62549.934,62470.293,12142.364,0.0
12,13.0,5126.865,4878.5005,68275.484,68179.89,13255.8545,0.0
13,14.0,1762.9563,4181.4854,38407.316,38374.598,11383.039,0.0
14,15.0,3409.1692,3568.476,64334.684,64249.57,15485.488,0.0
15,16.0,4114.811,3054.58,84427.74,84303.414,20089.428,0.0
16,17.0,2424.7551,2622.7004,63821.844,63736.773,18226.256,0.0
17,18.0,1932.3748,2263.233,62337.344,62261.65,19701.312,0.0
18,19.0,1677.5327,1955.6654,61969.59,61891.227,21108.357,0.0
19,20.0,1379.6771,1681.0231,60489.133,60415.18,23235.984,0.0
20,21.0,734.1113,1477.4025,42402.656,42357.76,19650.598,0.0
21,22.0,1333.9736,1297.3037,68750.17,68653.16,26787.672,0.0
22,23.0,778.5825,1004.8739,60860.383,60786.785,28634.438,0.0
23,24.0,386.06616,880.6492,42402.66,42357.76,24967.26,0.0
24,25.0,534.34216,792.70807,59221.215,59151.02,32664.857,0.0
25,26.0,536.196,651.95984,64184.41,64099.844,35975.055,0.0
26,27.0,210.4149,606.5017,38463.492,38430.645,30757.244,0.0
27,28.0,234.58084,537.2034,42402.664,42357.758,31900.637,0.0
28,29.0,208.84056,488.7189,42402.66,42357.758,33401.594,0.0
29,30.0,146.60086,426.32822,38514.47,38481.47,34203.45,0.0
30,31.0,169.30608,388.00677,42402.66,42357.758,35642.734,0.0
31,32.0,240.0406,325.6525,59083.094,59016.133,45749.293,0.0
32,33.0,309.58307,298.33182,68140.65,68044.695,47485.215,0.0
33,34.0,110.35726,293.8195,38332.742,38299.547,37320.555,0.0
34,35.0,84.03935,296.59723,38622.28,38588.95,35524.684,0.0
35,36.0,191.12126,203.65097,61168.344,61091.76,46619.145,0.0
36,37.0,160.40099,186.44835,62655.83,62576.684,48226.742,0.0
37,38.0,145.58447,161.9844,62797.613,62716.9,48368.73,0.0
38,39.0,121.49306,152.72548,60915.707,60840.816,51611.56,0.0
39,40.0,124.255104,128.19003,62079.09,62000.707,51210.23,0.0
40,41.0,112.315735,123.81645,63494.387,63411.1,50487.85,0.0
41,42.0,93.044174,112.07318,61962.605,61882.727,49088.758,0.0
42,43.0,98.94565,111.58161,68669.11,68571.73,52647.477,0.0
43,44.0,80.72473,81.71417,62298.65,62219.76,49351.598,0.0
44,45.0,80.80272,70.83371,63849.91,63766.215,52253.84,0.0
45,46.0,60.460773,60.410126,64676.52,64591.965,58959.69,0.0
46,47.0,56.945557,59.476784,64712.793,64628.316,48150.965,0.0
47,48.0,70.69153,56.33757,71756.38,71650.305,49627.734,0.0
48,49.0,40.43371,51.061836,63544.793,63463.918,53951.895,0.0
49,50.0,42.9766,43.22481,68901.164,68803.914,51912.863,0.0
50,51.0,38.067135,37.26315,68550.07,68452.96,53973.9,0.0
51,52.0,33.44127,33.045635,68589.125,68491.84,55297.03,0.0
52,53.0,26.71288,27.194824,64220.9,64136.617,52209.008,0.0
53,54.0,18.989012,25.258583,60987.195,60913.668,52090.055,0.0
54,55.0,16.493692,22.682894,62396.133,62317.977,53575.965,0.0
55,56.0,13.297819,19.708677,59836.81,59764.242,52060.81,0.0
56,57.0,17.581902,18.814205,64824.457,64739.547,52672.98,0.0
57,58.0,11.063053,16.768444,61618.32,61544.023,57158.305,0.0
58,59.0,20.297318,16.884394,84578.2,84453.61,67306.94,0.0
59,60.0,8.659115,14.855058,57487.934,57423.258,54188.07,0.0
60,61.0,13.504155,14.074495,72087.9,71981.36,63137.773,0.0
61,62.0,11.427023,17.600882,64612.58,64527.035,64289.047,0.0
62,63.0,11.47331,10.664354,72038.2,71931.83,61545.695,0.0
63,64.0,7.2221518,8.637474,68721.39,68623.82,60724.715,0.0
64,65.0,4.9341073,9.0305195,58698.695,58630.6,55202.31,0.0
65,66.0,5.8320017,8.741765,64653.92,64568.59,58624.633,0.0
66,67.0,4.1044936,7.351915,61655.566,61579.645,61045.168,0.0
67,68.0,5.7651963,8.222332,64591.285,64506.83,60190.17,0.0
68,69.0,4.0507345,11.467395,42402.66,42357.758,49797.184,0.0
69,70.0,2.9463284,7.16657,42402.66,42357.76,53072.805,0.0
70,71.0,3.200417,13.97932,42402.66,42357.758,44054.47,0.0
71,72.0,2.760107,6.1363153,59524.094,59453.457,59890.258,0.0
72,73.0,3.0301545,6.1738853,59878.125,59804.703,58581.117,0.0
73,74.0,1.7672125,6.3515,38572.836,38539.562,38815.902,0.0
74,75.0,2.22405,6.2398667,60300.605,60228.59,57984.406,0.0
75,76.0,2.0933814,6.2118306,59830.082,59758.51,55171.047,0.0
76,77.0,3.0917497,6.4188895,61583.953,61506.66,60668.242,0.0
77,78.0,1.3349192,6.4743915,42402.66,42357.758,43153.754,0.0
78,79.0,2.0543208,4.5260944,42402.66,42357.76,45053.59,0.0
79,80.0,1.8058783,4.3220763,68607.16,68510.555,63227.72,0.0
80,81.0,1.5683792,5.3050256,42402.66,42357.758,47150.31,0.0
81,82.0,3.0959287,6.5533977,83654.44,83532.086,76887.38,0.0
82,83.0,0.91279274,5.735038,60936.4,60862.367,57589.375,0.0
83,84.0,1.8925062,5.42143,42402.66,42357.758,48239.914,0.0
84,85.0,0.97935224,3.881956,68617.31,68520.61,63786.67,0.0
85,86.0,0.50467014,3.8700624,37722.97,37691.023,38960.566,0.0
86,87.0,0.72065574,5.1434655,42402.66,42357.758,41763.66,0.0
87,88.0,2.802016,6.2585144,83210.555,83086.27,79206.94,0.0
88,89.0,1.301258,4.2167344,60908.715,60836.008,62141.26,0.0
89,90.0,1.0285723,5.13459,85519.04,85393.336,79415.94,0.0
90,91.0,0.932749,3.6398733,42402.66,42357.758,45583.94,0.0
91,92.0,0.42802033,4.2103186,38436.26,38402.72,39320.85,0.0
92,93.0,0.5932282,4.1138377,56991.67,56927.695,56121.355,0.0
93,94.0,0.85735005,4.6559668,64224.4,64140.055,65726.02,0.0
94,95.0,0.46924296,4.590161,63489.33,63405.133,62620.363,0.0
95,96.0,0.38247845,4.416073,64617.35,64531.91,63841.43,0.0
96,97.0,1.4411362,4.732535,85753.234,85624.914,83918.47,0.0
97,98.0,2.8066573,7.0276046,61812.617,61734.156,69215.06,0.0
98,99.0,1.0656244,5.2746425,55665.645,55604.684,56240.387,0.0
99,100.0,0.74173045,5.3609324,68591.84,68496.01,67046.62,0.0
100,101.0,0.37778914,4.128125,60225.617,60153.363,60120.156,0.0
101,102.0,0.51695544,4.4185476,68566.586,68469.91,65640.984,0.0
102,103.0,0.4691,4.60095,62591.168,62512.043,61696.22,0.0
103,104.0,0.41328254,3.8256233,61261.137,61186.33,61168.133,0.0
104,105.0,0.32804054,4.186846,68579.016,68482.68,66566.36,0.0
105,106.0,0.42028123,3.6864188,37952.117,37919.992,37723.75,0.0
106,107.0,1.0706766,4.3318105,42402.66,42357.76,43586.945,0.0
107,108.0,0.28707153,4.2134757,59227.297,59159.535,58601.57,0.0
108,109.0,0.42473343,4.028928,61739.418,61663.934,61770.51,0.0
109,110.0,0.30595994,3.5203364,67791.81,67696.17,66694.19,0.0
110,111.0,0.2741122,3.4982092,85563.18,85436.46,83549.34,0.0
111,112.0,0.21211433,3.6884265,57662.715,57598.375,57034.727,0.0
112,113.0,0.95119786,5.312425,37976.348,37943.652,39169.617,0.0
